theft_to_people_index_eb1,theft_to_people_index_eb0,lb,ub,exp
-47.323566,31.178875,-119.22218,24.575052,-15
-38.730652,24.677944,-95.638092,18.176788,-14
-35.781452,21.794399,-86.039429,14.476523,-13
-31.790552,17.740755,-72.700806,9.1196995,-12
-28.07238,16.316462,-65.698212,9.5534477,-11
-26.564655,19.265488,-70.990952,17.861637,-10
-20.711163,17.721624,-61.577301,20.154976,-9
-14.862391,16.970509,-53.996452,24.271671,-8
-16.160229,9.9911432,-39.199848,6.8793888,-7
-15.071192,9.3251286,-36.574978,6.4325938,-6
-6.0384479,8.923254,-26.615509,14.538613,-5
-5.0369287,6.4429641,-19.89443,9.8205729,-4
-8.5401545,4.8595524,-19.746302,2.665993,-3
.56575727,4.3818817,-9.5388794,10.670394,-2
0,0,0,0,-1
4.9682112,4.2710304,-4.8808026,14.817225,0
7.4983511,4.2195187,-2.2318769,17.228579,1
12.714382,4.076714,3.313463,22.115301,2
19.339201,9.3510799,-2.2244287,40.902832,3
14.691544,12.307665,-13.689983,43.073071,4
12.93142,9.212101,-8.3117228,34.174564,5
14.393431,9.7870569,-8.1755629,36.962425,6
21.804649,10.318695,-1.9903041,45.599602,7
22.503119,13.103492,-7.7135882,52.719822,8
2.8290613,16.21652,-34.566303,40.224426,9
-1.6050023,20.24052,-48.279728,45.069725,10
.034135006,18.469486,-42.55658,42.624847,11
3.2598264,18.75293,-39.984509,46.504162,12
13.630378,11.704181,-13.359512,40.620266,13
