theft_to_people_log_index1,theft_to_people_log_index0,lb,ub,exp
-.071075737,.067053899,-.20540084,.063249364,-24
-.067663588,.065341473,-.1985583,.063231111,-23
-.022397218,.064385429,-.15137672,.10658229,-22
-.057703115,.06726414,-.19244938,.077043146,-21
-.040725883,.065487377,-.17191286,.09046109,-20
-.040703196,.063686788,-.16828316,.086876772,-19
.0143047,.074842431,-.13562271,.16423211,-18
.032330781,.069567367,-.1070294,.17169096,-17
-.0019973095,.073299401,-.14883366,.14483903,-16
.00026292435,.076456554,-.15289797,.15342382,-15
.0054654717,.075706169,-.14619222,.15712316,-14
.033703964,.080145866,-.12684751,.19425543,-13
.032179758,.077096693,-.12226348,.18662301,-12
.070798621,.07098648,-.071404383,.21300162,-11
.068022393,.078199372,-.088629782,.22467457,-10
.083663836,.078979008,-.074550122,.24187779,-9
.061490636,.074915439,-.088583022,.21156429,-8
.011649569,.073275149,-.1351382,.15843733,-7
.040504843,.080477759,-.12071149,.20172118,-6
.067454942,.072532438,-.077844985,.21275488,-5
.05979652,.066696964,-.07381355,.1934066,-4
-.054356884,.055518039,-.16557288,.05685911,-3
.050021522,.06472557,-.079639375,.17968242,-2
0,0,0,0,-1
.037097819,.066668212,-.096454665,.1706503,0
.030626824,.059633065,-.088832557,.15008621,1
.050057072,.053452529,-.057021212,.15713535,2
-.012309295,.054935124,-.12235758,.097738981,3
.066615358,.055413362,-.044390947,.17762166,4
.10156101,.054918308,-.0084535833,.2115756,5
.075954065,.064881049,-.0540183,.20592643,6
.089382261,.065681703,-.042194001,.22095853,7
.04810226,.070625179,-.093376972,.1895815,8
.010331186,.10109752,-.19219147,.21285383,9
.089459553,.068962112,-.048688155,.22760727,10
.089955628,.062464789,-.035176374,.21508764,11
.084755763,.06072358,-.036888186,.20639971,12
.078610435,.06968838,-.060992163,.21821302,13
.1936775,.078117087,.037190173,.35016483,14
.14706528,.083160155,-.019524526,.31365511,15
.098115467,.075305074,-.052738719,.24896966,16
.084927559,.062713601,-.040702876,.210558,17
-.028557729,.061927781,-.15261398,.095498525,18
.22613701,.063440368,.099050693,.35322335,19
.02186219,.064487144,-.10732108,.15104546,20
-.051862326,.099731952,-.25164944,.14792478,21
-.0029711954,.093374148,-.1900221,.18407971,22
-.0019162506,.054676469,-.11144638,.10761388,23
-.050932966,.067037702,-.18522562,.083359689,24
