theft_to_vehicle_index1,theft_to_vehicle_index0,lb,ub,exp
-.42030418,.24275908,-.91133076,.070722401,-24
-.3363719,.35606927,-1.05659,.38384613,-23
-1.0161859,.52386451,-2.0758018,.043430146,-22
-.41543552,.52274656,-1.4727902,.6419192,-21
-.059112292,.74165237,-1.5592458,1.4410212,-20
.49014661,.59707624,-.71755403,1.6978472,-19
-.055764675,.24906467,-.55954552,.44801617,-18
-.18673888,.31163475,-.81707966,.44360191,-17
.36154705,.62321079,-.89901578,1.6221099,-16
.58152151,.63150573,-.69581938,1.8588624,-15
-.22738719,.29919094,-.83255798,.37778357,-14
-.090080634,.31136477,-.71987534,.5397141,-13
.19989948,.311589,-.43034875,.83014768,-12
-.36997196,.28932813,-.95519334,.21524942,-11
-.24459296,.33329311,-.91874194,.42955601,-10
.045217652,.39984208,-.76353931,.85397458,-9
.21791768,.22279321,-.23272413,.66855949,-8
-.14322157,.2828812,-.71540284,.42895967,-7
-.065802634,.18501686,-.44003454,.30842927,-6
-.1065084,.24960063,-.61137336,.39835653,-5
.27513489,.2079443,-.14547217,.69574195,-4
.33385739,.30372643,-.2804873,.94820207,-3
.073295586,.16713828,-.26477349,.41136467,-2
0,0,0,0,-1
-.17630203,.17984925,-.5400815,.18747741,0
.081975989,.23491858,-.3931917,.55714369,1
-.1093214,.18444584,-.48239833,.26375553,2
-.347258,.23479047,-.82216656,.12765054,3
-.35641465,.24497841,-.85193026,.13910097,4
.086982593,.31340325,-.54693532,.72090048,5
-.024039146,.2584191,-.54674113,.49866283,6
-.03192845,.32364684,-.686566,.6227091,7
-.44219571,.26947242,-.98725516,.10286372,8
-.14814626,.29822162,-.75135642,.45506391,9
.18467194,.30363658,-.42949098,.79883486,10
.28348982,.31917632,-.36210522,.92908484,11
-.11087532,.34155509,-.80173564,.57998502,12
-.07344272,.31397131,-.70850962,.56162423,13
.08299315,.28724533,-.4980154,.6640017,14
.15872158,.29067415,-.4292224,.74666554,15
.21601926,.40415812,-.60146773,1.0335063,16
.15732668,.31172335,-.47319332,.78784668,17
.15709555,.34544888,-.54164076,.85583186,18
.22844315,.30390808,-.386269,.84315526,19
.32098088,.28576481,-.25703302,.8989948,20
.27490228,.37155354,-.47663569,1.0264403,21
.70394933,.31767526,.061390448,1.3465083,22
.50806683,.34043315,-.18052423,1.1966579,23
-.16275525,.29445088,-.75833839,.43282789,24
