theft_to_vehicle_index_eb1,theft_to_vehicle_index_eb0,lb,ub,exp
-.1756742,.1190673,-.41419467,.062846273,-24
-.068662651,.10203817,-.27306968,.13574436,-23
-.36951852,.15245871,-.67493004,-.064107016,-22
-.28435391,.15285559,-.5905605,.021852626,-21
-.29008648,.21243298,-.7156409,.1354679,-20
.061311793,.25441948,-.44835162,.57097524,-19
-.24012053,.18020749,-.60111952,.12087847,-18
-.35181937,.1560487,-.66442251,-.039216254,-17
-.25612569,.25061008,-.75815803,.24590662,-16
.055356752,.3044675,-.55456495,.66527843,-15
-.18822066,.19552298,-.57990026,.20345892,-14
-.074105144,.27052072,-.61602324,.46781299,-13
.035027761,.21390803,-.39348152,.46353704,-12
-.23290481,.18571036,-.60492736,.13911776,-11
-.074070692,.23852302,-.55188972,.40374833,-10
.0082518328,.23586521,-.46424294,.4807466,-9
.046592388,.13209881,-.21803334,.31121811,-8
-.046443637,.18478334,-.41660914,.32372186,-7
-.08207462,.13155788,-.34561673,.18146749,-6
-.1565211,.1877608,-.53265119,.21960898,-5
.16030225,.15268314,-.14555883,.46616334,-4
.24690139,.22855182,-.21094291,.70474571,-3
.029838812,.11984968,-.21024896,.26992658,-2
0,0,0,0,-1
-.061826274,.10252354,-.2672056,.14355305,0
-.053083282,.10258307,-.25858188,.15241532,1
-.11672627,.086500131,-.29000685,.056554306,2
-.16674986,.11846448,-.40406275,.070563011,3
-.19916779,.10715417,-.4138234,.015487805,4
-.096624196,.15258896,-.40229663,.20904823,5
-.2589761,.14524435,-.54993552,.031983297,6
-.26400721,.13209265,-.5286206,.00060617086,7
-.10386711,.16721815,-.43884531,.23111109,8
.11718501,.28760579,-.45895863,.69332868,9
.1871812,.22158764,-.25671217,.63107461,10
.32212994,.26529887,-.20932755,.85358745,11
.11529993,.2664749,-.41851345,.6491133,12
-.048191886,.24359357,-.53616846,.43978468,13
-.23220108,.33025613,-.89378357,.42938143,14
.35984856,.35549492,-.35229331,1.0719905,15
.1190209,.23719342,-.35613462,.59417641,16
.034906071,.21539912,-.3965902,.46640235,17
.072202392,.20214356,-.33273983,.47714463,18
-.062519327,.15915613,-.38134739,.25630873,19
-.064429969,.1734724,-.41193694,.283077,20
-.11635903,.15523288,-.42732784,.19460979,21
.18169166,.15223476,-.12327121,.48665452,22
-.021821817,.13518444,-.29262877,.24898514,23
-.16479197,.1290476,-.42330536,.093721442,24
