theft_to_vehicle_log_index1,theft_to_vehicle_log_index0,lb,ub,exp
-.099656098,.074475206,-.25029641,.050984226,-24
-.029791458,.088174,-.20814021,.14855729,-23
-.23376106,.1156804,-.46774673,.00022463003,-22
-.094383456,.11059987,-.31809279,.1293259,-21
-.1154921,.12388761,-.36607844,.13509424,-20
.058388665,.1067928,-.15762016,.27439749,-19
-.062903926,.079687074,-.22408625,.098278403,-18
-.1054136,.093059778,-.29364479,.082817569,-17
-.039629817,.11007392,-.26227534,.1830157,-16
.054589275,.10721091,-.16226526,.27144381,-15
-.046748959,.086322285,-.22135226,.12785433,-14
-.065319352,.067557096,-.20196648,.071327768,-13
.031222491,.074113905,-.11868703,.18113202,-12
-.10981739,.082559042,-.2768088,.057174023,-11
-.13014878,.074227616,-.28028831,.01999074,-10
-.053965654,.082372293,-.22057934,.11264803,-9
.034019191,.058117744,-.083535045,.15157342,-8
-.093303591,.066743344,-.22830474,.041697558,-7
-.085470505,.056755546,-.20026943,.029328423,-6
-.033259489,.065523081,-.16579242,.099273443,-5
.016469758,.06549371,-.11600378,.14894329,-4
-.0031609421,.070702419,-.14617009,.1398482,-3
-.0019183565,.058912195,-.12107952,.11724281,-2
0,0,0,0,-1
-.081913725,.052683882,-.18847694,.024649484,0
.023460345,.068323366,-.11473671,.16165739,1
-.065251231,.058979791,-.18454911,.054046653,2
-.14991774,.076288879,-.30422655,.0043910928,3
-.13423871,.071229339,-.27831364,.0098362286,4
-.012574873,.091296755,-.19723998,.17209025,5
-.042805228,.073922411,-.19232741,.10671696,6
-.049864747,.10893956,-.27021581,.1704863,7
-.17665523,.091273159,-.36127263,.007962143,8
-.10527241,.097788878,-.30306908,.09252426,9
.056911346,.089564241,-.12424944,.23807213,10
.034151897,.084253043,-.13626596,.20456976,11
-.057139855,.095698841,-.25070903,.13642932,12
-.044041663,.087962553,-.22196272,.13387939,13
.0023826493,.077678941,-.15473785,.15950315,14
-.052296061,.09986902,-.25430024,.14970811,15
-.027162461,.14712468,-.32475021,.27042529,16
-.042337902,.10022859,-.24506937,.16039357,17
-.090453446,.091589049,-.27570978,.094802901,18
-.017338188,.075666465,-.17038806,.13571168,19
.078222044,.070887372,-.065161198,.22160529,20
.034141976,.12178474,-.21219091,.28047487,21
.15800248,.10782613,-.060096446,.3761014,22
.058264475,.12899595,-.20265448,.31918344,23
-.23304716,.14194123,-.52015042,.054056086,24
