tasa_total_atraco1,tasa_total_atraco0,lb,ub,exp
.13269253,.14894007,-.16567028,.43105534,-24
.14880936,.16593844,-.18360527,.481224,-23
.4953903,.38905829,-.2839871,1.2747678,-22
.29298571,.2104748,-.12864602,.71461743,-21
.50178623,.39048168,-.28044257,1.2840149,-20
.52588052,.38857529,-.25252932,1.3042904,-19
.37069687,.29108357,-.21241361,.95380735,-18
.40483215,.28212851,-.16033918,.97000349,-17
.37902287,.27453619,-.17093921,.92898494,-16
.35264525,.25017628,-.14851804,.85380852,-15
.28313571,.19757599,-.11265655,.67892796,-14
.29316702,.19971433,-.10690888,.69324291,-13
.30602035,.19812196,-.090865634,.70290637,-12
.32173452,.20152935,-.0819773,.72544634,-11
.32534552,.19363405,-.062550083,.71324116,-10
.40986428,.23748878,-.065882921,.88561147,-9
.48806453,.27052125,-.0538547,1.0299838,-8
.39782691,.25874507,-.12050176,.91615558,-7
.25728807,.30621901,-.35614228,.87071842,-6
.2798214,.30757174,-.33631885,.89596164,-5
.26466361,.30237195,-.34106019,.87038743,-4
.14116272,.22484548,-.30925688,.59158236,-3
-.03553826,.19641457,-.42900392,.35792741,-2
0,0,0,0,-1
.01839089,.16765916,-.31747079,.35425258,0
.067578487,.14918339,-.23127176,.36642873,1
.039432213,.14834397,-.25773647,.3366009,2
-.025236424,.16737528,-.36052942,.31005657,3
-.066692322,.19109945,-.44951051,.31612587,4
-.12113474,.20693453,-.53567439,.29340491,5
.067567222,.17156655,-.27612185,.41125631,6
.0073386887,.19572443,-.38474447,.39942184,7
.0075502526,.19391024,-.38089862,.39599913,8
.0073405961,.19524693,-.38378599,.39846718,9
.20110789,.15479364,-.10898104,.51119679,10
.17514047,.15270677,-.13076797,.48104888,11
.19702841,.15629497,-.11606802,.51012486,12
.18966819,.15744561,-.12573324,.50506967,13
.1664349,.16543888,-.16497898,.49784881,14
.19640471,.1716373,-.14742611,.54023552,15
.1758762,.16714229,-.15895003,.51070243,16
.205292,.17316926,-.1416077,.55219167,17
.18239431,.18901072,-.19623967,.5610283,18
.28593579,.17196156,-.058544613,.63041615,19
.2672818,.17158975,-.076453775,.61101741,20
.22106162,.15391922,-.087275624,.52939886,21
.18556224,.13203014,-.078925937,.45005041,22
.16088063,.11396249,-.067413688,.38917494,23
.15960796,.10762985,-.056000534,.37521645,24
