tasa_total_vehiculo1,tasa_total_vehiculo0,lb,ub,exp
.12122866,.14754541,-.17434031,.41679764,-24
.10382289,.16948868,-.23570375,.44334951,-23
.12816788,.15980625,-.19196253,.44829828,-22
.41180685,.30906668,-.20732814,1.0309418,-21
.38607877,.3021453,-.21919098,.99134851,-20
.36624059,.28091329,-.19649632,.92897755,-19
.30025923,.20195006,-.10429535,.70481384,-18
.30019102,.19002545,-.080475695,.68085778,-17
.30775297,.19102326,-.07491263,.69041854,-16
.010140988,.14094239,-.27220055,.29248253,-15
.36278024,.25584647,-.14974186,.87530231,-14
.28499907,.16146767,-.038459551,.60845768,-13
.28200752,.15840149,-.035308797,.59932381,-12
.31568176,.2695407,-.22427315,.85563666,-11
.17271586,.095853679,-.01930213,.36473384,-10
.25265265,.11237767,.027533127,.47777215,-9
.44521132,.1936903,.057203032,.83321965,-8
.36372778,.18814406,-.013170059,.74062562,-7
.061204813,.20025361,-.33995137,.46236101,-6
.18667063,.24563506,-.30539551,.67873681,-5
.21293461,.2414683,-.27078453,.69665372,-4
.10546421,.19256432,-.28028849,.4912169,-3
.031428199,.17984734,-.32884935,.39170572,-2
0,0,0,0,-1
.093933992,.1496046,-.20576005,.39362803,0
.065735191,.14671016,-.22816058,.35963097,1
.074651837,.14092617,-.2076572,.35696086,2
.017529096,.15981273,-.30261427,.33767247,3
-.036604486,.17707075,-.39131981,.31811085,4
-.075595528,.18516108,-.44651777,.29532671,5
.1183138,.13796648,-.15806629,.39469388,6
.17519391,.12729858,-.079815798,.43020362,7
.030313443,.17115882,-.31255889,.37318578,8
.077811174,.14305221,-.20875682,.36437917,9
.17871289,.13614219,-.094012685,.45143846,10
.10391071,.1436778,-.18391049,.39173192,11
.2077712,.15414079,-.10100991,.51655227,12
.20657833,.15599826,-.10592374,.5190804,13
.13754934,.14796312,-.15885641,.4339551,14
.2434828,.15048109,-.057967037,.54493266,15
.23163936,.17108196,-.11107899,.57435769,16
.19420838,.15603562,-.11836854,.50678527,17
.16097489,.17800237,-.19560672,.51755649,18
.20982635,.1221685,-.034906555,.45455927,19
.19869274,.11244676,-.026565196,.42395067,20
.16409665,.10233444,-.040903863,.36909717,21
.13572738,.087035552,-.038625792,.31008053,22
.11124104,.07056091,-.030109443,.25259152,23
.12286849,.07556086,-.028498096,.27423507,24
