tasa_total_violacion_maltrato1,tasa_total_violacion_maltrato0,lb,ub,exp
.28682882,.23079595,-.17551103,.74916869,-24
.46365464,.42046532,-.3786386,1.3059479,-23
.9579547,.77917457,-.60291958,2.5188289,-22
.72273797,.54606235,-.37115633,1.8166323,-21
.64860624,.51698351,-.38703623,1.6842487,-20
.68060279,.51332676,-.34771433,1.7089199,-19
.31463856,.26252231,-.21125682,.84053391,-18
-.0076071797,.12767276,-.26336646,.24815211,-17
.69635701,.50324392,-.31176165,1.7044758,-16
.45756108,.32913059,-.2017667,1.1168889,-15
.31341457,.4151912,-.51831335,1.1451426,-14
.64334726,.3464177,-.050610758,1.3373053,-13
.53558785,.40281782,-.27135319,1.3425288,-12
.46050707,.39253551,-.32583603,1.2468501,-11
.27860105,.17945835,-.080897212,.63809931,-10
.54063195,.29798809,-.056309901,1.1375738,-9
.66450977,.31777763,.027924716,1.3010949,-8
.037766691,.25656971,-.47620419,.55173755,-7
.0023533225,.28822494,-.57503062,.57973725,-6
.48617139,.52320278,-.5619297,1.5342726,-5
.23400676,.38251105,-.53225499,1.0002685,-4
.16115849,.30951196,-.45886847,.78118545,-3
-.047796689,.34351832,-.7359466,.6403532,-2
0,0,0,0,-1
-.041378897,.29723319,-.63680851,.55405074,0
.1165099,.22267398,-.32955971,.56257951,1
-.088383406,.30112985,-.69161898,.51485217,2
.00035928338,.24660544,-.49365076,.49436933,3
-.061131068,.19872521,-.45922551,.33696336,4
-.10733014,.25664851,-.62145889,.4067986,5
.012031838,.23803076,-.4648011,.48886475,6
.093364917,.20543216,-.31816515,.50489497,7
-.043115284,.24669711,-.53730899,.45107841,8
.23335668,.16882877,-.104848,.5715614,9
.26450288,.20072104,-.13758969,.66659546,10
.094024606,.18872385,-.28403467,.4720839,11
.3309063,.21910669,-.10801713,.76982975,12
.26371107,.23558922,-.20823085,.73565298,13
.18060501,.21473894,-.24956878,.61077881,14
.30369449,.26098779,-.21912688,.82651579,15
.41901863,.25630289,-.094417781,.932455,16
.070164129,.27357876,-.47788,.61820823,17
.17487095,.3023732,-.43085533,.78059727,18
.40740985,.17154607,.063761771,.75105792,19
.15030283,.15509953,-.16039886,.4610045,20
.162248,.18515415,-.20866035,.53315634,21
.15902892,.1560365,-.15354975,.4716076,22
.15576807,.099005289,-.042563368,.35409951,23
.2687737,.18221995,-.096256718,.63380414,24
