crime_index_eb1,crime_index_eb0,lb,ub,exp
-4.0507522,2.078438,-8.2547894,.15328535,-24
-5.7149692,4.0305834,-13.867594,2.4376547,-23
.87161428,5.0092053,-9.2604599,11.003688,-22
-11.321744,6.1548176,-23.771038,1.1275489,-21
-7.9544749,4.0538259,-16.154112,.24516135,-20
-13.010069,7.6524291,-28.488567,2.4684298,-19
-5.4999914,5.7037501,-17.036915,6.036932,-18
-5.9379716,5.4787111,-17.019711,5.1437678,-17
4.8698401,13.568316,-22.574669,32.31435,-16
4.5742388,14.092834,-23.93121,33.079685,-15
-.28869548,8.711566,-17.909502,17.332111,-14
5.2607284,9.3813467,-13.714836,24.236292,-13
16.699791,17.206404,-18.103447,51.503029,-12
15.937023,14.487983,-13.367688,45.241734,-11
6.0308003,8.7016459,-11.56994,23.63154,-10
-3.1520548,6.7595773,-16.824591,10.520481,-9
-3.1177769,7.8190289,-18.933256,12.697702,-8
-6.1433654,8.0430956,-22.412062,10.125332,-7
-4.8375163,8.8129807,-22.663452,12.98842,-6
-10.916181,8.3499718,-27.805593,5.9732318,-5
-8.4542131,8.8271351,-26.308779,9.4003515,-4
-11.869935,7.4017215,-26.84133,3.1014605,-3
-5.2571125,6.1155553,-17.626991,7.1127658,-2
0,0,0,0,-1
-6.2776918,3.8211188,-14.006635,1.4512504,0
-6.8045239,3.9612308,-14.816869,1.2078215,1
-6.7368903,4.1464453,-15.123868,1.6500871,2
-7.4403577,4.9961205,-17.545965,2.6652503,3
-9.1427107,6.2537088,-21.79203,3.5066099,4
-10.890525,7.519506,-26.100161,4.3191113,5
-4.4903531,6.5400934,-17.718941,8.7382345,6
-6.6763687,6.6708007,-20.169336,6.8165994,7
-7.913342,8.0937195,-24.284435,8.4577513,8
-7.532135,8.5505028,-24.82716,9.7628889,9
-3.8338554,8.8147449,-21.663361,13.995649,10
-4.458715,9.1992731,-23.066,14.14857,11
-5.4842739,9.8870649,-25.48275,14.514202,12
-4.517674,10.297947,-25.347239,16.31189,13
-1.0058237,10.140101,-21.516115,19.504467,14
3.432059,8.2936106,-13.343352,20.20747,15
2.5802267,8.1299582,-13.864166,19.02462,16
3.0928643,7.6562357,-12.393334,18.579063,17
1.5815806,5.5874734,-9.7201509,12.883312,18
2.52336,5.6313028,-8.8670254,13.913745,19
3.5198727,5.7962823,-8.204215,15.24396,20
3.611728,6.7607622,-10.063205,17.286661,21
4.6499963,7.2427349,-9.9998178,19.29981,22
2.8867605,7.3816662,-12.044068,17.817589,23
3.4788458,7.961318,-12.62444,19.582132,24
