female_index1,female_index0,lb,ub,exp
-6.4636097,2.9014857,-12.261766,-.66545284,-24
-3.9452648,3.25106,-10.44199,2.5514605,-23
-5.2116141,4.3211741,-13.846791,3.4235628,-22
-5.6487803,4.3247318,-14.291068,2.9935069,-21
-8.7343073,4.9649305,-18.65593,1.1873144,-20
-7.0218921,5.082159,-17.177776,3.1339924,-19
-5.7344537,5.1915946,-16.109028,4.6401205,-18
-6.1357598,4.7335415,-15.594988,3.3234684,-17
-6.7402148,5.5033622,-17.737806,4.2573767,-16
-4.7195148,5.1963654,-15.103622,5.6645932,-15
-5.3078499,5.4866881,-16.272121,5.6564217,-14
-1.1050204,4.375494,-9.8487473,7.6387062,-13
.33887005,4.6490135,-8.9514418,9.6291819,-12
4.1276369,4.0043864,-3.8744907,12.129765,-11
1.1877108,4.5424933,-7.8897381,10.26516,-10
5.3533502,3.6621075,-1.9647875,12.671488,-9
6.6127319,3.91587,-1.2125101,14.437974,-8
9.9887419,5.6683583,-1.3385687,21.316051,-7
13.039375,6.7560296,-.46147251,26.540222,-6
8.5443811,4.5870366,-.62207991,17.710842,-5
11.151834,5.4941072,.17273715,22.130932,-4
8.4846001,5.0197592,-1.5465885,18.515787,-3
15.830284,8.1474924,-.4511807,32.111748,-2
0,0,0,0,-1
7.1554756,4.6045351,-2.0459535,16.356905,0
7.5150728,4.7719183,-2.0208447,17.050991,1
7.7426023,5.1139212,-2.4767542,17.961958,2
8.0872011,4.9016805,-1.7080257,17.882429,3
10.071741,5.9255886,-1.7696029,21.913086,4
9.9046516,5.2901983,-.66696674,20.476269,5
8.3065615,5.2281055,-2.1409738,18.754097,6
8.2216244,5.3425579,-2.4546261,18.897875,7
13.65739,9.140727,-4.6088958,31.923674,8
18.160269,11.655494,-5.1313763,41.451912,9
24.824057,15.359363,-5.8691807,55.517292,10
29.550606,19.477713,-9.3724976,68.473709,11
30.765968,19.05121,-7.3048363,68.836777,12
35.770863,22.280025,-8.7522173,80.293945,13
40.520149,22.635578,-4.7134442,85.753738,14
39.783611,23.817392,-7.8116493,87.378876,15
24.984749,14.708612,-4.4080672,54.377563,16
4.7404647,5.8988342,-7.0474148,16.528345,17
2.6383369,6.7571149,-10.864679,16.141354,18
9.9662895,5.7613368,-1.5468239,21.479403,19
4.5258007,3.7374156,-2.9428284,11.99443,20
.87564534,3.337311,-5.7934384,7.5447292,21
-2.6897244,3.5879977,-9.859766,4.4803166,22
2.7165129,3.1828899,-3.643985,9.0770111,23
.26928931,2.5878277,-4.9020715,5.44065,24
