homicide_area_index1,homicide_area_index0,lb,ub,exp
.12395746,.07760258,-.033008583,.28092349,-24
.11739168,.097917229,-.080664612,.31544799,-23
.16711351,.18303685,-.20311347,.53734052,-22
.024949731,.07977365,-.1364077,.18630716,-21
-.14171188,.069924377,-.28314728,-.00027646989,-20
.21873316,.15498504,-.09475366,.53222001,-19
.096377663,.14936271,-.20573694,.39849228,-18
-.042040411,.10315403,-.25068915,.16660832,-17
.028271595,.10599542,-.18612437,.24266757,-16
.0020589349,.080325969,-.16041566,.16453354,-15
.11309822,.11839593,-.12638015,.35257658,-14
.23933741,.1883529,-.14164227,.6203171,-13
.10867178,.10502192,-.10375511,.32109869,-12
.12550382,.095523007,-.067709692,.31871736,-11
.13960518,.092703111,-.047904551,.32711491,-10
-.010503234,.085159175,-.18275394,.16174746,-9
.047374576,.09577217,-.14634292,.24109207,-8
.060179856,.070401341,-.082220294,.20258,-7
.019082667,.072423749,-.12740819,.16557352,-6
.063111961,.098540515,-.13620505,.26242897,-5
.14529881,.10662868,-.07037805,.36097565,-4
-.097003967,.093045659,-.28520659,.091198638,-3
.030955605,.087920263,-.14687991,.20879112,-2
0,0,0,0,-1
.069633394,.07314498,-.078316294,.21758309,0
.087598525,.076479882,-.067096628,.24229369,1
.057558328,.063883662,-.071658574,.18677524,2
.23767275,.12665696,-.018515144,.49386063,3
.013230199,.079518624,-.14761139,.1740718,4
-.047059938,.10013022,-.24959242,.15547253,5
.093821213,.12128428,-.15149939,.33914182,6
.018007258,.1531751,-.29181865,.32783315,7
.015158341,.087941043,-.16271921,.19303589,8
-.009659579,.098436646,-.20876649,.18944733,9
.27013344,.22231455,-.17954019,.71980703,10
.099092469,.14786975,-.20000234,.39818728,11
.19596434,.2296003,-.26844612,.66037476,12
.10768344,.14473163,-.1850639,.40043077,13
.12298391,.16748492,-.21578631,.46175414,14
.25278056,.13601138,-.022328423,.52788949,15
-.066319667,.18816948,-.44692835,.31428903,16
.073390014,.089842588,-.10833377,.25511378,17
-.26673356,.23553963,-.74315745,.2096903,18
-.18600391,.16246611,-.51462263,.14261481,19
.12901619,.15317316,-.1808058,.43883815,20
-.17309602,.22066467,-.61943245,.27324042,21
.15945692,.14730342,-.13849236,.45740619,22
-.0095718941,.099379763,-.21058643,.19144264,23
.0878755,.082431346,-.078857645,.25460863,24
