homicide_index1,homicide_index0,lb,ub,exp
.18546957,.11347265,-.044050526,.41498965,-24
-.035875455,.11299057,-.26442045,.19266954,-23
-.0076294341,.15312593,-.31735584,.30209696,-22
-.11707087,.10821894,-.33596432,.1018226,-21
-.069071196,.08611238,-.24324992,.10510754,-20
-.072184496,.1181777,-.31122148,.16685247,-19
.040801167,.087099455,-.13537411,.21697645,-18
-.17693439,.095004812,-.36909977,.015230979,-17
-.11302477,.094950996,-.30508128,.079031736,-16
.023242436,.08286579,-.14436944,.19085431,-15
-.062087487,.10207551,-.26855469,.14437972,-14
.018492073,.10180966,-.1874374,.22442155,-13
.073623143,.15186578,-.23355441,.38080069,-12
-.022955289,.062212531,-.14879201,.10288143,-11
-.0010245444,.059594382,-.12156556,.11951647,-10
-.11597919,.0867991,-.29154694,.059588574,-9
-.012756277,.069890104,-.15412235,.12860981,-8
-.04145686,.08521273,-.21381587,.13090216,-7
-.051233053,.056856602,-.16623639,.063770287,-6
-.058344062,.073098861,-.20620047,.089512341,-5
.060666904,.099401496,-.1403916,.2617254,-4
-.078868583,.057273533,-.19471525,.036978073,-3
.021674203,.082925513,-.14605847,.18940687,-2
0,0,0,0,-1
-.014399961,.048526321,-.11255371,.083753787,0
.030902548,.083625175,-.13824533,.20005043,1
.0058227135,.051885445,-.099125504,.11077093,2
.35977632,.24780975,-.1414662,.86101884,3
.050308809,.10341603,-.15886985,.25948745,4
.045975242,.11184453,-.18025169,.27220216,5
.010778216,.067525886,-.12580578,.1473622,6
-.041534089,.074431933,-.19208688,.10901871,7
-.052957196,.068890221,-.19230083,.086386435,8
-.050386,.058850564,-.16942251,.068650499,9
.18776473,.09667971,-.0077884402,.38331789,10
.049396008,.080105372,-.11263239,.21142441,11
.036528885,.093875393,-.15335202,.22640979,12
-.0040833079,.077070609,-.15997334,.15180671,13
.064154074,.072028883,-.081538089,.20984624,14
.24197127,.10301543,.033602886,.45033965,15
.036462832,.09324459,-.15214215,.22506781,16
.031163963,.061486471,-.09320417,.15553209,17
-.075799704,.15129186,-.38181639,.23021699,18
.03310005,.11228905,-.19402599,.2602261,19
.068204723,.081922546,-.097499274,.23390871,20
.023003004,.12175438,-.22326848,.26927447,21
.10943349,.12985928,-.15323171,.37209868,22
-.0087521644,.08006566,-.17070025,.15319592,23
.065038815,.062061332,-.060492083,.19056971,24
