homicide_index_eb1,homicide_index_eb0,lb,ub,exp
.12521917,.057818986,.0069660679,.24347228,-24
.02738479,.065545663,-.10667114,.16144072,-23
-.0053996486,.07221292,-.15309164,.14229235,-22
.031305153,.080545314,-.13342851,.19603883,-21
.0026367912,.062314112,-.12480988,.13008346,-20
.09806399,.12200415,-.15146251,.34759051,-19
.060484197,.071008645,-.084744789,.20571318,-18
-.043521155,.079523399,-.20616478,.11912246,-17
-.014630956,.076757282,-.17161722,.14235531,-16
-.014403651,.052054346,-.12086675,.092059441,-15
.058548812,.078438982,-.10187691,.21897455,-14
.018902,.061409414,-.10669436,.14449835,-13
.079668649,.10856683,-.14237545,.30171275,-12
.030016633,.059654873,-.091991283,.15202455,-11
.086586699,.071255863,-.059147894,.23232129,-10
-.045058284,.068428986,-.18501128,.094894715,-9
.05195133,.083430968,-.11868416,.22258681,-8
-.0046405974,.067403935,-.14249712,.13321593,-7
-.017822344,.058302246,-.13706383,.10141914,-6
-.00053385721,.069295064,-.14225817,.14119045,-5
.11380733,.11494239,-.12127624,.3488909,-4
-.014916144,.066562407,-.15105155,.12121927,-3
.082596377,.10380504,-.12970875,.29490152,-2
0,0,0,0,-1
.00085751677,.059699263,-.12124119,.12295622,0
-.0061399019,.059505306,-.12784192,.11556211,1
.038779262,.051915538,-.067399934,.14495847,2
.30577838,.2231802,-.15067637,.76223314,3
-.017386699,.047883175,-.11531879,.080545388,4
-.041128181,.046831939,-.13691026,.05465389,5
.017955104,.065965243,-.11695897,.15286918,6
.0042450316,.071908072,-.14282349,.15131356,7
-.015389064,.058873419,-.13579872,.10502059,8
-.0050678831,.064662866,-.1373183,.12718253,9
.21742044,.12027811,-.028575908,.46341681,10
.016484089,.10427935,-.19679114,.22975932,11
.16353431,.16022258,-.16415766,.49122629,12
.091232315,.075298034,-.062769458,.24523409,13
.23376659,.16895646,-.11178818,.57932132,14
.10654663,.11577136,-.13023239,.34332564,15
-.063044988,.1407124,-.35083416,.22474417,16
.032612506,.088821836,-.14904854,.21427356,17
-.059882466,.12476233,-.3150501,.19528516,18
.011330413,.11290003,-.21957609,.24223691,19
.081175327,.11513496,-.15430211,.31665275,20
-.077772565,.16940355,-.42424175,.26869661,21
.1011793,.1862433,-.27973101,.48208961,22
.017484821,.12973419,-.24785139,.28282103,23
.079148784,.10704187,-.13977642,.29807398,24
