homicide_log_index1,homicide_log_index0,lb,ub,exp
.11670328,.064361878,-.012229053,.24563561,-24
.011655354,.045915611,-.080324672,.10363538,-23
.0090356115,.057079863,-.10530909,.12338032,-22
-.026650533,.045113977,-.11702469,.063723624,-21
-.044636205,.052261148,-.14932786,.060055453,-20
-.000099883116,.05051703,-.10129766,.10109789,-19
.027794844,.053436484,-.079251297,.13484098,-18
-.077130273,.043135822,-.1635417,.0092811622,-17
-.040584914,.045429848,-.13159184,.050422009,-16
.027976623,.04555127,-.063273534,.11922678,-15
-.02725544,.048349328,-.12411078,.069599904,-14
.011393038,.044455878,-.077662788,.10044886,-13
.029936532,.067023046,-.10432677,.16419983,-12
-.00074309722,.033686072,-.068224408,.066738218,-11
.0065728812,.032654468,-.05884188,.071987644,-10
-.061284404,.044674601,-.15077838,.028209573,-9
-.0048178434,.041400231,-.087752476,.078116789,-8
-.021186789,.042736482,-.10679825,.064424671,-7
-.02785909,.035039511,-.09805166,.042333484,-6
-.036056101,.041153964,-.11849739,.046385191,-5
.011725748,.04655185,-.081528813,.10498031,-4
-.069237202,.034847062,-.13904426,.00056985329,-3
-.016201092,.040632252,-.097597271,.065195091,-2
0,0,0,0,-1
-.015926857,.034461521,-.084961578,.053107861,0
-.015031278,.03374321,-.082627051,.052564491,1
-.028959133,.033669706,-.096407659,.038489394,2
.085575983,.055806149,-.026217164,.19736913,3
-.02548226,.042155121,-.10992911,.058964591,4
.010872723,.03947043,-.068196051,.089941494,5
-.031485256,.032348108,-.096286304,.033315793,6
-.088610746,.036466449,-.16166182,-.015559677,7
-.049016677,.041191176,-.13153252,.033499163,8
-.059111267,.042153183,-.14355424,.025331708,9
.0078935996,.042998441,-.07824263,.094029829,10
-.019767426,.042068921,-.1040416,.064506747,11
-.071568631,.043630861,-.15897174,.015834481,12
-.004197902,.058195762,-.12077802,.11238222,13
-.0043663094,.05683982,-.11823016,.10949753,14
.0079045892,.057992239,-.10826783,.12407701,15
.001935914,.056686245,-.11162028,.11549211,16
-.033883467,.048050772,-.13014072,.062373795,17
-.037488535,.047216248,-.13207404,.057096969,18
-.0010687626,.045320623,-.091856882,.089719355,19
-.045591965,.061886482,-.16956548,.078381553,20
-.03597125,.050557718,-.13725053,.065308027,21
-.00028037676,.060551576,-.12157976,.12101901,22
-.03187516,.047376171,-.12678103,.06303072,23
.0091764703,.049822748,-.090630487,.10898342,24
