male_index1,male_index0,lb,ub,exp
-10.778884,3.6376059,-18.065884,-3.491884,-24
-10.897132,4.5625601,-20.037039,-1.7572255,-23
-.82457137,8.2216063,-17.294428,15.645285,-22
-14.757699,4.9021845,-24.577955,-4.9374437,-21
-10.148093,6.7299738,-23.62985,3.3336644,-20
-15.462408,6.6224647,-28.728798,-2.1960177,-19
-8.8030291,6.9606056,-22.746798,5.1407399,-18
-6.463213,8.0963621,-22.682175,9.7557487,-17
3.1946311,15.629648,-28.115316,34.504578,-16
2.1461701,15.284045,-28.471451,32.76379,-15
-1.3879215,8.0091257,-17.432129,14.656285,-14
4.7488422,8.8242931,-12.928342,22.426027,-13
23.75523,19.802567,-15.914078,63.424538,-12
20.045549,14.071136,-8.1423235,48.233421,-11
11.565591,8.7215242,-5.9057207,29.036903,-10
.19108933,6.2194314,-12.267929,12.650107,-9
3.6899946,7.6287374,-11.592203,18.972191,-8
-.40793648,8.567708,-17.571119,16.755245,-7
-.45257422,8.6878691,-17.856466,16.951319,-6
-3.463352,8.7155733,-20.922743,13.996038,-5
.023792148,9.239603,-18.485357,18.532942,-4
-3.7254868,8.8562031,-21.466595,14.01562,-3
3.6713505,8.1888514,-12.73289,20.075592,-2
0,0,0,0,-1
7.3931479,6.0455079,-4.7174592,19.503756,0
7.4239664,5.6924362,-3.9793534,18.827286,1
7.6333346,5.6123171,-3.6094871,18.876156,2
6.451704,5.8088274,-5.1847754,18.088184,3
8.4000578,8.3016024,-8.2300501,25.030165,4
5.4045739,7.1090641,-8.8365927,19.645741,5
7.7343354,6.1125798,-4.5106339,19.979305,6
8.6049013,6.4643917,-4.344831,21.554634,7
17.488049,11.429754,-5.4084997,40.384598,8
25.32798,16.134007,-6.9923201,57.648277,9
31.163881,17.041698,-2.9747441,65.302505,10
36.591866,19.570103,-2.6117594,75.795494,11
39.164459,19.190596,.72107768,77.607841,12
49.136478,23.638914,1.7820454,96.490913,13
50.74651,25.079744,.50574756,100.98727,14
70.409767,31.335888,7.6364408,133.18309,15
44.952217,18.181669,8.529954,81.374481,16
5.0281792,5.6569352,-6.3040237,16.360382,17
-2.23278,6.2698593,-14.792817,10.327257,18
-.26294771,6.1028066,-12.488338,11.962442,19
-5.8016648,6.7739835,-19.371584,7.7682543,20
-9.2018366,7.8130751,-24.853306,6.4496341,21
-5.3674922,7.449182,-20.289997,9.5550127,22
-3.2945082,5.8057194,-14.924762,8.3357458,23
-5.1558704,5.4258542,-16.025162,5.7134213,24
