sexual_area_index1,sexual_area_index0,lb,ub,exp
-.46748373,.31803018,-1.1107605,.17579301,-24
-.25197086,.37653697,-1.0135888,.50964707,-23
-.17124245,.29341754,-.76473546,.42225054,-22
-.16179574,.42227659,-1.0159308,.6923393,-21
.49931186,.97628486,-1.4754107,2.4740343,-20
-.6127578,.28880927,-1.1969297,-.028585957,-19
-.28382218,.3882038,-1.0690385,.50139409,-18
.35403645,.64122653,-.9429667,1.6510396,-17
.2736814,.58925772,-.91820478,1.4655676,-16
.65519655,1.0150702,-1.3979768,2.70837,-15
-.28898114,.56821483,-1.4383041,.86034179,-14
.15307117,.56085259,-.98136026,1.2875026,-13
.15104324,.45204043,-.76329488,1.0653813,-12
-.020971643,.46334663,-.9581787,.91623539,-11
-.50211698,.38153371,-1.2738417,.26960781,-10
-.2021385,.47733903,-1.1676478,.76337087,-9
-.45889628,.44470927,-1.3584057,.44061315,-8
-.34363863,.41201788,-1.1770235,.48974621,-7
-.21192555,.40809762,-1.0373809,.6135298,-6
-.33501014,.41680029,-1.1780683,.50804806,-5
-.47786063,.46494618,-1.418303,.46258178,-4
-.70765299,.43042171,-1.578263,.16295707,-3
-.24540097,.25519332,-.7615782,.27077624,-2
0,0,0,0,-1
.63772494,.30244741,.025967328,1.2494825,0
.36473,.26425964,-.16978556,.89924556,1
.27621549,.27101916,-.27197251,.82440346,2
.13923113,.38587791,-.64128059,.91974288,3
.60132867,.55308205,-.51738536,1.7200427,4
-.12044927,.40469715,-.93902653,.69812799,5
-.24001123,.49378762,-1.238791,.7587685,6
-.47956941,.55646628,-1.6051286,.64598984,7
.1754041,.35438356,-.54140431,.89221251,8
.36067912,.36152288,-.37056994,1.0919282,9
.59262908,.5568828,-.53377271,1.7190309,10
.30884895,.62458789,-.95449936,1.5721972,11
.31991163,.53550202,-.76324344,1.4030668,12
.54960555,.54797369,-.5587759,1.657987,13
.53923714,.64474422,-.76488119,1.8433555,14
.80212349,.8926127,-1.0033561,2.6076031,15
.37268156,.8845042,-1.4163971,2.1617601,16
.17093745,1.0410612,-1.9348075,2.2766824,17
.19132335,.55583686,-.93296283,1.3156096,18
-.5319497,.47017846,-1.4829754,.41907603,19
.88392133,.47521934,-.077300534,1.8451432,20
1.3925084,.35669759,.67101938,2.1139975,21
2.0572312,.70772338,.62572551,3.4887366,22
1.3793198,.73035955,-.097971857,2.8566113,23
1.7081749,.31809589,1.0647652,2.3515847,24
