sexual_index1,sexual_index0,lb,ub,exp
-.76815939,.69770688,-2.1658342,.62951547,-24
-.69168496,.63551217,-1.9647688,.5813989,-23
-.50187325,.69677335,-1.897678,.89393145,-22
-1.3902063,.90582311,-3.2047882,.42437541,-21
-1.3657593,1.0421473,-3.4534309,.72191256,-20
-1.7514158,.8198114,-3.3936954,-.10913631,-19
-1.0750862,.7144714,-2.5063443,.35617197,-18
-.1200973,.79310411,-1.7088758,1.4686812,-17
.99003756,1.5954627,-2.2060583,4.1861334,-16
1.7224412,1.6810187,-1.645044,5.0899262,-15
-.76196599,.57976681,-1.9233785,.39944643,-14
-.1922702,.37798676,-.94946861,.56492823,-13
2.4933641,2.0478354,-1.6089429,6.5956712,-12
1.6044121,1.4449196,-1.2901098,4.4989338,-11
.37914675,1.2317394,-2.0883236,2.8466172,-10
.11211062,.7093631,-1.3089144,1.5331357,-9
-.74694407,.5487116,-1.8461454,.35225734,-8
-.36881682,.6721316,-1.7152581,.97762454,-7
-.2066936,.51363915,-1.2356365,.82224929,-6
-1.4819874,.67211646,-2.8283985,-.13557625,-5
-1.1628999,.84279215,-2.8512154,.52541572,-4
-1.5532269,.61242634,-2.7800643,-.32638952,-3
-1.3131752,.60728395,-2.5297112,-.096639283,-2
0,0,0,0,-1
-.044815928,.66752225,-1.3820237,1.2923918,0
-.5471049,.52311009,-1.5950203,.50081062,1
-.60677761,.47217172,-1.5526513,.33909598,2
-.65065795,.51752031,-1.6873758,.38605979,3
-.90941876,.64425939,-2.2000256,.38118795,4
-1.1240721,.62218392,-2.3704562,.12231201,5
-.60063708,.56940812,-1.7412987,.54002446,6
-1.2641885,.64493448,-2.5561476,.027770491,7
-1.5427029,.64665753,-2.8381135,-.24729227,8
-.97488433,.56439137,-2.1054962,.15572746,9
-1.3384162,.85479075,-3.0507679,.37393534,10
-1.7431085,.89621937,-3.5384517,.052234653,11
.33396423,.55396068,-.77575237,1.4436809,12
.15721892,.57840377,-1.0014631,1.3159009,13
-.68416828,.77479029,-2.2362597,.86792314,14
-.27618736,.67585921,-1.6300961,1.0777214,15
-.18959212,.94158864,-2.0758209,1.6966366,16
.076865047,.64736962,-1.2199721,1.3737023,17
.28308815,1.4372882,-2.5961459,3.1623223,18
2.1248596,2.7812507,-3.446655,7.6963744,19
.40639964,1.1280268,-1.8533098,2.6661091,20
-.43341264,.64767337,-1.7308583,.86403304,21
-.12757362,.66590405,-1.4615397,1.2063924,22
1.3888988,1.4284759,-1.4726822,4.2504797,23
.88403594,.8156116,-.74983042,2.5179024,24
