sexual_index_eb1,sexual_index_eb0,lb,ub,exp
-.47670072,.35309327,-1.1840315,.23063011,-24
-.45387629,.3410317,-1.1370449,.22929229,-23
-.50578535,.29728949,-1.1013278,.089757085,-22
-.66031039,.37651202,-1.4145546,.093933858,-21
-.55708373,.51149309,-1.5817275,.46756005,-20
-1.1953163,.49940631,-2.1957474,-.19488527,-19
-1.0585552,.5058437,-2.071882,-.045228649,-18
-.46308094,.42505115,-1.3145607,.38839883,-17
.55735719,1.1707165,-1.7878698,2.9025841,-16
1.0563793,1.2386671,-1.4249693,3.5377278,-15
-.50799865,.3851206,-1.279488,.26349065,-14
-.33994704,.28456137,-.90999198,.23009787,-13
1.4889202,1.4240528,-1.3638004,4.3416409,-12
.56725496,.79992551,-1.0351884,2.1696982,-11
.13929933,.97129399,-1.8064363,2.0850351,-10
-.089982122,.57845908,-1.2487749,1.0688106,-9
-.61529911,.3943378,-1.4052527,.17465444,-8
-.085287988,.55940086,-1.2059026,1.0353266,-7
-.25046465,.4352057,-1.1222864,.62135714,-6
-1.080619,.42965814,-1.9413277,-.21991028,-5
-.95842463,.54341578,-2.0470173,.13016801,-4
-1.2581183,.46202263,-2.1836607,-.33257571,-3
-1.0455657,.45394114,-1.9549191,-.13621227,-2
0,0,0,0,-1
-.16702393,.50127465,-1.1711977,.8371498,0
-.40696999,.3493537,-1.1068095,.29286954,1
-.50680286,.33372575,-1.1753359,.16173017,2
-.57229674,.35797787,-1.2894125,.1448191,3
-.67171806,.44361413,-1.5603839,.21694787,4
-.91211355,.45404899,-1.8216829,-.0025441262,5
-.53963196,.4883967,-1.5180081,.43874419,6
-1.0549182,.55782425,-2.1723742,.062538102,7
-1.1900483,.54697114,-2.2857633,-.094333403,8
-.74424446,.43944621,-1.6245611,.13607205,9
-.94666129,.64019221,-2.2291203,.33579779,10
-1.3223939,.66428483,-2.6531162,.0083284518,11
.23469011,.47418323,-.715213,1.1845932,12
.018697925,.47846198,-.9397766,.97717243,13
-.53691429,.57307595,-1.6849234,.61109477,14
-.1697275,.47161019,-1.1144762,.7750212,15
-.094229594,.7559427,-1.6085647,1.4201056,16
.10793851,.47991568,-.85344809,1.0693251,17
.28032312,1.2170259,-2.1576729,2.7183189,18
2.036541,2.624424,-3.2208118,7.2938938,19
.43036148,.89962834,-1.3718106,2.2325335,20
-.4785637,.57257962,-1.6255785,.66845113,21
-.14254236,.56370813,-1.2717855,.98670077,22
1.2527473,1.2089344,-1.1690394,3.6745341,23
.60634214,.56043631,-.51634669,1.729031,24
