sexual_log_index1,sexual_log_index0,lb,ub,exp
-.063523144,.088563494,-.24265972,.11561343,-24
-.069179699,.075815544,-.22253111,.084171712,-23
-.031807717,.10595138,-.24611461,.18249919,-22
-.21202886,.11731094,-.44931266,.025254924,-21
-.13672383,.14525749,-.43053484,.15708716,-20
-.24448062,.10905088,-.46505684,-.023904411,-19
-.16388664,.11332832,-.39311478,.06534151,-18
-.050454456,.10181449,-.2563937,.1554848,-17
.0045568151,.096288659,-.19020538,.19931901,-16
.068343267,.10622042,-.14650783,.28319436,-15
-.051193722,.092185326,-.23765615,.1352687,-14
.014300971,.089727446,-.16718993,.19579187,-13
.066448055,.11901063,-.17427367,.3071698,-12
.032849833,.10912893,-.18788426,.25358391,-11
-.11778897,.076215915,-.27195022,.036372267,-10
-.045471951,.075122699,-.19742195,.10647805,-9
-.13756317,.096617721,-.33299094,.057864614,-8
-.093437307,.090186432,-.27585658,.088981979,-7
-.015858196,.073703103,-.1649368,.1332204,-6
-.16499652,.07204745,-.31072623,-.019266794,-5
-.06577643,.098517872,-.26504764,.13349478,-4
-.16962692,.06583482,-.30279043,-.036463428,-3
-.10365555,.063908361,-.23292241,.025611298,-2
0,0,0,0,-1
.040243853,.04319397,-.047124196,.12761191,0
-.022398541,.059138417,-.14201729,.097220197,1
-.081523888,.085097864,-.25365058,.090602793,2
-.081999354,.093010418,-.27013069,.10613197,3
-.0081350785,.11783294,-.2464747,.23020454,4
-.20128833,.11179429,-.42741364,.02483698,5
-.11171169,.076536529,-.26652142,.043098055,6
-.12768586,.087345019,-.30435783,.048986107,7
-.12460848,.092708148,-.31212842,.062911443,8
-.02567956,.065294467,-.15775008,.10639097,9
.0012613272,.06004829,-.1201978,.12272046,10
-.1446103,.094617993,-.33599326,.046772663,11
-.11633935,.074320041,-.26666582,.033987131,12
-.074799284,.077366531,-.23128785,.081689291,13
-.050845817,.091122389,-.23515825,.13346662,14
.066963814,.10699758,-.14945923,.28338686,15
.012545154,.10150546,-.19276902,.21785933,16
-.060018711,.14871156,-.36081624,.2407788,17
-.09426184,.11297075,-.32276675,.13424307,18
-.17506877,.099248275,-.37581736,.025679814,19
.16836709,.10174815,-.037437975,.37417215,20
.12906405,.068194285,-.0088719204,.26700002,21
.17775555,.091640525,-.0076049184,.363116,22
.080509745,.12587132,-.17408904,.33510852,23
.13169187,.06624002,-.0022912237,.26567495,24
