theft_to_motorbike_area_index1,theft_to_motorbike_area_index0,lb,ub,exp
-.83731729,.2645103,-1.3723398,-.30229464,-24
-.47486186,.27832088,-1.037819,.088095263,-23
-.37246898,.22903048,-.83572686,.090788893,-22
-.20681283,.27994469,-.77305436,.35942873,-21
-.43821418,.27411878,-.99267179,.11624338,-20
.075555377,.21159729,-.35244057,.5035513,-19
-.26504871,.23833637,-.74712956,.21703209,-18
-.52209991,.33773282,-1.205229,.16102917,-17
-.90695149,.38348886,-1.6826309,-.131272,-16
-1.0336777,.44060549,-1.9248863,-.1424689,-15
-.81322086,.44077507,-1.7047726,.078330897,-14
-.67468125,.5692904,-1.8261797,.47681719,-13
-.38340518,.37911922,-1.1502461,.38343585,-12
-.1282836,.43291155,-1.0039299,.74736267,-11
-.085151166,.52401668,-1.145075,.97477257,-10
-.22968447,.50730234,-1.2558002,.7964313,-9
-.37977791,.35958067,-1.1070985,.34754264,-8
-.11069777,.31947902,-.75690508,.53550953,-7
-.34658864,.40677249,-1.1693636,.47618639,-6
-.13648428,.44699553,-1.0406181,.76764947,-5
.34507391,.54746312,-.76227474,1.4524226,-4
-.42040879,.36295068,-1.1545458,.31372824,-3
-.10383756,.26047716,-.63070232,.42302722,-2
0,0,0,0,-1
-.041077729,.20001878,-.44565389,.36349842,0
.084578045,.24257715,-.40608057,.57523668,1
-.16241907,.31953245,-.80873448,.48389634,2
-.38693312,.34314096,-1.0810013,.30713502,3
-.55262542,.40574366,-1.3733195,.26806861,4
-.20190975,.43093079,-1.0735495,.66973007,5
-.57293326,.36840612,-1.318105,.1722385,6
-.48667073,.42010915,-1.3364217,.36308026,7
-.62553489,.38225892,-1.3987265,.14765675,8
-.512447,.38398409,-1.2891282,.26423407,9
-.016928939,.41359538,-.85350454,.81964666,10
.87035877,.67940128,-.50386006,2.2445776,11
-.0073481645,.5017091,-1.0221506,1.0074543,12
-.2318024,.47269771,-1.1879238,.72431892,13
-.044095177,.33767486,-.72710705,.63891673,14
-.39539841,.30283296,-1.0079359,.21713907,15
-.65766412,.47299707,-1.614391,.29906273,16
-1.3540915,.55854505,-2.4838555,-.22432747,17
-.36277029,.50781584,-1.3899248,.66438425,18
-.9697569,.49868473,-1.978442,.0389282,19
-.41306818,.41396493,-1.2503912,.42425492,20
-.25417358,.47672445,-1.2184398,.71009266,21
.63426083,.38578829,-.14606966,1.4145913,22
-.034547579,.56491923,-1.1772046,1.1081095,23
.81449598,1.0256075,-1.2599909,2.8889828,24
