theft_to_motorbike_index1,theft_to_motorbike_index0,lb,ub,exp
-.9414354,.3762905,-1.6952358,-.18763496,-24
-.18099105,.29455245,-.77105051,.40906838,-23
-.22507641,.30900988,-.84409761,.3939448,-22
-.38489875,.30435824,-.99460161,.22480407,-21
-.15417433,.36296123,-.88127303,.57292438,-20
.42229265,.51541013,-.6101979,1.4547832,-19
.017600985,.36765403,-.71889848,.7541005,-18
.013890232,.51261973,-1.0130105,1.0407909,-17
-.085323654,.64943248,-1.3862932,1.2156459,-16
-.43421477,.33983251,-1.1149811,.24655154,-15
.13434626,.33461866,-.53597552,.80466801,-14
-.52515554,.35534433,-1.2369958,.18668467,-13
.29781881,.4022015,-.50788766,1.1035253,-12
-.31867811,.32175249,-.96322578,.32586956,-11
-.17546014,.22134486,-.61886716,.26794687,-10
-.17844713,.26605472,-.71141875,.35452449,-9
-.42287779,.27351162,-.97078741,.12503178,-8
.034365032,.17789048,-.32199243,.39072248,-7
-.35324878,.26583707,-.88578445,.17928691,-6
-.0017918237,.28345576,-.56962192,.56603831,-5
.49149361,.37548047,-.26068413,1.2436714,-4
-.33867738,.2728937,-.88534909,.20799439,-3
-.14912011,.22176602,-.59337085,.29513064,-2
0,0,0,0,-1
-.070634581,.14907438,-.36926645,.22799727,0
-.23663941,.22197439,-.68130755,.20802873,1
-.1181132,.1815083,-.481718,.24549162,2
-.29248899,.25340998,-.80013019,.21515219,3
-.46408644,.22975455,-.92434013,-.0038327633,4
-.39234564,.28199297,-.95724547,.17255418,5
-.36017752,.29281265,-.94675177,.22639669,6
-.31423095,.28689393,-.88894856,.26048669,7
-.043356109,.2549164,-.55401504,.46730283,8
.32164547,.37684202,-.43325981,1.0765507,9
.48506376,.28725258,-.090372331,1.0604998,10
.63041604,.25397483,.12164334,1.1391888,11
-.062226083,.28075647,-.62464893,.50019675,12
-.010524692,.21774267,-.44671568,.4256663,13
-.34878522,.34644857,-1.0428051,.34523463,14
-.3859216,.29164195,-.97015065,.19830747,15
-.25637549,.29186797,-.8410573,.32830629,16
-.45759192,.21736382,-.89302397,-.022159858,17
-.035207044,.22736859,-.49068108,.42026699,18
-.084734693,.22891954,-.54331559,.37384623,19
-.1466254,.25883061,-.66512543,.3718746,20
-.027670186,.27555367,-.57967055,.52433014,21
-.27286443,.28547478,-.84473914,.29901028,22
.1571124,.24128155,-.32623261,.64045745,23
.17413931,.18436895,-.19519609,.54347473,24
