theft_to_motorbike_index_eb1,theft_to_motorbike_index_eb0,lb,ub,exp
-.39274538,.11507294,-.62326419,-.16222657,-24
-.17473589,.12148372,-.41809702,.068625242,-23
-.22528298,.10274412,-.43110418,-.019461773,-22
-.12720773,.1360454,-.39973941,.14532395,-21
-.18281595,.095039584,-.3732031,.0075712185,-20
.0036390629,.096210778,-.18909429,.1963724,-19
-.089867145,.091193281,-.27254924,.092814952,-18
-.21836831,.15032226,-.51949996,.082763374,-17
-.30975434,.18282828,-.6760034,.056494724,-16
-.43881717,.14057215,-.72041702,-.15721732,-15
-.10833143,.14451773,-.39783525,.18117239,-14
-.31290987,.17912854,-.67174745,.045927744,-13
.00047299152,.16312094,-.32629752,.32724351,-12
.00054191711,.1416817,-.28328061,.28436446,-11
-.027228488,.13495754,-.29758093,.24312395,-10
-.081349507,.14124992,-.36430711,.20160808,-9
-.14982933,.13103274,-.41231945,.1126608,-8
.03540777,.1030531,-.1710324,.24184793,-7
-.12721463,.13844304,-.40454936,.15012012,-6
.0059023835,.16674206,-.32812211,.33992687,-5
.34902385,.25372291,-.15924419,.85729188,-4
-.083907664,.12729995,-.33892009,.17110477,-3
.031074146,.1013316,-.17191744,.23406573,-2
0,0,0,0,-1
-.0061756824,.09671548,-.19992007,.18756871,0
-.07251785,.10766076,-.28818825,.14315256,1
-.050294001,.10593905,-.2625154,.1619274,2
-.12109163,.14131244,-.40417445,.16199121,3
-.21080998,.12024856,-.45169678,.030076824,4
-.099454634,.1486426,-.39722154,.19831228,5
-.093760476,.13232784,-.358845,.17132404,6
-.083000042,.15914959,-.40181497,.2358149,7
-.00041496457,.15217927,-.30526668,.30443674,8
.16220781,.18649657,-.21138972,.53580534,9
.22257294,.1357062,-.049279243,.49442512,10
.33102366,.15264584,.0252373,.63681,11
-.065664642,.16502558,-.39625058,.26492131,12
-.061592933,.16076544,-.38364479,.26045892,13
-.28363752,.1842083,-.65265107,.085376054,14
-.29556254,.19442172,-.68503606,.093910947,15
-.21500412,.18616733,-.58794206,.15793386,16
-.26473221,.15816291,-.58157057,.052106138,17
.021865018,.13778436,-.25415024,.29788026,18
-.026093181,.14222527,-.31100464,.25881827,19
-.11086047,.16469371,-.44078162,.21906067,20
-.023257019,.21085168,-.44564369,.39912966,21
-.079736084,.18055841,-.44143805,.28196588,22
.11359221,.1560438,-.1990011,.42618552,23
.15980044,.13444591,-.10952708,.42912796,24
