theft_to_motorbike_log_index1,theft_to_motorbike_log_index0,lb,ub,exp
-.26781482,.10559795,-.48140684,-.054222796,-24
-.039504651,.067480005,-.17599584,.096986532,-23
-.019865137,.075770348,-.17312513,.13339485,-22
-.054790106,.088413186,-.23362266,.12404245,-21
-.019541342,.082683034,-.18678355,.14770088,-20
.13752078,.090201609,-.044929188,.31997076,-19
.054997541,.084023647,-.11495633,.22495142,-18
.020967662,.10145947,-.18425348,.22618881,-17
-.068601273,.11722658,-.3057144,.16851187,-16
-.081048183,.084957942,-.25289184,.090795472,-15
.052085601,.082678266,-.11514697,.21931818,-14
-.15691188,.098235883,-.3556127,.041788951,-13
-.024052093,.070518814,-.16668986,.11858568,-12
-.068456449,.090406686,-.25132123,.11440834,-11
-.027358448,.064203918,-.15722314,.10250624,-10
-.00091558136,.073696323,-.14998047,.1481493,-9
-.061356924,.070697412,-.20435593,.081642084,-8
.06617669,.056818563,-.048749704,.18110308,-7
-.064673036,.080091424,-.22667323,.097327158,-6
-.015112701,.07711836,-.17109931,.14087391,-5
.075374208,.066606484,-.059350122,.21009853,-4
-.076332994,.073074289,-.22413969,.071473703,-3
-.029228626,.06281697,-.15628795,.097830698,-2
0,0,0,0,-1
.018791214,.046331659,-.074923411,.11250584,0
-.037201121,.066565044,-.17184164,.097439393,1
-.016975587,.081520207,-.18186578,.1479146,2
-.0016170178,.069764495,-.14272903,.13949499,3
-.12084521,.0553835,-.23286891,-.0088215126,4
-.012618431,.071682319,-.1576096,.13237274,5
-.068717092,.077521674,-.22551948,.088085301,6
-.073981486,.093139395,-.26237369,.11441072,7
-.10734725,.086765461,-.28284696,.068152457,8
-.063211679,.066964269,-.19865969,.072236337,9
.020709684,.07249245,-.12592015,.1673395,10
.11583865,.064932898,-.01550053,.24717782,11
-.083749063,.068705387,-.22271882,.055220701,12
-.037529781,.081243753,-.20186079,.12680122,13
.05199267,.068724938,-.087016635,.19100198,14
-.080427893,.057197385,-.19612052,.035264742,15
-.072929397,.12134482,-.31837246,.17251366,16
-.23477159,.067961447,-.37223661,-.097306609,17
.022632139,.096330322,-.17221433,.2174786,18
-.17530765,.12689972,-.43198654,.08137127,19
-.043269191,.11189817,-.26960459,.18306622,20
.017324852,.093979806,-.17276725,.20741695,21
.15899813,.083519585,-.0099361837,.32793245,22
-.01861142,.085132509,-.19080818,.15358533,23
.14866684,.14582664,-.1462954,.44362906,24
