theft_to_people_area_index1,theft_to_people_area_index0,lb,ub,exp
-48.630131,21.772215,-98.836945,1.576686,-15
-50.941647,19.224516,-95.273453,-6.6098332,-14
-51.802322,18.273151,-93.940285,-9.6643591,-13
-49.486992,17.054758,-88.815338,-10.158648,-12
-45.48251,15.147205,-80.412025,-10.552991,-11
-36.728424,15.773725,-73.102699,-.3541508,-10
-30.68519,14.430015,-63.960865,2.5904844,-9
-21.559706,12.282454,-49.883095,6.7636828,-8
-23.303938,9.5831842,-45.402802,-1.2050744,-7
-20.267056,9.8015242,-42.869411,2.3353004,-6
-16.670765,9.1663799,-37.808475,4.4669452,-5
-13.744611,6.21491,-28.07622,.58699751,-4
-10.627709,4.6355019,-21.317196,.06177697,-3
-.61795563,3.838963,-9.4706202,8.2347088,-2
0,0,0,0,-1
6.4526396,3.7103734,-2.1034966,15.008776,0
17.540012,8.8571196,-2.8845425,37.964565,1
19.988974,6.4494081,5.116612,34.861336,2
29.776423,7.8505683,11.67298,47.879868,3
40.848022,12.540479,11.929626,69.766418,4
47.097683,13.752892,15.383455,78.811905,5
45.521427,11.070879,19.991936,71.050919,6
55.09864,15.808359,18.644501,91.55278,7
58.625244,16.761673,19.972754,97.277733,8
46.994877,14.811278,12.840009,81.149742,9
54.288643,16.855549,15.419679,93.157608,10
56.788059,19.097084,12.750104,100.82602,11
60.173271,18.428572,17.67691,102.66963,12
54.509319,13.501481,23.374847,85.643791,13
