theft_to_people_index1,theft_to_people_index0,lb,ub,exp
-40.417995,26.82242,-95.659805,14.823812,-15
-30.772923,19.482969,-70.898849,9.3530035,-14
-31.885098,19.137367,-71.299248,7.529048,-13
-30.924866,16.501894,-64.911148,3.0614207,-12
-27.095804,14.860909,-57.702419,3.5108109,-11
-27.63994,15.641814,-59.854858,4.5749788,-10
-22.728191,16.25062,-56.196972,10.740587,-9
-17.170958,14.767917,-47.586052,13.244135,-8
-20.691919,10.736719,-42.804607,1.4207668,-7
-28.157639,12.856852,-54.636818,-1.6784581,-6
-28.134012,11.87654,-52.594204,-3.6738193,-5
-23.636755,10.749353,-45.775463,-1.4980465,-4
-17.630981,7.3381214,-32.744125,-2.5178375,-3
-1.7946057,4.7006192,-11.475712,7.8865004,-2
0,0,0,0,-1
2.2404766,4.5489826,-7.1283288,11.609282,0
-1.4404525,6.5457578,-14.921693,12.040788,1
-7.2403116,9.988101,-27.811192,13.330567,2
-7.358192,12.000931,-32.07457,17.358187,3
6.7295589,11.28723,-16.516926,29.976044,4
6.6633582,14.912235,-24.048965,37.375683,5
6.9852514,16.043835,-26.057646,40.028149,6
10.962285,17.6733,-25.436556,47.361126,7
27.952856,18.073048,-9.2692833,65.174995,8
32.625671,23.012459,-14.769376,80.020714,9
48.556839,21.287794,4.7138066,92.399872,10
69.248558,25.024181,17.710291,120.78683,11
75.289749,24.19239,25.464584,125.11491,12
102.368,32.377689,35.684898,169.05109,13
123.24613,33.432426,54.390759,192.1015,14
136.45142,39.14135,55.838291,217.06453,15
