theft_to_people_index_eb1,theft_to_people_index_eb0,lb,ub,exp
-54.030151,31.114664,-125.7807,17.720394,-15
-42.587254,20.154139,-89.062782,3.8882709,-14
-39.7644,17.983435,-81.234276,1.7054734,-13
-36.180164,15.802721,-72.6213,.26097521,-12
-31.312164,13.406318,-62.227188,-.39714053,-11
-28.137329,14.482146,-61.533218,5.2585602,-10
-21.790762,13.797357,-53.607525,10.025999,-9
-16.128523,11.466343,-42.569958,10.312911,-8
-17.954987,9.0817862,-38.897621,2.9876497,-7
-16.769037,8.4813156,-36.326988,2.7889135,-6
-8.8946533,8.7224741,-29.008715,11.219408,-5
-5.0764947,7.7138829,-22.86474,12.711751,-4
-5.9745092,2.9418964,-12.758534,.80951589,-3
2.2603979,5.5066352,-10.437925,14.958721,-2
0,0,0,0,-1
4.1097274,3.0181861,-2.8502223,11.069676,0
5.1364813,6.0193172,-8.7440891,19.017052,1
16.354248,4.048089,7.0193381,25.689157,2
25.901251,5.9218011,12.245554,39.55695,3
30.75596,4.5558314,20.250193,41.261726,4
30.896912,4.4105773,20.726103,41.067722,5
28.277023,3.848417,19.402557,37.151489,6
34.583664,5.3956285,22.141323,47.026005,7
34.663567,10.20774,11.124476,58.202656,8
21.292768,7.1000376,4.9200535,37.665485,9
21.961233,6.2524214,7.5431237,36.379345,10
21.666275,10.005812,-1.4071671,44.739719,11
22.915081,6.9218612,6.9532409,38.876923,12
19.227711,7.8773551,1.0624975,37.392925,13
