theft_to_people_log_index1,theft_to_people_log_index0,lb,ub,exp
-.07236433,.069635637,-.21321571,.068487048,-24
-.080852784,.06955409,-.22153921,.05983365,-23
-.041035932,.065804571,-.17413825,.092066385,-22
-.081691831,.070346013,-.22398007,.060596418,-21
-.053888239,.070303358,-.19609019,.088313721,-20
-.060612731,.068490535,-.19914792,.077922456,-19
.00030134164,.077390723,-.15623617,.15683886,-18
.013096855,.071581572,-.13169055,.15788426,-17
-.022984736,.07259424,-.16982044,.12385098,-16
-.032128889,.074277796,-.18236992,.11811213,-15
-.033147246,.073898062,-.18262018,.1163257,-14
-.011449457,.079519466,-.17229275,.14939384,-13
-.024086785,.07553044,-.17686151,.12868795,-12
.0041766036,.06634865,-.13002621,.13837941,-11
-.0061329403,.076004438,-.15986642,.14760055,-10
.0045808037,.075741231,-.14862029,.1577819,-9
-.027542606,.073026381,-.17525241,.1201672,-8
-.071607143,.067884177,-.20891586,.065701567,-7
-.040832955,.076614,-.1957994,.11413349,-6
-.01618349,.066900373,-.15150227,.11913529,-5
-.031095151,.060753886,-.15398149,.091791183,-4
-.15302561,.05536259,-.26500702,-.041044209,-3
-.045680776,.060920466,-.16890405,.077542499,-2
0,0,0,0,-1
-.11792342,.060280874,-.23985299,.0040061614,0
-.11002711,.05444704,-.22015664,.00010241964,1
-.089979663,.062902667,-.21721232,.037252985,2
-.15246736,.070325494,-.29471409,-.010220627,3
-.053984474,.074698679,-.20507681,.097107857,4
-.025374895,.079820603,-.1868273,.13607751,5
-.030070389,.091762491,-.21567754,.15553677,6
-.0083336867,.09990567,-.21041198,.1937446,7
-.095072836,.10157525,-.30052817,.11038249,8
-.19147357,.14104821,-.47677049,.093823351,9
-.052195102,.092992626,-.24029045,.13590024,10
-.075919695,.09096463,-.25991303,.10807363,11
-.12120458,.087737195,-.29866979,.056260649,12
-.12411164,.089818768,-.30578724,.057563961,13
.065945961,.14205602,-.22138944,.35328135,14
-.073739849,.11520706,-.30676812,.15928844,15
-.14975099,.1096954,-.37163088,.072128899,16
-.048379079,.12833495,-.30796102,.21120287,17
-.22976688,.15434797,-.54196513,.082431383,18
.19362347,.13230509,-.073988833,.46123576,19
.12573664,.11337634,-.10358866,.35506192,20
.060986761,.10030583,-.14190093,.26387444,21
.082722701,.16374686,-.24848658,.413932,22
-.10284097,.16774623,-.44213977,.23645781,23
-.052197043,.1361528,-.32759207,.22319798,24
