theft_to_vehicle_index1,theft_to_vehicle_index0,lb,ub,exp
-.42843199,.24334672,-.9206472,.063783213,-24
-.34848604,.35641193,-1.0693972,.37242514,-23
-1.0329407,.50777799,-2.0600188,-.005862772,-22
-.44633693,.50611162,-1.4700444,.57737052,-21
-.080249436,.7244699,-1.5456281,1.3851292,-20
.44135413,.58277082,-.7374112,1.6201195,-19
-.069711298,.25404239,-.58356053,.4441379,-18
-.23143286,.31120637,-.8609072,.39804146,-17
.31950384,.62414312,-.94294482,1.5819526,-16
.5403865,.63220835,-.7383756,1.8191487,-15
-.2739765,.28698066,-.85444963,.30649668,-14
-.13480759,.31161422,-.7651068,.49549162,-13
.15098427,.30187547,-.45961651,.76158506,-12
-.41676053,.29679489,-1.0170848,.18356378,-11
-.29116002,.33465961,-.96807301,.38575295,-10
-.0053675459,.38827744,-.7907328,.77999771,-9
.16378252,.20915538,-.25927418,.5868392,-8
-.18023348,.28870732,-.76419914,.40373215,-7
-.10691489,.18566938,-.48246664,.26863685,-6
-.15194394,.24834023,-.6542595,.3503716,-5
.25230461,.21003543,-.17253214,.67714137,-4
.31287792,.30746359,-.30902585,.93478167,-3
.042778187,.16709034,-.29519391,.3807503,-2
0,0,0,0,-1
-.17534693,.17955729,-.53853583,.187842,0
.077143252,.23300965,-.39416325,.54844975,1
-.12439203,.19087748,-.5104782,.26169413,2
-.35424468,.24336225,-.84649128,.13800193,3
-.36351484,.2521272,-.87349021,.14646059,4
.076086804,.31355056,-.55812907,.71030265,5
-.045424908,.2570453,-.56534809,.4744983,6
-.028895037,.30438125,-.64456421,.58677417,7
-.44953853,.26988336,-.99542922,.096352123,8
-.14579387,.27963749,-.7114141,.41982633,9
.18715791,.28787178,-.3951177,.76943356,10
.3014884,.30366409,-.31273019,.91570705,11
-.088688135,.33391017,-.76408517,.5867089,12
-.049394172,.297106,-.65034777,.55155939,13
.1175424,.28051662,-.44985604,.68494087,14
.13091278,.28714618,-.44989517,.71172071,15
.20511343,.3842788,-.57216382,.9823907,16
.18233125,.32462138,-.47427747,.83893996,17
.11255179,.30455735,-.50347364,.7285772,18
.22324516,.30842307,-.40059936,.84708971,19
.35471138,.26964068,-.19068837,.90011114,20
.30628416,.3535805,-.4088999,1.0214682,21
.71318859,.35486498,-.0045936126,1.4309708,22
.53382653,.38037229,-.23554902,1.3032022,23
-.13254885,.30981416,-.75920713,.49410942,24
