theft_to_vehicle_index_eb1,theft_to_vehicle_index_eb0,lb,ub,exp
-.20177631,.12309667,-.45076281,.047210202,-24
-.11651678,.10983761,-.33868429,.10565075,-23
-.38742206,.16171856,-.71452874,-.060315404,-22
-.25799975,.14497203,-.55123335,.035233859,-21
-.21748129,.19508551,-.61207896,.17711639,-20
.1443329,.22904889,-.31896222,.60762805,-19
-.15328415,.16722932,-.49153739,.1849691,-18
-.27552769,.14858367,-.57606655,.025011161,-17
-.20907347,.24387862,-.7023645,.28421757,-16
.068327941,.30294755,-.54444134,.68109721,-15
-.18073183,.19906774,-.58338434,.2219207,-14
-.081731521,.26951379,-.62687463,.46341157,-13
.020448718,.20988542,-.40408459,.44498205,-12
-.23743577,.19098882,-.62374711,.14887559,-11
-.052785475,.23971175,-.53764826,.43207732,-10
.033522885,.23786512,-.44760472,.51465052,-9
.068584487,.13048527,-.19534686,.33251584,-8
-.0054462403,.19568469,-.40125588,.3903634,-7
-.03876761,.14489609,-.33184764,.2543124,-6
-.12833332,.19732806,-.52746701,.27080035,-5
.17542556,.15940683,-.14700519,.49785632,-4
.25010106,.24176203,-.23890878,.73911095,-3
.028066499,.12445406,-.2236656,.2797986,-2
0,0,0,0,-1
-.05805669,.12079035,-.30237824,.18626484,0
-.021977557,.13220389,-.28938517,.24543005,1
-.072891593,.12651841,-.32879922,.18301605,2
-.18970661,.15147834,-.49610046,.11668723,3
-.10827538,.1419888,-.39547482,.17892407,4
.057063445,.20930125,-.36628827,.48041517,5
-.04856161,.18972059,-.43230772,.33518448,6
-.20205948,.1803019,-.56675452,.16263556,7
-.38440496,.1959011,-.78065234,.011842399,8
-.16231433,.20207773,-.57105511,.24642646,9
.025294108,.20805417,-.39553517,.44612339,10
.13020045,.19203889,-.25823486,.51863575,11
-.16420585,.24474245,-.65924418,.33083248,12
-.11057729,.22755601,-.57085276,.34969816,13
.0336193,.19824965,-.36737847,.43461707,14
.076278664,.22550321,-.37984464,.53240198,15
.081928939,.26057017,-.44512397,.60898185,16
.10168962,.2557421,-.41559762,.61897689,17
.018753188,.19111978,-.36782303,.40532941,18
.13205078,.19859043,-.26963627,.53373784,19
.2651948,.17415875,-.087074518,.61746413,20
.13943289,.22254822,-.31071335,.58957916,21
.54531872,.24834208,.04299942,1.0476379,22
.27772331,.30287084,-.33489078,.89033747,23
-.18865354,.2378338,-.66971779,.29241073,24
