theft_to_vehicle_log_index1,theft_to_vehicle_log_index0,lb,ub,exp
-.10270648,.075149961,-.25471163,.049298663,-24
-.032870006,.08856225,-.21200407,.14626406,-23
-.23775113,.110567,-.46139398,-.014108266,-22
-.10226674,.10609507,-.31686428,.11233079,-21
-.11955673,.11950449,-.36127737,.1221639,-20
.045555215,.10703505,-.1709436,.26205403,-19
-.064913534,.081593379,-.22995171,.10012465,-18
-.11640234,.093836129,-.30620381,.073399141,-17
-.04864103,.11146856,-.27410749,.17682542,-16
.046240501,.10793068,-.17206989,.26455089,-15
-.057674412,.083662651,-.2268981,.11154928,-14
-.075788416,.068630531,-.21460678,.063029937,-13
.019741142,.073511489,-.12894988,.16843216,-12
-.12081145,.084821492,-.29237911,.050756212,-11
-.14162631,.073399022,-.29008985,.0068372204,-10
-.067078292,.081212349,-.23134577,.097189195,-9
.020123102,.056493487,-.094145767,.13439196,-8
-.10211433,.069760621,-.2432185,.038989838,-7
-.095230848,.056685101,-.20988728,.019425595,-6
-.0445177,.064956009,-.17590362,.086868219,-5
.010239255,.066113144,-.1234872,.14396571,-4
-.0082470328,.070438497,-.15072234,.13422827,-3
-.0084462538,.058805313,-.12739123,.11049872,-2
0,0,0,0,-1
-.081418231,.051352162,-.18528777,.022451319,0
.021568876,.066775046,-.11349641,.15663415,1
-.069403917,.059397586,-.18954688,.050739039,2
-.15189633,.076702811,-.30704242,.0032497651,3
-.13646115,.070518836,-.27909896,.0061766491,4
-.016832186,.088794626,-.19643627,.16277191,5
-.048348214,.072099559,-.19418333,.097486913,6
-.04899887,.10169925,-.25470501,.15670727,7
-.17852281,.089405179,-.35936186,.0023162349,8
-.10419001,.090107128,-.2864489,.07806886,9
.058343634,.081900835,-.10731644,.22400372,10
.037701823,.078039736,-.12014845,.1955521,11
-.053391814,.092034101,-.23954836,.13276473,12
-.039426427,.081838265,-.20495994,.12610708,13
.0086560072,.073892757,-.1408062,.15811822,14
-.062172461,.09955319,-.26353779,.13919286,15
-.033155762,.14120235,-.31876448,.25245294,16
-.039163314,.10640023,-.25437811,.17605147,17
-.10805178,.080057792,-.26998395,.053880397,18
-.02399691,.077237122,-.18022373,.13222992,19
.082301006,.06550736,-.050200138,.21480215,20
.042195834,.11357088,-.18752295,.27191463,21
.16028073,.1253002,-.093162857,.4137243,22
.062333655,.14911571,-.23928136,.36394867,23
-.2298184,.15734835,-.54808551,.088448688,24
