tasa_total_homicidio1,tasa_total_homicidio0,lb,ub,exp
-.11517578,.060258023,-.23588711,.0055355453,-24
-.062619299,.064307906,-.19144352,.06620492,-23
.012186516,.068897523,-.1258318,.15020484,-22
.39346942,.29162732,-.19073032,.97766918,-21
.03788165,.05688196,-.076066613,.15182991,-20
-.018141832,.065497741,-.14934957,.11306591,-19
-.035536934,.055393733,-.14650391,.075430043,-18
-.064893447,.072860882,-.21085133,.081064433,-17
.031782832,.094622195,-.1577682,.22133386,-16
.06506902,.085973099,-.10715579,.23729384,-15
-.020641567,.061313752,-.14346777,.10218464,-14
.15640332,.16238154,-.16888599,.48169264,-13
-.1255766,.16097513,-.44804853,.19689533,-12
.17654863,.16762522,-.15924503,.51234227,-11
.081527159,.05591118,-.030476391,.19353071,-10
.17924321,.14887874,-.11899675,.47748315,-9
.083456375,.085550837,-.087922543,.25483531,-8
.070773073,.089119948,-.10775564,.24930179,-7
.05139726,.04404334,-.03683215,.13962667,-6
.059868302,.048389353,-.03706722,.15680383,-5
-.073106349,.12616561,-.32584643,.17963374,-4
.091461264,.074308455,-.05739646,.24031898,-3
-.14712432,.11758568,-.38267675,.088428102,-2
0,0,0,0,-1
-.037179586,.047800347,-.13293518,.058576018,0
-.039425392,.097018294,-.23377639,.1549256,1
.13681902,.058936208,.018755604,.25488243,2
.039395139,.061733663,-.084272251,.16306253,3
-.032905646,.036583439,-.10619108,.040379785,4
.060294718,.078121036,-.096200518,.21678996,5
.033481825,.06327223,-.093267679,.16023132,6
.060018577,.081379838,-.10300483,.22304198,7
.071059853,.058113139,-.045354754,.18747446,8
-.0041371868,.043296836,-.09087117,.082596801,9
.011946883,.049747784,-.087709904,.11160367,10
-.12456159,.062483806,-.24973169,.00060850848,11
-.038785685,.074090518,-.18720683,.10963546,12
-.030026477,.067096323,-.16443656,.10438361,13
.0044119009,.073099129,-.14202325,.15084705,14
-.091686018,.10488453,-.30179498,.11842293,15
-.086472958,.056049459,-.19875352,.0258076,16
-.062028743,.08157827,-.22544965,.10139216,17
.064633913,.090256602,-.11617178,.2454396,18
-.0030306028,.062073231,-.12737823,.12131701,19
.020393679,.082229003,-.1443308,.18511817,20
.064569108,.064196683,-.064032301,.19317052,21
.1086086,.11025093,-.11225057,.32946774,22
-.041259136,.072042599,-.18557779,.10305953,23
.09628389,.10253507,-.10911854,.30168632,24
