tasa_total_hurto1,tasa_total_hurto0,lb,ub,exp
.23032069,.30432177,-.37930906,.83995044,-24
.23062815,.3427124,-.45590732,.91716361,-23
.6095857,.53261006,-.45736045,1.6765318,-22
.66678143,.53147453,-.39789,1.7314528,-21
.90441102,.72436476,-.54666597,2.3554881,-20
.83136076,.67093766,-.51268893,2.1754105,-19
.69774556,.5102635,-.32443503,1.7199261,-18
.64208156,.45054364,-.2604658,1.544629,-17
.63858002,.44577858,-.2544218,1.5315819,-16
.31639323,.15420856,.0074763419,.62531006,-15
.56025827,.41762635,-.27634785,1.3968643,-14
.48170346,.31296834,-.14524747,1.1086544,-13
.47230035,.30572259,-.1401356,1.0847363,-12
.51144409,.4193126,-.32853997,1.3514282,-11
.3544676,.19439051,-.034943376,.7438786,-10
.50072062,.2583887,-.016894113,1.0183353,-9
.7589578,.3956933,-.033711132,1.5516268,-8
.63674104,.40871876,-.18202101,1.4555031,-7
.1857843,.48659834,-.78898931,1.1605579,-6
.32016984,.54549062,-.77257913,1.4129188,-5
.33157793,.53912234,-.74841386,1.4115697,-4
.1051892,.43403035,-.76427805,.97465646,-3
-.14045203,.41930667,-.98042423,.69952017,-2
0,0,0,0,-1
-.11253467,.38593513,-.88565564,.6605863,0
-.11729521,.37807396,-.87466836,.64007795,1
-.1447918,.37829384,-.90260541,.61302179,2
-.24090886,.41947609,-1.0812205,.59940273,3
-.29986924,.45597658,-1.2133001,.61356157,4
-.4047862,.47838661,-1.3631098,.55353737,5
-.014314977,.35332584,-.72211164,.69348168,6
.017400159,.34085083,-.66540611,.70020646,7
-.1386275,.42316183,-.98632252,.70906752,8
-.093006499,.39349017,-.881262,.69524902,9
.22467135,.29662889,-.36954769,.81889039,10
.12485757,.31060699,-.49736297,.74707812,11
.21668962,.32110003,-.42655104,.85993028,12
.22669747,.31896847,-.41227317,.86566812,13
.12230308,.33607569,-.55093747,.79554361,14
.19912347,.3416993,-.4853825,.88362944,15
.17473231,.35693836,-.54030114,.88976574,16
.22157212,.35431767,-.48821148,.93135571,17
.1348498,.40598157,-.67842901,.94812864,18
.28250378,.29515645,-.30876565,.87377322,19
.27017567,.18516746,-.10075933,.64111066,20
.26610085,.19023754,-.11499072,.64719242,21
.20722076,.15483324,-.10294748,.517389,22
.1507685,.11953866,-.088696204,.39023322,23
.1707879,.11640065,-.062390633,.40396643,24
