tasa_total_vehiculo1,tasa_total_vehiculo0,lb,ub,exp
.11067545,.15241227,-.19464302,.4159939,-24
.094035827,.17291099,-.25234652,.44041815,-23
.12222133,.16779517,-.21391279,.45835543,-22
.39505491,.32013172,-.246246,1.0363559,-21
.39433593,.31865537,-.24400745,1.0326793,-20
.33928022,.28533068,-.23230582,.91086626,-19
.31304732,.20972374,-.1070798,.73317444,-18
.27191144,.18090241,-.09047962,.6343025,-17
.28603658,.18210593,-.078765437,.65083861,-16
-.01078569,.12765375,-.26650688,.24493548,-15
.32398155,.24398087,-.16477086,.81273401,-14
.24120617,.14134192,-.041935731,.52434808,-13
.22937751,.13822219,-.047514793,.50626981,-12
.25832728,.26145416,-.26542836,.78208292,-11
.10731737,.070803493,-.034519073,.24915381,-10
.17899185,.090692207,-.0026864703,.36067018,-9
.36571917,.1667425,.031693798,.69974452,-8
.30688059,.17443858,-.042561874,.65632308,-7
.00074524456,.21405071,-.42804986,.42954034,-6
.12004152,.25032255,-.38141477,.62149781,-5
.1461384,.24755627,-.34977639,.64205319,-4
.040627472,.20865151,-.37735173,.45860669,-3
-.031006955,.20056902,-.43279496,.37078106,-2
0,0,0,0,-1
-.0095018363,.18087575,-.37183952,.35283583,0
-.049359001,.18496142,-.41988128,.32116327,1
-.04414719,.18102264,-.40677911,.31848472,2
-.089656085,.20165926,-.49362811,.31431594,3
-.12688361,.21732202,-.56223196,.30846471,4
-.17134449,.22443563,-.62094307,.27825412,5
.026230592,.15458404,-.28343844,.33589962,6
.099184297,.13577178,-.17279927,.37116787,7
-.050796445,.19573914,-.44290903,.34131613,8
-.0039819838,.16595037,-.33642054,.32845655,9
.10760133,.14397305,-.18081136,.396014,10
.033303428,.15916105,-.28553447,.35214132,11
.12177037,.16085252,-.20045595,.44399667,12
.12931594,.15989383,-.19098987,.44962177,13
.055036686,.16253705,-.27056417,.38063753,14
.13399765,.15709227,-.18069598,.44869128,15
.12603068,.17931569,-.23318179,.48524314,16
.11383212,.17028537,-.22729047,.45495471,17
.066456527,.19792172,-.33002833,.46294138,18
.11305004,.1288659,-.14509939,.37119946,19
.11006882,.070103399,-.030365173,.25050279,20
.1106587,.073705621,-.036991414,.2583088,21
.084573701,.059556782,-.034732874,.20388027,22
.056765079,.043394987,-.030165527,.14369568,23
.072257519,.046601199,-.021095904,.16561094,24
