tasa_total_violacion_maltrato1,tasa_total_violacion_maltrato0,lb,ub,exp
.26732275,.23196879,-.19736658,.73201209,-24
.44636491,.42887565,-.41277626,1.3055061,-23
.94665647,.80589259,-.6677404,2.5610533,-22
.69368088,.56366283,-.43547148,1.8228332,-21
.66058254,.54585171,-.43288985,1.7540549,-20
.63515711,.51569754,-.39790916,1.6682234,-19
.33480716,.26346621,-.19297907,.86259341,-18
-.052996457,.11357364,-.2805118,.17451888,-17
.66352868,.49262825,-.32332429,1.6503817,-16
.42664361,.32034338,-.21508129,1.0683686,-15
.25268656,.4022119,-.55304068,1.0584139,-14
.57477182,.31404617,-.054338235,1.203882,-13
.45328024,.37839121,-.30472845,1.2112889,-12
.37068635,.36318424,-.35685912,1.0982318,-11
.17534509,.16578954,-.15677127,.50746149,-10
.42354643,.24503493,-.067317508,.91441041,-9
.53897965,.25990987,.018317621,1.0596417,-8
-.051147375,.27894777,-.60994691,.50765216,-7
-.091972269,.31402013,-.72103018,.53708565,-6
.38163826,.51318979,-.64640439,1.409681,-5
.12886401,.38920447,-.65080625,.90853423,-4
.060427781,.32532573,-.59127802,.71213353,-3
-.14347324,.37161678,-.88791114,.60096467,-2
0,0,0,0,-1
-.20321614,.36179993,-.92798847,.5215562,0
-.064843662,.27877235,-.62329179,.49360445,1
-.2752175,.37261334,-1.0216517,.47121668,2
-.16712478,.3123005,-.7927379,.45848832,3
-.2019628,.26255214,-.72791797,.32399237,4
-.25641072,.31851932,-.8944816,.38166013,5
-.12985598,.27075928,-.672252,.41254008,6
-.02300939,.23929356,-.50237197,.45635319,7
-.16781765,.2883642,-.74548054,.40984526,8
.10690068,.17446464,-.24259399,.45639533,9
.15512885,.21457234,-.27471119,.58496892,10
-.015980374,.2097545,-.43616912,.40420839,11
.19574812,.21408184,-.23310934,.6246056,12
.14157815,.24549249,-.35020241,.63335872,13
.048165206,.22449507,-.40155244,.49788284,14
.12831911,.26558834,-.40371826,.66035652,15
.24808139,.24268454,-.23807417,.73423696,16
-.061226971,.30765411,-.67753226,.55507833,17
.022240421,.33866543,-.65618795,.70066881,18
.25129095,.16054778,-.070324913,.57290679,19
.0049231122,.10780583,-.2110379,.22088413,20
.074616052,.14212364,-.21009181,.35932392,21
.075732492,.10993424,-.14449225,.29595724,22
.065992087,.063939527,-.062094174,.19407836,23
.18290418,.13960436,-.096756965,.46256533,24
