		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	TWFE homicide_area_index	TWFE theft_to_motorbike_area_index	TWFE theft_to_people_area_index	TWFE theft_to_vehicle_area_index	TWFE sexual_area_index	TWFE	TWFE homicide_area_index H	TWFE theft_to_motorbike_area_index H	TWFE theft_to_people_area_index H	TWFE theft_to_vehicle_area_index H	TWFE sexual_area_index H	TWFE H
													
dummy_oxxo	dummy_oxxo	0.0877	-0.380	-4.920	-0.255	0.217	15.25**	0.141	-0.377	-4.684	-0.351*	0.401	12.71*
		(0.122)	(0.325)	(3.754)	(0.204)	(0.304)	(6.929)	(0.0955)	(0.252)	(3.676)	(0.210)	(0.346)	(7.341)
Constant	Constant	1.495***	3.598***	22.87***	2.856***	4.573***	37.23***	1.549***	3.641***	22.91***	2.806***	5.154***	34.05***
		(0.0188)	(0.0501)	(0.579)	(0.0315)	(0.0468)	(0.255)	(0.0771)	(0.258)	(1.076)	(0.129)	(0.472)	(1.638)
													
Observations		2,880	2,880	2,880	2,880	2,880	1,440	2,880	2,880	2,880	2,880	2,880	1,440
R-squared		0.481	0.489	0.645	0.349	0.557	0.764	0.481	0.490	0.646	0.350	0.557	0.771
Chain stores		NO	NO	NO	NO	NO	NO	SI	SI	SI	SI	SI	NO
Gender controles		NO	NO	NO	NO	NO	NO						NO
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Access controles		NO	NO	NO	NO	NO	NO						NO
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
