		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	TWFE theft_to_vehicle_index	TWFE theft_to_people_index	TWFE theft_to_motorbike_index	TWFE sexual_index	TWFE homicide_index
						
cantidad_oxxo	cantidad_oxxo	-0.0151	-5.078**	-0.0628	-0.106	0.0576
		(0.0460)	(2.175)	(0.0461)	(0.140)	(0.0455)
Constant	Constant	1.477***	19.60***	1.621***	2.323***	0.556***
		(0.0111)	(0.523)	(0.0111)	(0.0337)	(0.0109)
						
Observations		2,880	2,880	2,880	2,880	2,880
R-squared		0.274	0.489	0.408	0.383	0.242
Chain stores		NO	NO	NO	NO	NO
Gender controles		NO	NO	NO	NO	NO
Day controls		NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO
Access controles		NO	NO	NO	NO	NO
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
