		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	crime_index	theft_to_vehicle_index	theft_to_vehicle	theft_to_people_index	theft_to_motorbike_index	theft_to_motorbike	sexual_index	homicide_index	male_index	female_index	TWFE crime_index	TWFE theft_to_vehicle_index	TWFE theft_to_vehicle	TWFE theft_to_people_index	TWFE theft_to_motorbike_index	TWFE theft_to_motorbike	TWFE sexual_index	TWFE homicide_index	TWFE male_index	TWFE female_index
																					
dummy_oxxo	dummy_oxxo	37.80***	-0.987	-0.278	42.43***	-0.288	-0.753	-1.236	-2.116	46.93***	28.31***	-21.63	-0.776	-0.581	-18.44	0.362	1.773	-0.961	-1.816	-22.42	-22.46*
		(9.381)	(0.980)	(0.436)	(7.290)	(0.498)	(0.491)	(1.365)	(1.594)	(10.19)	(9.368)	(13.26)	(0.656)	(1.141)	(11.17)	(0.231)	(1.874)	(0.691)	(1.890)	(14.07)	(12.96)
Constant	Constant	52.70***	2.421***	6.631***	42.45***	1.681***	7.722***	3.570***	2.571***	58.80***	48.21***	65.12***	2.378***	6.799***	55.21***	1.572***	7.338***	3.485***	2.475***	73.28***	58.87***
		(4.169)	(0.435)	(0.194)	(3.239)	(0.221)	(0.218)	(0.606)	(0.708)	(4.526)	(4.163)	(2.666)	(0.132)	(0.229)	(2.246)	(0.0464)	(0.377)	(0.139)	(0.380)	(2.828)	(2.605)
																					
Observations		1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776
R-squared		0.009	0.001	0.000	0.018	0.000	0.001	0.000	0.001	0.012	0.005	0.685	0.335	0.802	0.662	0.129	0.818	0.234	0.369	0.618	0.679
Chain stores		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Gender controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Access controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Standard errors in parentheses																					
*** p<0.01, ** p<0.05, * p<0.1																					
