		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
VARIABLES	LABELS	TWFE crime_index	TWFE theft_to_vehicle_index	TWFE theft_to_vehicle	TWFE theft_to_people_index	TWFE theft_to_motorbike_index	TWFE theft_to_motorbike	TWFE sexual_index	TWFE homicide_index	TWFE male_index	TWFE female_index	TWFE crime_index H	TWFE crime_index H	TWFE theft_to_vehicle_index H	TWFE theft_to_vehicle_index H	TWFE theft_to_vehicle H	TWFE theft_to_vehicle H	TWFE theft_to_people_index H	TWFE theft_to_people_index H	TWFE theft_to_motorbike_index H	TWFE theft_to_motorbike_index H	TWFE theft_to_motorbike H	TWFE theft_to_motorbike H	TWFE sexual_index H	TWFE sexual_index H	TWFE homicide_index H	TWFE homicide_index H	TWFE male_index H	TWFE male_index H	TWFE female_index H	TWFE female_index H
																															
dummy_oxxo	dummy_oxxo	9.071	-0.263	-1.017*	6.785	-0.372	0.323	1.556	1.364	0.758	10.18	-27.96*	-21.61*	-0.820	-0.713	-0.630	-0.531	-24.71*	-18.65*	0.317	0.375	1.724	1.828	-0.946	-0.952	-1.798	-1.671	-28.20*	-22.17*	-29.06*	-22.75*
		(12.02)	(0.189)	(0.602)	(9.855)	(0.232)	(0.685)	(1.694)	(1.226)	(8.935)	(14.61)	(16.16)	(12.56)	(0.819)	(0.607)	(1.022)	(1.124)	(14.00)	(10.57)	(0.216)	(0.227)	(1.804)	(1.835)	(0.786)	(0.657)	(1.942)	(1.739)	(16.88)	(13.22)	(15.78)	(12.45)
Constant	Constant	34.66***	2.946***	8.735***	25.01***	2.218***	9.862***	2.992***	1.497***	45.53***	28.91***	76.19***	52.85***	2.968***	3.329***	6.155***	7.448***	63.89***	38.72***	1.449***	1.758***	6.906***	8.470***	4.663***	4.170***	3.224***	4.879*	83.37***	60.47***	71.13***	46.28***
		(3.792)	(0.0596)	(0.190)	(3.109)	(0.0732)	(0.216)	(0.535)	(0.387)	(2.819)	(4.611)	(9.527)	(17.48)	(0.666)	(1.132)	(0.307)	(0.486)	(7.433)	(13.62)	(0.110)	(0.173)	(0.471)	(0.452)	(0.743)	(0.877)	(1.123)	(2.820)	(10.42)	(19.39)	(8.828)	(15.51)
																															
Observations		3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744
R-squared		0.482	0.231	0.722	0.424	0.123	0.738	0.148	0.289	0.416	0.377	0.687	0.684	0.336	0.336	0.808	0.803	0.664	0.659	0.129	0.129	0.822	0.821	0.235	0.234	0.369	0.369	0.617	0.615	0.682	0.678
Chain stores		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO
Gender controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO																				
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI
Access controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO																				
Robust standard errors in parentheses																															
*** p<0.01, ** p<0.05, * p<0.1																															
