		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	TWFE crime_index	TWFE theft_to_people_index	TWFE male_index	TWFE female_index	TWFE crime_index H	TWFE crime_index H	TWFE theft_to_people_index H	TWFE theft_to_people_index H	TWFE male_index H	TWFE male_index H	TWFE female_index H	TWFE female_index H
													
dummy_oxxo	dummy_oxxo	0.683	0.683	-0.908	0.938	0.620	1.104	0.620	1.104	-0.883	0.411	0.861	1.094
		(1.338)	(1.338)	(1.185)	(1.484)	(1.294)	(0.998)	(1.294)	(0.998)	(1.170)	(0.922)	(1.425)	(1.019)
Constant	Constant	4.490***	4.490***	6.733***	3.398***	2.758*	5.242***	2.758*	5.242***	6.539***	9.087***	1.475	3.677**
		(0.511)	(0.511)	(0.452)	(0.567)	(1.613)	(1.254)	(1.613)	(1.254)	(1.115)	(1.123)	(1.897)	(1.506)
													
Observations		2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640
R-squared		0.282	0.282	0.160	0.183	0.282	0.282	0.282	0.282	0.160	0.161	0.184	0.183
Chain stores		NO	NO	NO	NO	SI	NO	SI	NO	SI	NO	SI	NO
Gender controles		NO	NO	NO	NO								
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	SI	NO	SI	NO	SI	NO	SI
Access controles		NO	NO	NO	NO								
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
