		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	TWFE theft_to_vehicle_index_eb	TWFE theft_to_people_index_eb	TWFE theft_to_motorbike_index_eb	TWFE sexual_index_eb	TWFE homicide_index_eb	TWFE	TWFE theft_to_vehicle_index_eb H	TWFE theft_to_people_index_eb H	TWFE theft_to_motorbike_index_eb H	TWFE sexual_index_eb H	TWFE homicide_index_eb H	TWFE H
													
cantidad_oxxo	cantidad_oxxo	-0.0568	-7.370**	-0.0749	-0.297**	0.0448**	2.331	-0.0913	-7.988**	-0.0938*	-0.239*	0.0472**	2.095
		(0.0632)	(3.349)	(0.0488)	(0.115)	(0.0182)	(7.141)	(0.0650)	(3.345)	(0.0484)	(0.132)	(0.0191)	(6.611)
Constant	Constant	1.378***	21.18***	1.503***	2.194***	0.479***	30.96***	1.316***	19.45***	1.469***	2.404***	0.471***	33.65***
		(0.00971)	(0.514)	(0.00749)	(0.0177)	(0.00279)	(0.263)	(0.0316)	(0.746)	(0.0209)	(0.0948)	(0.0109)	(2.800)
													
Observations		2,520	2,520	2,520	2,520	2,520	1,440	2,520	2,520	2,520	2,520	2,520	1,440
R-squared		0.592	0.505	0.613	0.417	0.416	0.660	0.594	0.505	0.614	0.419	0.417	0.662
Chain stores		NO	NO	NO	NO	NO	NO	SI	SI	SI	SI	SI	SI
Gender controles		NO	NO	NO	NO	NO	NO						
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Access controles		NO	NO	NO	NO	NO	NO						
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
