		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)
VARIABLES	LABELS	crime_index G	crime_index G D	crime_index G D A	crime_index G D A H	crime_index D A H	crime_index D A	crime_index A H	theft_to_vehicle_index G	theft_to_vehicle_index G D	theft_to_vehicle_index G D A	theft_to_vehicle_index G D A H	theft_to_vehicle_index D A H	theft_to_vehicle_index D A	theft_to_vehicle_index A H	theft_to_vehicle G	theft_to_vehicle G D	theft_to_vehicle G D A	theft_to_vehicle G D A H	theft_to_vehicle D A H	theft_to_vehicle D A	theft_to_vehicle A H	theft_to_people_index G	theft_to_people_index G D	theft_to_people_index G D A	theft_to_people_index G D A H	theft_to_people_index D A H	theft_to_people_index D A	theft_to_people_index A H	theft_to_motorbike_index G	theft_to_motorbike_index G D	theft_to_motorbike_index G D A	theft_to_motorbike_index G D A H	theft_to_motorbike_index D A H	theft_to_motorbike_index D A	theft_to_motorbike_index A H	theft_to_motorbike G	theft_to_motorbike G D	theft_to_motorbike G D A	theft_to_motorbike G D A H	theft_to_motorbike D A H	theft_to_motorbike D A	theft_to_motorbike A H	sexual_index G	sexual_index G D	sexual_index G D A	sexual_index G D A H	sexual_index D A H	sexual_index D A	sexual_index A H	homicide_index G	homicide_index G D	homicide_index G D A	homicide_index G D A H	homicide_index D A H	homicide_index D A	homicide_index A H	male_index G	male_index G D	male_index G D A	male_index G D A H	male_index D A H	male_index D A	male_index A H	female_index G	female_index G D	female_index G D A	female_index G D A H	female_index D A H	female_index D A	female_index A H	TWFE crime_index G	TWFE crime_index G D	TWFE crime_index G D A	TWFE crime_index G D A H	TWFE crime_index D A H	TWFE crime_index D A	TWFE crime_index A H	TWFE theft_to_vehicle_index G	TWFE theft_to_vehicle_index G D	TWFE theft_to_vehicle_index G D A	TWFE theft_to_vehicle_index G D A H	TWFE theft_to_vehicle_index D A H	TWFE theft_to_vehicle_index D A	TWFE theft_to_vehicle_index A H	TWFE theft_to_vehicle G	TWFE theft_to_vehicle G D	TWFE theft_to_vehicle G D A	TWFE theft_to_vehicle G D A H	TWFE theft_to_vehicle D A H	TWFE theft_to_vehicle D A	TWFE theft_to_vehicle A H	TWFE theft_to_people_index G	TWFE theft_to_people_index G D	TWFE theft_to_people_index G D A	TWFE theft_to_people_index G D A H	TWFE theft_to_people_index D A H	TWFE theft_to_people_index D A	TWFE theft_to_people_index A H	TWFE theft_to_motorbike_index G	TWFE theft_to_motorbike_index G D	TWFE theft_to_motorbike_index G D A	TWFE theft_to_motorbike_index G D A H	TWFE theft_to_motorbike_index D A H	TWFE theft_to_motorbike_index D A	TWFE theft_to_motorbike_index A H	TWFE theft_to_motorbike G	TWFE theft_to_motorbike G D	TWFE theft_to_motorbike G D A	TWFE theft_to_motorbike G D A H	TWFE theft_to_motorbike D A H	TWFE theft_to_motorbike D A	TWFE theft_to_motorbike A H	TWFE sexual_index G	TWFE sexual_index G D	TWFE sexual_index G D A	TWFE sexual_index G D A H	TWFE sexual_index D A H	TWFE sexual_index D A	TWFE sexual_index A H	TWFE homicide_index G	TWFE homicide_index G D	TWFE homicide_index G D A	TWFE homicide_index G D A H	TWFE homicide_index D A H	TWFE homicide_index D A	TWFE homicide_index A H	TWFE male_index G	TWFE male_index G D	TWFE male_index G D A	TWFE male_index G D A H	TWFE male_index D A H	TWFE male_index D A	TWFE male_index A H	TWFE female_index G	TWFE female_index G D	TWFE female_index G D A	TWFE female_index G D A H	TWFE female_index D A H	TWFE female_index D A	TWFE female_index A H
																																																																																																																																													
dummy_oxxo	dummy_oxxo	-0.496*	-0.0135	0.610*	0.620*	6.040	-6.496	20.68*	-4.305***	-1.417*	-0.470	-1.295	-0.226	-0.364	-0.310	-0.132	-3.037***	-2.855***	-2.997***	-3.017***	-2.791***	-1.617***	14.17***	3.139	0.195	2.861	6.519	-5.212	21.97***	-0.926*	-0.380	-0.412	-0.454	-0.293	-0.445	-0.284	-0.483	-3.377***	-2.022***	-1.805***	-1.846***	-1.961***	-0.428	-2.776***	0.255	1.005	0.447	-0.377	-0.751	-0.538	-6.659***	-1.610	0.292	-0.938	0.417	0.276	-0.166	-0	0	0	0	10.98	-2.876	26.62**	0	-0	-0	-0	-1.391	-12.48	12.64	0.623*	0.514	0.520	0.407	-40.37***	-32.44***	-30.98**	0.608	1.813	1.824	2.114*	-0.776	-0.538	-0.771	-0.599	-1.597*	-1.584*	-1.354	-1.292	-1.524*	-0.574	-1.872	-6.166**	-6.208**	-7.778***	-37.53***	-30.38***	-28.06**	0.373	-0.101	-0.0961	-0.0705	-0.115	-0.144	0.347	1.724	1.040	1.053	1.252	1.321	1.126	1.883	1.759	3.523**	3.526**	4.253**	-0.553	-0.163	-0.888	-0.246	1.444	1.474	1.889**	-1.401	-1.222	-1.612	0	0	0	-0	-42.65***	-34.94***	-31.70*	-0	0	0	0	-39.28***	-31.18***	-31.68**
		(0.292)	(0.328)	(0.333)	(0.339)	(10.88)	(10.77)	(10.60)	(0.710)	(0.781)	(0.806)	(0.817)	(1.177)	(1.153)	(1.132)	(0.436)	(0.414)	(0.403)	(0.405)	(0.411)	(0.409)	(0.468)	(2.085)	(2.257)	(2.325)	(2.351)	(8.227)	(8.186)	(8.102)	(0.482)	(0.543)	(0.565)	(0.576)	(0.599)	(0.587)	(0.576)	(0.488)	(0.452)	(0.447)	(0.454)	(0.461)	(0.454)	(0.542)	(0.977)	(1.086)	(1.124)	(1.145)	(1.643)	(1.610)	(1.580)	(1.293)	(1.430)	(1.474)	(1.497)	(1.911)	(1.873)	(1.840)	(0)	(0)	(0)	(0)	(11.80)	(11.69)	(11.51)	(0)	(0)	(0)	(0)	(10.91)	(10.77)	(10.61)	(0.354)	(0.500)	(0.498)	(0.543)	(13.38)	(11.97)	(15.49)	(0.913)	(1.167)	(1.150)	(1.113)	(0.707)	(0.580)	(0.761)	(1.139)	(0.851)	(0.840)	(0.842)	(0.850)	(0.851)	(1.000)	(2.356)	(2.945)	(2.896)	(2.864)	(12.10)	(11.36)	(13.43)	(0.245)	(0.281)	(0.283)	(0.286)	(0.294)	(0.287)	(0.213)	(1.868)	(1.530)	(1.503)	(1.476)	(1.477)	(1.511)	(1.743)	(1.474)	(1.735)	(1.727)	(1.892)	(0.643)	(0.585)	(0.754)	(0.744)	(1.013)	(0.962)	(0.872)	(1.556)	(1.323)	(1.734)	(0)	(0)	(0)	(0)	(13.89)	(12.37)	(16.20)	(0)	(0)	(0)	(0)	(13.32)	(11.89)	(15.15)
Constant	Constant	-0.917***	-0.712***	1.280***	1.334***	24.64***	22.01**	21.42***	-1.348***	0.0139	2.374***	2.228***	4.243***	4.186***	3.514***	6.897***	2.886***	2.922***	2.741***	2.596***	2.789***	5.744***	2.588***	-2.199*	-10.77***	-10.23***	6.524	4.203	6.587	0.891***	1.124***	0.891*	0.885*	1.274***	1.242**	1.181***	8.151***	3.364***	5.447***	5.362***	5.176***	5.288***	9.366***	-0.281	0.491	3.552***	3.402***	4.736***	4.622***	3.932***	-2.766***	-0.142	5.233***	5.049***	7.866***	7.753***	6.202***	-0	0	0	0	27.45***	24.79**	26.40***	0	0	-0	-0	18.57**	16.04*	12.95	-1.109**	-1.318***	-0.874**	-0.681	39.84	36.73	59.95***	-2.596**	-0.0365	0.739	0.647	3.655*	3.534**	3.601**	6.831***	4.951***	5.888***	5.593***	5.535***	5.822***	6.888***	6.119	-2.735	-5.719	-4.861	24.67	21.83	44.67***	1.381***	0.630	0.952	0.959	1.028	1.024	1.692***	7.456***	6.366***	7.290***	7.244***	7.179***	7.210***	8.029***	-2.798	0.824	1.019	0.670	5.150***	5.013***	4.773***	-3.215***	0.000105	2.137*	1.905*	5.337	5.331	5.210	0	0***	0***	-0***	43.43	40.63	66.99***	0*	-0***	-0**	-0***	37.74	34.63	53.98***
		(0.135)	(0.181)	(0.277)	(0.278)	(8.919)	(8.962)	(8.272)	(0.328)	(0.431)	(0.671)	(0.670)	(0.965)	(0.960)	(0.883)	(0.201)	(0.229)	(0.336)	(0.333)	(0.337)	(0.341)	(0.365)	(0.963)	(1.246)	(1.937)	(1.930)	(6.746)	(6.813)	(6.322)	(0.223)	(0.300)	(0.470)	(0.473)	(0.491)	(0.489)	(0.449)	(0.226)	(0.250)	(0.372)	(0.372)	(0.378)	(0.378)	(0.423)	(0.451)	(0.600)	(0.936)	(0.940)	(1.347)	(1.340)	(1.233)	(0.597)	(0.790)	(1.228)	(1.229)	(1.567)	(1.559)	(1.436)	(0)	(0)	(0)	(0)	(9.678)	(9.727)	(8.981)	(0)	(0)	(0)	(0)	(8.943)	(8.967)	(8.280)	(0.522)	(0.344)	(0.356)	(0.417)	(28.06)	(27.63)	(20.66)	(1.105)	(0.935)	(0.984)	(0.949)	(1.915)	(1.764)	(1.443)	(0.235)	(0.425)	(0.551)	(0.524)	(0.511)	(0.538)	(0.476)	(3.739)	(4.392)	(3.678)	(3.544)	(21.90)	(21.86)	(15.79)	(0.0819)	(0.708)	(0.701)	(0.689)	(0.626)	(0.640)	(0.177)	(0.376)	(0.611)	(0.660)	(0.673)	(0.672)	(0.665)	(0.538)	(1.908)	(1.811)	(1.947)	(1.912)	(1.929)	(1.833)	(1.168)	(1.164)	(1.239)	(1.113)	(1.017)	(3.331)	(3.296)	(3.204)	(0)	(0)	(0)	(0)	(30.99)	(30.20)	(23.09)	(0)	(0)	(0)	(0)	(25.06)	(25.01)	(18.14)
																																																																																																																																													
Observations		1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,808	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776	1,776
R-squared		0.999	0.999	0.999	0.999	0.084	0.066	0.058	0.483	0.510	0.517	0.525	0.009	0.009	0.007	0.016	0.303	0.391	0.409	0.390	0.370	0.145	0.921	0.927	0.929	0.930	0.141	0.114	0.098	0.076	0.081	0.083	0.083	0.006	0.005	0.005	0.028	0.346	0.410	0.417	0.395	0.389	0.097	0.495	0.511	0.516	0.518	0.005	0.004	0.003	0.352	0.378	0.390	0.396	0.014	0.013	0.009	1.000	1.000	1.000	1.000	0.088	0.069	0.061	1.000	1.000	1.000	1.000	0.073	0.058	0.050	0.999	0.999	0.999	0.999	0.701	0.694	0.691	0.596	0.604	0.604	0.605	0.336	0.336	0.336	0.802	0.817	0.819	0.821	0.820	0.818	0.808	0.945	0.947	0.947	0.947	0.688	0.679	0.671	0.142	0.144	0.144	0.144	0.132	0.132	0.129	0.819	0.824	0.825	0.826	0.826	0.824	0.822	0.557	0.567	0.567	0.569	0.236	0.235	0.235	0.501	0.505	0.505	0.506	0.370	0.369	0.369	1.000	1.000	1.000	1.000	0.633	0.627	0.623	1.000	1.000	1.000	1.000	0.694	0.687	0.685
Chain stores		NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	NO	SI
