		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	TWFE crime_index H A	TWFE theft_to_vehicle_index H A	TWFE theft_to_vehicle H A	TWFE theft_to_people_index H A	TWFE theft_to_motorbike_index H A	TWFE theft_to_motorbike H A	TWFE sexual_index H A	TWFE homicide_index H A	TWFE male_index H A	TWFE female_index H A
											
dummy_oxxo	dummy_oxxo	-29.52*	-0.760	-0.553	-26.55*	0.343	1.847	-0.943	-1.612	-29.75*	-30.73*
		(15.75)	(0.761)	(0.997)	(13.74)	(0.214)	(1.742)	(0.770)	(1.737)	(16.35)	(15.53)
Constant	Constant	59.98***	3.583**	6.962***	44.83***	1.715***	8.183***	4.697***	5.157	67.24***	53.77***
		(20.11)	(1.392)	(0.468)	(15.38)	(0.185)	(0.520)	(1.137)	(3.112)	(22.44)	(17.69)
											
Observations		1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744
R-squared		0.688	0.336	0.809	0.666	0.129	0.824	0.235	0.370	0.618	0.683
Chain stores		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
