		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)
VARIABLES	LABELS	crime_index G	crime_index G D A	crime_index A H	crime_index A H	theft_to_people_index G	theft_to_people_index A	theft_to_people_index H	theft_to_people_index G A	theft_to_people_index A H	theft_to_people_index A H G	male_index G	male_index A	male_index H	male_index G A	male_index A H	male_index A H G	female_index G	female_index A	female_index H	female_index G A	female_index A H	female_index A H G	TWFE crime_index G	TWFE crime_index H	TWFE crime_index A	TWFE crime_index A H	TWFE crime_index G	TWFE crime_index H	TWFE crime_index A	TWFE crime_index A H	TWFE crime_index A H G	TWFE theft_to_people_index G	TWFE theft_to_people_index H	TWFE theft_to_people_index A	TWFE theft_to_people_index A H	TWFE theft_to_people_index A H G	TWFE male_index G	TWFE male_index H	TWFE male_index A	TWFE male_index A H	TWFE male_index A H G	TWFE female_index G	TWFE female_index H	TWFE female_index A	TWFE female_index A H	TWFE female_index A H G	TWFE theft_to_people_index G	TWFE theft_to_people_index H	TWFE theft_to_people_index A	TWFE theft_to_people_index A H	TWFE crime_index G	TWFE crime_index H	TWFE crime_index A	TWFE crime_index A H	TWFE crime_index A H G	TWFE theft_to_people_index G	TWFE theft_to_people_index H	TWFE theft_to_people_index A	TWFE theft_to_people_index A H	TWFE theft_to_people_index A H G	TWFE male_index G	TWFE male_index H	TWFE male_index A	TWFE male_index A H	TWFE male_index A H G	TWFE female_index G	TWFE female_index H	TWFE female_index A	TWFE female_index A H	TWFE female_index A H G	TWFE male_index G	TWFE male_index H	TWFE male_index A	TWFE male_index A H	TWFE crime_index G	TWFE crime_index H	TWFE crime_index A	TWFE crime_index A H	TWFE crime_index A H G	TWFE theft_to_people_index G	TWFE theft_to_people_index H	TWFE theft_to_people_index A	TWFE theft_to_people_index A H	TWFE theft_to_people_index A H G	TWFE male_index G	TWFE male_index H	TWFE male_index A	TWFE male_index A H	TWFE male_index A H G	TWFE female_index G	TWFE female_index H	TWFE female_index A	TWFE female_index A H	TWFE female_index A H G	TWFE female_index G	TWFE female_index H	TWFE female_index A	TWFE female_index A H	TWFE crime_index G	TWFE crime_index H	TWFE crime_index A	TWFE crime_index A H	TWFE crime_index A H G	TWFE theft_to_people_index G	TWFE theft_to_people_index H	TWFE theft_to_people_index A	TWFE theft_to_people_index A H	TWFE theft_to_people_index A H G	TWFE male_index G	TWFE male_index H	TWFE male_index A	TWFE male_index A H	TWFE male_index A H G	TWFE female_index G	TWFE female_index H	TWFE female_index A	TWFE female_index A H	TWFE female_index A H G	TWFE crime_index H A	TWFE theft_to_people_index H A	TWFE male_index H A	TWFE female_index H A
																																																																																																																											
dummy_oxxo	dummy_oxxo	-0.136	-0.246	-0.0477	-0.170	-0.136	-0.926	0.310	-0.246	-0.0477	-0.170	0	-1.882	-0.606	0	-0.779	0	-0	-0.210	0.865	-0	0.551	-0	0.367	0.620	1.104	1.203	0.367	0.620	1.104	1.203	0.340	0.367	0.620	1.104	1.203	0.340	-0**	-0.883	0.411	0.492	-0	0	0.861	1.094	1.185	0	0.367	0.620	1.104	1.203	0.367	0.620	1.104	1.203	0.340	0.367	0.620	1.104	1.203	0.340	-0**	-0.883	0.411	0.492	-0	0	0.861	1.094	1.185	0	-0**	-0.883	0.411	0.492	0.367	0.620	1.104	1.203	0.340	0.367	0.620	1.104	1.203	0.340	-0**	-0.883	0.411	0.492	-0	0	0.861	1.094	1.185	0	0	0.861	1.094	1.185	0.367	0.620	1.104	1.203	0.340	0.367	0.620	1.104	1.203	0.340	-0**	-0.883	0.411	0.492	-0	0	0.861	1.094	1.185	0	1.203	1.203	0.492	1.185
		(0.271)	(0.321)	(1.224)	(0.333)	(0.271)	(1.182)	(1.124)	(0.321)	(1.224)	(0.333)	(0)	(2.751)	(2.618)	(0)	(2.854)	(0)	(0)	(1.023)	(0.972)	(0)	(1.060)	(0)	(0.401)	(1.294)	(0.998)	(0.986)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0)	(1.170)	(0.922)	(0.885)	(0)	(0)	(1.425)	(1.019)	(1.016)	(0)	(0.401)	(1.294)	(0.998)	(0.986)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0)	(1.170)	(0.922)	(0.885)	(0)	(0)	(1.425)	(1.019)	(1.016)	(0)	(0)	(1.170)	(0.922)	(0.885)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0)	(1.170)	(0.922)	(0.885)	(0)	(0)	(1.425)	(1.019)	(1.016)	(0)	(0)	(1.425)	(1.019)	(1.016)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0.401)	(1.294)	(0.998)	(0.986)	(0.258)	(0)	(1.170)	(0.922)	(0.885)	(0)	(0)	(1.425)	(1.019)	(1.016)	(0)	(0.986)	(0.986)	(0.885)	(1.016)
Constant	Constant	0.569***	0.477*	5.507***	0.486*	0.569***	5.446***	5.820***	0.477*	5.507***	0.486*	-0	8.560***	8.259***	-0	8.650***	-0	0	3.920***	4.440***	0	3.965***	0	0.509**	2.758*	5.242***	3.541*	0.509**	2.758*	5.242***	3.541*	0.00198	0.509**	2.758*	5.242***	3.541*	0.00198	0	6.539***	9.087***	8.386***	0	0	1.475	3.677**	1.910	0	0.509**	2.758*	5.242***	3.541*	0.509**	2.758*	5.242***	3.541*	0.00198	0.509**	2.758*	5.242***	3.541*	0.00198	0	6.539***	9.087***	8.386***	0	0	1.475	3.677**	1.910	0	0	6.539***	9.087***	8.386***	0.509**	2.758*	5.242***	3.541*	0.00198	0.509**	2.758*	5.242***	3.541*	0.00198	0	6.539***	9.087***	8.386***	0	0	1.475	3.677**	1.910	0	0	1.475	3.677**	1.910	0.509**	2.758*	5.242***	3.541*	0.00198	0.509**	2.758*	5.242***	3.541*	0.00198	0	6.539***	9.087***	8.386***	0	0	1.475	3.677**	1.910	0	3.541*	3.541*	8.386***	1.910
		(0.170)	(0.250)	(0.918)	(0.252)	(0.170)	(0.915)	(0.659)	(0.250)	(0.918)	(0.252)	(0)	(2.129)	(1.536)	(0)	(2.140)	(0)	(0)	(0.792)	(0.571)	(0)	(0.795)	(0)	(0.230)	(1.613)	(1.254)	(1.980)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0)	(1.115)	(1.123)	(1.387)	(0)	(0)	(1.897)	(1.506)	(2.427)	(0)	(0.230)	(1.613)	(1.254)	(1.980)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0)	(1.115)	(1.123)	(1.387)	(0)	(0)	(1.897)	(1.506)	(2.427)	(0)	(0)	(1.115)	(1.123)	(1.387)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0)	(1.115)	(1.123)	(1.387)	(0)	(0)	(1.897)	(1.506)	(2.427)	(0)	(0)	(1.897)	(1.506)	(2.427)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0.230)	(1.613)	(1.254)	(1.980)	(0.788)	(0)	(1.115)	(1.123)	(1.387)	(0)	(0)	(1.897)	(1.506)	(2.427)	(0)	(1.980)	(1.980)	(1.387)	(2.427)
																																																																																																																											
Observations		2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640	2,640
R-squared		0.926	0.926	0.007	0.926	0.926	0.002	0.004	0.926	0.007	0.926	1.000	0.001	0.002	1.000	0.003	1.000	1.000	0.001	0.004	1.000	0.005	1.000	0.930	0.282	0.282	0.283	0.930	0.282	0.282	0.283	0.930	0.930	0.282	0.282	0.283	0.930	1.000	0.160	0.161	0.161	1.000	1.000	0.184	0.183	0.184	1.000	0.930	0.282	0.282	0.283	0.930	0.282	0.282	0.283	0.930	0.930	0.282	0.282	0.283	0.930	1.000	0.160	0.161	0.161	1.000	1.000	0.184	0.183	0.184	1.000	1.000	0.160	0.161	0.161	0.930	0.282	0.282	0.283	0.930	0.930	0.282	0.282	0.283	0.930	1.000	0.160	0.161	0.161	1.000	1.000	0.184	0.183	0.184	1.000	1.000	0.184	0.183	0.184	0.930	0.282	0.282	0.283	0.930	0.930	0.282	0.282	0.283	0.930	1.000	0.160	0.161	0.161	1.000	1.000	0.184	0.183	0.184	1.000	0.283	0.283	0.161	0.184
Chain stores		NO	NO	SI	SI	NO	NO	NO	NO	SI	SI	NO	NO	NO	NO	SI	SI	NO	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	SI	SI	SI	SI
Gender controles		SI	SI	NO	NO	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	NO	NO	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO				
Day controls		NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	SI	SI	SI	NO	NO	NO	SI	SI	SI	NO	NO	NO	SI	SI	SI	NO	NO	NO	SI	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	SI	SI	SI	SI
Access controles		NO	SI	SI	SI	NO	NO	NO	SI	SI	SI	NO	NO	NO	SI	SI	SI	NO	NO	NO	SI	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	SI				
Standard errors in parentheses																																																																																																																											
*** p<0.01, ** p<0.05, * p<0.1																																																																																																																											
