AÑO,FECHA_HECHO,DIA_SEMANA,GENERO,HORA_HECHO,DIRECCION_HECHO,LONGITUD,LATITUD
2018,2018-01-08,Lunes,MASCULINO,00:35:00,KR 91 A CL 71 A  ESTE,"-74,1107701839","4,6973043995"
2018,2018-01-12,Viernes,MASCULINO,23:15:00,AC 80  CL 100  52 NOROCCIDENTE,"-74,113239873","4,7105906197"
2018,2018-01-14,Domingo,MASCULINO,00:30:00,KR 87  CL 75 B 69 NORTE,"-74,1041453806","4,7007499689"
2018,2018-01-27,Sábado,MASCULINO,21:15:00,CL 51  KR 77 GBIS  SUR,"-74,1679489948","4,6112117248"
2018,2018-01-27,Sábado,MASCULINO,01:26:00,VN 72  CL 76   NOROCCIDENTE,"-74,0898061455","4,691413056"
2018,2018-02-09,Viernes,MASCULINO,00:48:00,CL 76 A KR 88   NORTE,"-74,1030362698","4,7031594693"
2018,2018-02-18,Domingo,MASCULINO,01:00:00,KR 85 D CL 46 A  NORTE,"-74,1162059754","4,6779964155"
2018,2018-02-19,Lunes,MASCULINO,01:00:00,CL 67  KR 67   ,"-74,073208008","4,6633168508"
2018,2018-02-27,Martes,MASCULINO,03:40:00,CL 139  KR 94  46 ,"-74,08725385","4,7378827078"
2018,2018-02-27,Martes,MASCULINO,00:30:00,CL 72  KR 89   CENTRO,"-74,107924077","4,6972221342"
2018,2018-03-07,Miércoles,MASCULINO,23:40:00,KR 74 D CL 74 A  NOROCCIDENTE,"-74,099376413","4,6877955849"
2018,2018-03-12,Lunes,MASCULINO,00:00:00,CL 64   111 B 10 NOROCCIDENTE,"-74,1328556881","4,7033359548"
2018,2018-03-20,Martes,MASCULINO,21:00:00,KR 73 B CL 10 B 83 ,"-74,1391259767","4,6362622317"
2018,2018-03-21,Miércoles,MASCULINO,10:15:00,CL 76 A KR 119   ,"-74,1310037288","4,7202111934"
2018,2018-03-25,Domingo,MASCULINO,23:50:00,CL 68 A KR 92 24  NOROCCIDENTE,"-74,1037579283","4,6872482935"
2018,2018-03-31,Sábado,MASCULINO,23:45:00,CL 70 D KR 113  1 ,"-74,1241270639","4,7108791213"
2018,2018-04-11,Miércoles,MASCULINO,23:45:00,CL 70 B KR 113  20 ,"-74,1021114923","4,7050195562"
2018,2018-04-15,Domingo,MASCULINO,22:00:00,KR   CL 28  44 ,"-74,1053184153","4,5786001252"
2018,2018-04-21,Sábado,MASCULINO,14:15:00,CL 39 F KR 9 C 18 ,"-74,1066427209","4,5629254972"
2018,2018-04-23,Lunes,MASCULINO,23:20:00,KR 113  CL 69 B  ,"-74,123044927","4,7030888036"
2018,2018-05-08,Martes,FEMENINO,23:50:00,CL 2 F KR 41  23 CENTRO,"-74,1131244039","4,6124599296"
2018,2018-05-24,Jueves,MASCULINO,00:20:00,KR 110 G CL 72   NORTE,"-74,1262920957","4,7121518716"
2018,2018-05-25,Viernes,MASCULINO,01:26:00,DG 52 A KR 5  69 SUR,"-74,1149741095","4,5429778144"
2018,2018-05-31,Jueves,MASCULINO,14:50:00,CL 66 A KR 66 SUR 81 SUR,"-74,1562268843","4,5875394954"
2018,2018-07-02,Lunes,MASCULINO,21:40:00,KR 68 F CL 21  49 SUR,"-74,129616088","4,6127790515"
2018,2018-07-02,Lunes,FEMENINO,22:30:00,VN 72  CL 17   OCCIDENTE,"-74,1246466772","4,65156387"
2018,2018-07-12,Jueves,MASCULINO,22:30:00,KR 42  CL 59 a  NORTE,"-74,1510388886","4,5738857917"
2018,2018-07-19,Jueves,MASCULINO,23:00:00,CL 184  KR 8  68 NOROCCIDENTE,"-74,0621152449","4,7717813082"
2018,2018-07-28,Sábado,MASCULINO,00:00:00,KR 71 D CL 26  1 SUR,"-74,1375273074","4,6163767793"
2018,2018-08-04,Sábado,MASCULINO,00:20:00,CL 40 SUR KR 24   ,"-74,1212053221","4,5807382845"
2018,2018-08-09,Jueves,MASCULINO,22:31:00,CL 170  KR 58   NORTE,"-74,0594780466","4,7541787961"
2018,2018-08-26,Domingo,MASCULINO,11:30:00,CL 74 a KR 58   OCCIDENTE,"-74,0773662872","4,6744333249"
2018,2018-08-31,Viernes,MASCULINO,12:50:00,CL 56 SUR KR 28   SUR,"-74,1508633234","4,5665142963"
2018,2018-09-15,Sábado,MASCULINO,00:40:00,CL 26 sur KR 70 B 99 ,"-74,1372969432","4,6164225824"
2018,2018-09-16,Domingo,MASCULINO,01:30:00,CL 40 ASUR KR 78 H 17 ,"-74,1548956041","4,6205497823"
2018,2018-10-15,Lunes,MASCULINO,23:10:00,KR 50  CL 37   CENTRO,"-74,1253356607","4,5977598509"
2018,2018-11-14,Miércoles,FEMENINO,20:20:00,KR 40 B CL 1 G 18 OCCIDENTE,"-74,1141493868","4,6090389597"
2018,2018-11-18,Domingo,MASCULINO,01:15:00,CL 12  KR 62   CENTRO,"-74,1150412546","4,6323829491"
2018,2018-11-19,Lunes,MASCULINO,01:00:00,CL 98  KR 12   NORTE,"-74,0490007711","4,6746806461"
2018,2018-12-01,Sábado,MASCULINO,23:00:00,CL 145  KR 128  41 NORTE,"-74,1183160349","4,7436571679"
2018,2018-12-06,Jueves,MASCULINO,21:45:00,KR 42  CL 58 A  SUR,"-74,1488383237","4,5748422149"
2018,2018-12-12,Miércoles,MASCULINO,22:30:00,KR 70  CL  40  SUR,"-74,1539307288","4,615665963"
2018,2018-01-03,Miércoles,MASCULINO,23:00:00,CL 2 a KR 56 A 9 NORTE,"-74,1215145923","4,6174303217"
2018,2018-01-04,Jueves,MASCULINO,23:50:00,CL 18 SUR KR 12 A  ,"-74,096832905","4,580283691"
2018,2018-01-05,Viernes,MASCULINO,19:40:00,KM 3  SN 0   ,"-74,1363134405","4,5382092516"
2018,2018-01-05,Viernes,MASCULINO,11:30:00,CL 75  KR 70 F  ,"-74,0902371051","4,6892227717"
2018,2018-01-06,Sábado,MASCULINO,22:00:00,DG 41  KR 30  25 SUR,"-74,1263008307","4,5884516123"
2018,2018-01-07,Domingo,MASCULINO,21:14:00,CL 18 A KR 12 D 18 SURESTE,"-74,0995704153","4,5821153988"
2018,2018-01-07,Domingo,MASCULINO,00:01:00,KR 51 b CL 40   SUR,"-74,1301021753","4,5973388635"
2018,2018-01-10,Miércoles,MASCULINO,00:01:00,KR 4  CL 54  52 NORTE,"-74,0606775013","4,6393067439"
2018,2018-01-10,Miércoles,MASCULINO,00:00:00,CL 2 A KR 68 D 11 ,"-74,1279411651","4,6231008005"
2018,2018-01-10,Miércoles,MASCULINO,00:00:00,CL 8  KR 39  94 SUR,"-74,1140847635","4,6067664374"
2018,2018-01-12,Viernes,MASCULINO,21:40:00,CL 33  KR 9  11 SUR,"-74,1015321352","4,5667388867"
2018,2018-01-13,Sábado,FEMENINO,23:45:00,CL 147  KR 7 F  ,"-74,0302827087","4,7236801883"
2018,2018-01-15,Lunes,MASCULINO,19:25:00,KR 41   29 c 18 CENTRO,"-74,1217405649","4,5999228003"
2018,2018-01-17,Miércoles,MASCULINO,19:00:00,CL 89  KR 96  0 ,"-74,1041448136","4,7129890272"
2018,2018-01-18,Jueves,MASCULINO,09:30:00,CL 38  KR 85  0 SUR,"-74,1624083248","4,6344250602"
2018,2018-01-18,Jueves,MASCULINO,04:30:00,AK 50  CL 31  6 SUR,"-74,1236335374","4,6003892046"
2018,2018-01-19,Viernes,MASCULINO,19:50:00,KR 54 B CL 49  18 SUR,"-74,1418115357","4,5918572775"
2018,2018-01-20,Sábado,MASCULINO,14:00:00,KR 22  DG 43   ,"-74,1214508644","4,5777488593"
2018,2018-01-21,Domingo,MASCULINO,22:00:00,KR 53 D CL 2 a 21 SUR,"-74,1193360459","4,615885293"
2018,2018-01-22,Lunes,MASCULINO,20:30:00,KR 50  CL 35   SUR,"-74,1264560299","4,5941230449"
2018,2018-01-22,Lunes,FEMENINO,21:40:00,KR 69  CL 64   NORTE,"-74,0954689796","4,6713951862"
2018,2018-01-23,Martes,FEMENINO,21:20:00,KR 69  CL 63 BIS  OCCIDENTE,"-74,0958766772","4,672868048"
2018,2018-01-23,Martes,MASCULINO,07:00:00,CL 49  KR 13  0 ,"-74,065768334","4,6361681406"
2018,2018-01-24,Miércoles,MASCULINO,05:00:00,KR 10  CL 48 X  SUR,"-74,1045100941","4,5666444604"
2018,2018-01-24,Miércoles,MASCULINO,01:15:00,KR 3 a CL 38 sur  SUR,"-74,1002710127","4,5582952838"
2018,2018-01-24,Miércoles,MASCULINO,01:15:00,KR 3 a CL 38 sur  SUR,"-74,1002710127","4,5582952838"
2018,2018-01-24,Miércoles,MASCULINO,01:15:00,KR 3 a CL 38 sur  SUR,"-74,1002710127","4,5582952838"
2018,2018-01-25,Jueves,MASCULINO,21:00:00,CL 17  KR 118  24 NORTE,"-74,1567980806","4,6847063375"
2018,2018-01-26,Viernes,MASCULINO,21:30:00,KR 65  CL 4 D 73 NORTE,"-74,1203945665","4,62626348"
2018,2018-01-26,Viernes,MASCULINO,03:30:00,KR 8  CL 30 4 26 SUR,"-74,0949835476","4,5658695965"
2018,2018-01-26,Viernes,MASCULINO,21:30:00,KR 65  CL 4 D 63 OCCIDENTE,"-74,121112261","4,625204828"
2018,2018-01-26,Viernes,MASCULINO,01:00:00,KR 26 C CL 35 A 22 SUR,"-74,1188750476","4,5882577853"
2018,2018-01-27,Sábado,MASCULINO,23:45:00,CL 10 G KR 81   SUROCCIDENTE,"-74,1428915285","4,6476081886"
2018,2018-01-28,Domingo,MASCULINO,00:00:00,KR 59 A CL 79  30 ,"-74,0752579895","4,6787492939"
2018,2018-01-28,Domingo,MASCULINO,20:20:00,CL 57  KR 24   OCCIDENTE,"-74,0722937894","4,645082238"
2018,2018-01-29,Lunes,MASCULINO,11:00:00,CL 81 CSUR KR 2   SUR,"-74,1195521271","4,4994137526"
2018,2018-01-30,Martes,MASCULINO,23:00:00,CL 13 DSUR KR 24  29 ESTE,"-74,0677070847","4,5626715587"
2018,2018-01-31,Miércoles,MASCULINO,22:40:00,KR 86  CL 9  0 OCCIDENTE,"-74,1469480721","4,6490218893"
2018,2018-01-31,Miércoles,MASCULINO,23:15:00,KR 30 A CL 4 31  OCCIDENTE,"-74,1003755337","4,6041442977"
2018,2018-01-31,Miércoles,MASCULINO,11:30:00,CL 175  KR 14   ,"-74,037672915","4,7554221811"
2018,2018-01-31,Miércoles,MASCULINO,21:00:00,CL 69 B KR 66  88 SUR,"-74,1380550754","4,55129256"
2018,2018-02-01,Jueves,MASCULINO,10:30:00,KR 32  CL 1 C 65 CENTRO,"-74,1059697932","4,6033658178"
2018,2018-02-01,Jueves,MASCULINO,21:30:00,CL 63 F KR 80 A 4 NORTE,"-74,1163152489","4,6936928841"
2018,2018-02-03,Sábado,MASCULINO,02:30:00,KR 28  CL 63 G 1 ,"-74,0700537302","4,6562592243"
2018,2018-02-03,Sábado,MASCULINO,00:30:00,KR 51 A BV 38 SUR  ,"-74,1328817941","4,5989401293"
2018,2018-02-03,Sábado,MASCULINO,23:15:00,DG 16 SUR CL 40 A 37 ,"-74,1188055612","4,6027900644"
2018,2018-02-03,Sábado,MASCULINO,00:30:00,KR 13  CL 82   NORTE,"-74,0547855149","4,6669969033"
2018,2018-02-04,Domingo,MASCULINO,02:15:00,KR 78  CL 7 F  SURESTE,"-74,1072510255","4,6843590708"
2018,2018-02-07,Miércoles,MASCULINO,21:50:00,CL 18 A KR 10 A 59 SUR,"-74,0954779312","4,5792049853"
2018,2018-02-07,Miércoles,MASCULINO,23:15:00,KR 16 A CL 46 A  SUR,"-74,080278746","4,5372371134"
2018,2018-02-08,Jueves,MASCULINO,00:15:00,KR 53 B CL 5 C 11 SURESTE,"-74,1120413036","4,6226579487"
2018,2018-02-08,Jueves,MASCULINO,23:45:00,KR 68 A CL 39 F  SUR,"-74,1405320688","4,6018089066"
2018,2018-02-08,Jueves,MASCULINO,00:05:00,KR 92  CL 68 A 8 NORTE,"-74,1144280426","4,6949415545"
2018,2018-02-09,Viernes,MASCULINO,01:58:00,CL 34 A KR 86  2 SUR,"-74,1606828441","4,6355119387"
2018,2018-02-10,Sábado,FEMENINO,01:30:00,CL 127 BIS KR 88  45 NORTE,"-74,088494691","4,7177619225"
2018,2018-02-11,Domingo,MASCULINO,23:00:00,KR 60  CL 68   SURESTE,"-74,0874574656","4,6713125775"
2018,2018-02-13,Martes,MASCULINO,23:50:00,KR 72  CL 40   SUR,"-74,155754631","4,6148959916"
2018,2018-02-13,Martes,MASCULINO,22:30:00,KR 19 C CL 55   SUR,"-74,1295029846","4,5646876396"
2018,2018-02-13,Martes,MASCULINO,00:45:00,DG 47  TR 77   NORTE,"-74,1129523175","4,669674869"
