LONGITUD,LATITUD,nombre_localidad,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_people,theft_to_vehicle,theft_to_motorbike,sexual,homicide
-74.04419999999999,4.705099999845601,USAQUÉN,COUNTRY CLUB,2022-08-31,00:00:00,31,8,2022,Miércoles,LA CALLEJA,MASCULINO,1,0,0,0,0
-74.08539999999994,4.735059999844582,SUBA,EL RINCON,2022-12-22,00:00:00,22,12,2022,Jueves,ALTOS DE CHOZICA,MASCULINO,1,0,0,0,0
-74.06049999999993,4.638489999847738,CHAPINERO,PARDO RUBIO,2022-12-30,00:00:00,30,12,2022,Viernes,PARDO RUBIO,FEMENINO,1,0,0,0,0
-74.11079999999998,4.7042899998456225,ENGATIVÁ,BOYACA REAL,2022-12-30,00:00:00,30,12,2022,Viernes,PARIS,FEMENINO,1,0,0,0,0
-74.14339999999999,4.556259999850433,CIUDAD BOLÍVAR,LUCERO,2022-03-18,00:00:00,18,3,2022,Viernes,GIBRALTAR SUR,FEMENINO,1,0,0,0,0
-74.09119999999996,4.531169999851216,SAN CRISTÓBAL,LOS LIBERTADORES,2022-03-18,00:00:00,18,3,2022,Viernes,LA BELLEZA,MASCULINO,1,0,0,0,0
-74.09609999999998,4.686729999846189,ENGATIVÁ,BOYACA REAL,2022-11-05,00:00:00,5,11,2022,Sábado,BOYACA,FEMENINO,1,0,0,0,0
-74.03399999999993,4.723089999845014,USAQUÉN,LOS CEDROS,2022-12-23,00:00:00,23,12,2022,Viernes,ACACIAS USAQUEN,MASCULINO,1,0,0,0,0
-74.10119999999995,4.590789999849275,ANTONIO NARIÑO,RESTREPO,2022-03-18,00:00:00,18,3,2022,Viernes,RESTREPO OCCIDENTAL,MASCULINO,1,0,0,0,0
-74.02899999999994,4.770679999843419,USAQUÉN,PASEO DE LOS LIBERTADORES,2022-11-05,00:00:00,5,11,2022,Sábado,TIBABITA RURAL,FEMENINO,1,0,0,0,0
-74.18089999999995,4.60134999984893,BOSA,BOSA CENTRAL,2022-04-22,00:00:00,22,4,2022,Viernes,ANDALUCIA II,MASCULINO,1,0,0,0,0
-74.08199999999994,4.624229999848225,LOS MÁRTIRES,LA SABANA,2022-10-01,00:00:00,1,10,2022,Sábado,USATAMA,MASCULINO,1,0,0,0,0
-74.16869999999994,4.59713999984907,BOSA,APOGEO,2022-10-01,00:00:00,1,10,2022,Sábado,OLARTE,MASCULINO,1,0,0,0,0
-74.20569999999998,4.620849999848341,BOSA,TINTAL SUR,2022-07-27,00:00:00,27,7,2022,Miércoles,SAN BERNARDINO XVIII,MASCULINO,1,0,0,0,0
-74.05999999999995,4.63814999984776,CHAPINERO,PARDO RUBIO,2022-12-04,00:00:00,4,12,2022,Domingo,PARDO RUBIO,FEMENINO,1,0,0,0,0
-74.05539999999996,4.6683099998468,CHAPINERO,CHICO LAGO,2022-12-04,00:00:00,4,12,2022,Domingo,EL RETIRO,FEMENINO,1,0,0,0,0
-74.16999999999996,4.628969999848045,KENNEDY,PATIO BONITO,2022-06-21,00:00:00,21,6,2022,Martes,TINTALITO,MASCULINO,1,0,0,0,0
-74.09889999999996,4.620049999848345,PUENTE ARANDA,ZONA INDUSTRIAL,2022-03-19,00:00:00,19,3,2022,Sábado,LOS EJIDOS,MASCULINO,1,0,0,0,0
-74.10499999999996,4.751009999844093,SUBA,EL RINCON,2022-03-12,00:00:00,12,3,2022,Sábado,SABANA DE TIBABUYES,FEMENINO,1,0,0,0,0
-74.10929999999996,4.500249999852239,USME,COMUNEROS,2022-05-04,00:00:00,4,5,2022,Miércoles,COMUNEROS,MASCULINO,1,0,0,0,0
-74.03359999999998,4.712839999845302,USAQUÉN,COUNTRY CLUB,2022-05-04,00:00:00,4,5,2022,Miércoles,LA CAROLINA,MASCULINO,1,0,0,0,0
-74.16379999999998,4.634889999847849,KENNEDY,PATIO BONITO,2022-03-19,00:00:00,19,3,2022,Sábado,PATIO BONITO II,FEMENINO,1,0,0,0,0
-74.15309999999994,4.621699999848273,KENNEDY,KENNEDY CENTRAL,2022-08-29,00:00:00,29,8,2022,Lunes,CIUDAD KENNEDY CENTRAL,MASCULINO,1,0,0,0,0
-74.08989999999994,4.62937999984801,TEUSAQUILLO,QUINTA PAREDES,2022-08-29,00:00:00,29,8,2022,Lunes,CENTRO NARINO,MASCULINO,1,0,0,0,0
-74.07789999999994,4.670389999846707,BARRIOS UNIDOS,DOCE DE OCTUBRE,2022-03-19,00:00:00,19,3,2022,Sábado,SAN FERNANDO,MASCULINO,1,0,0,0,0
-74.05129999999997,4.724759999844946,SUBA,EL PRADO,2022-01-27,00:00:00,27,1,2022,Jueves,PRADO PINZON,FEMENINO,1,0,0,0,0
-74.17259999999999,4.6199799998483515,KENNEDY,GRAN BRITALIA,2022-01-29,00:00:00,29,1,2022,Sábado,GRAN BRITALIA,MASCULINO,1,0,0,0,0
-74.12869999999998,4.595229999849174,PUENTE ARANDA,MUZU,2022-11-24,00:00:00,24,11,2022,Jueves,AUTOPISTA SUR,FEMENINO,1,0,0,0,0
