LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,homicide
-74.09762620399994,4.612553611848595,16,PUENTE ARANDA,108,ZONA INDUSTRIAL,2020-03-07,00:00:00,MASCULINO,2020,1
-74.15577991599997,4.541056996850923,19,CIUDAD BOLÍVAR,67,LUCERO,2021-10-21,00:00:00,MASCULINO,2021,1
-74.12101634699997,4.577716774849728,18,RAFAEL URIBE URIBE,39,QUIROGA,2018-09-30,00:00:00,MASCULINO,2018,1
-74.14777236899994,4.5336210688511525,19,CIUDAD BOLÍVAR,68,EL TESORO,2019-06-17,00:00:00,MASCULINO,2019,1
-74.08499999999998,4.590069999849295,03,SANTA FE,95,LAS CRUCES,2022-05-23,00:00:00,MASCULINO,2022,1
-74.16716136699995,4.57241781584988,19,CIUDAD BOLÍVAR,70,JERUSALEM,2021-08-01,00:00:00,MASCULINO,2021,1
-74.11376982899998,4.508218151851972,05,USME,57,GRAN YOMASA,2018-05-09,00:00:00,MASCULINO,2018,1
-74.10272861899995,4.542440853850887,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2020-02-05,00:00:00,MASCULINO,2020,1
-74.13079780699996,4.561858494850212,06,TUNJUELITO,62,TUNJUELITO,2018-08-12,00:00:00,FEMENINO,2018,1
-74.10040646399995,4.555169691850455,04,SAN CRISTÓBAL,50,LA GLORIA,2020-07-26,00:00:00,MASCULINO,2020,1
-74.09845895899997,4.5397458378509485,04,SAN CRISTÓBAL,51,LOS LIBERTADORES,2018-11-25,00:00:00,MASCULINO,2018,1
-74.13951679599995,4.600726041848997,08,KENNEDY,45,CARVAJAL,2018-11-21,00:00:00,MASCULINO,2018,1
-74.16823005899994,4.633903738847903,08,KENNEDY,82,PATIO BONITO,2018-07-29,00:00:00,MASCULINO,2018,1
-74.15669319099999,4.614472562848531,08,KENNEDY,48,TIMIZA,2018-08-24,00:00:00,MASCULINO,2018,1
-74.17298206799995,4.635525652847846,08,KENNEDY,82,PATIO BONITO,2018-07-23,00:00:00,MASCULINO,2018,1
-74.17271589999996,4.589880609849296,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2018-05-11,00:00:00,MASCULINO,2018,1
-74.20835608799996,4.620209476848354,07,BOSA,87,TINTAL SUR,2019-12-13,00:00:00,MASCULINO,2019,1
-74.17624170799996,4.585894001849432,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2020-05-28,00:00:00,MASCULINO,2020,1
-74.20549529599998,4.621084180848332,07,BOSA,87,TINTAL SUR,2019-10-21,00:00:00,MASCULINO,2019,1
-74.13242122799994,4.70276033284567,10,ENGATIVÁ,74,ENGATIVA,2020-12-10,00:00:00,MASCULINO,2020,1
-74.17066351899996,4.560310461850317,19,CIUDAD BOLÍVAR,70,JERUSALEM,2019-03-20,00:00:00,MASCULINO,2019,1
-74.16631420799996,4.639168607847706,08,KENNEDY,82,PATIO BONITO,2021-09-27,00:00:00,MASCULINO,2021,1
-74.02679954999996,4.743334341844307,01,USAQUÉN,10,LA URIBE,2020-06-13,00:00:00,MASCULINO,2020,1
-74.15524622999999,4.5485945468506666,19,CIUDAD BOLÍVAR,67,LUCERO,2020-01-14,00:00:00,MASCULINO,2020,1
-74.12272529399996,4.751278468844075,11,SUBA,71,TIBABUYES,2021-01-17,00:00:00,MASCULINO,2021,1
