"LONGITUD","LATITUD","codigo_localidad","nombre_localidad","codigo_upz","nombre_upz","FECHA_HECHO","HORA_HECHO","DIA","MES","AÑO","DIA_SEMANA","DIRECCION_HECHO","GENERO","sexual"
"-74.11663199999998","4.545589999850774","18","RAFAEL URIBE URIBE","54","MARRUECOS","2018-01-31","00:00:00","31","1","2018","Miércoles","LA PICOTA ORIENTAL","FEMENINO","1"
"-74.11643999999995","4.517769999851663","5","USME","57","GRAN YOMASA","2018-11-18","00:00:00","18","11","2018","Domingo","SANTA LIBRADA NORTE","FEMENINO","1"
"-74.11643999999995","4.517769999851663","5","USME","57","GRAN YOMASA","2020-03-06","00:00:00","6","3","2020","Viernes","SANTA LIBRADA NORTE","FEMENINO","1"
"-74.13064391899997","4.631447526847956","8","KENNEDY","113","BAVARIA","2020-02-21","00:00:00","21","2","2020","Viernes","MARSELLA","FEMENINO","1"
"-74.09077742299996","4.519405432851599","5","USME","994","SIN UPZ USME","2018-02-21","00:00:00","21","2","2018","Miércoles","CIUDAD LONDRES RURAL","FEMENINO","1"
"-74.03874299999995","4.7454039998442825","1","USAQUÉN","12","TOBERIN","2019-09-18","00:00:00","18","9","2019","Miércoles","EL TOBERIN","FEMENINO","1"
"-74.18852999999996","4.628340999848056","7","BOSA","84","BOSA OCCIDENTAL","2018-09-28","00:00:00","28","9","2018","Viernes","SAN MARTIN","FEMENINO","1"
"-74.12394113299996","4.591782546849246","15","ANTONIO NARIÑO","38","RESTREPO","2021-03-08","00:00:00","8","3","2021","Lunes","VILLA MAYOR ORIENTAL","FEMENINO","1"
"-74.12042999999994","4.520186999851565","5","USME","57","GRAN YOMASA","2018-08-01","00:00:00","1","8","2018","Miércoles","LA AURORA","FEMENINO","1"
"-74.02249199999994","4.737621999844513","1","USAQUÉN","11","SAN CRISTOBAL NORTE","2018-11-07","00:00:00","7","11","2018","Miércoles","BOSQUE DE PINOS","MASCULINO","1"
"-74.12872708499998","4.563555858850207","6","TUNJUELITO","62","TUNJUELITO","2021-09-20","00:00:00","20","9","2021","Lunes","TUNJUELITO","MASCULINO","1"
