LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_vehicle
-74.07384178299998,4.626415389848122,13,TEUSAQUILLO,101,TEUSAQUILLO,2018-07-25,00:00:00,25,7,2018,Miércoles,LA SOLEDAD,MASCULINO,1
-74.07299687799997,4.6575847908471095,12,BARRIOS UNIDOS,98,LOS ALCAZARES,2021-02-08,00:00:00,8,2,2021,Lunes,SIETE DE AGOSTO,MASCULINO,1
-74.13906929299998,4.605831427848798,08,KENNEDY,45,CARVAJAL,2021-09-05,00:00:00,5,9,2021,Domingo,NUEVA YORK,MASCULINO,1
-74.15257252099997,4.590852483849286,06,TUNJUELITO,42,VENECIA,2020-01-10,00:00:00,10,1,2020,Viernes,ISLA DEL SOL,MASCULINO,1
-74.08874108499998,4.53687311785107,04,SAN CRISTÓBAL,51,LOS LIBERTADORES,2018-04-21,00:00:00,21,4,2018,Sábado,EL PINAR,MASCULINO,1
-74.11680483099997,4.6245455928482,16,PUENTE ARANDA,43,SAN RAFAEL,2019-10-02,00:00:00,2,10,2019,Miércoles,SAN GABRIEL,MASCULINO,1
-74.10030982199999,4.734260362844611,11,SUBA,28,EL RINCON,2020-09-23,00:00:00,23,9,2020,Miércoles,AURES II,MASCULINO,1
-74.13967682299995,4.60765381384876,08,KENNEDY,45,CARVAJAL,2019-09-27,00:00:00,27,9,2019,Viernes,PROVIVIENDA,MASCULINO,1
-74.10196696999998,4.757825066843867,11,SUBA,27,SUBA,2019-01-15,00:00:00,15,1,2019,Martes,TIBABUYES,FEMENINO,1
-74.09913242799996,4.6316085978479915,16,PUENTE ARANDA,111,PUENTE ARANDA,2021-10-25,00:00:00,25,10,2021,Lunes,ORTEZAL,MASCULINO,1
-74.10082287799997,4.55532056385046,04,SAN CRISTÓBAL,50,LA GLORIA,2021-03-22,00:00:00,22,3,2021,Lunes,GUACAMAYAS IV,FEMENINO,1
-74.06389999999993,4.679119999846438,12,BARRIOS UNIDOS,21,LOS ANDES,2023-03-24,00:00:00,24,3,2023,Viernes,LA CASTELLANA,MASCULINO,1
-74.12580559399998,4.721309895845032,10,ENGATIVÁ,73,GARCES NAVAS,2018-10-21,00:00:00,21,10,2018,Domingo,EL DORADO INDUSTRIAL,MASCULINO,1
-74.15268066399994,4.680623271846371,09,FONTIBÓN,75,FONTIBON,2019-11-17,00:00:00,17,11,2019,Domingo,VILLA CARMENZA,FEMENINO,1
-74.13639266899997,4.705617591845573,10,ENGATIVÁ,74,ENGATIVA,2019-12-27,00:00:00,27,12,2019,Viernes,VILLA GLADYS,MASCULINO,1
-74.12572643399994,4.696783078845855,10,ENGATIVÁ,74,ENGATIVA,2021-02-04,00:00:00,4,2,2021,Jueves,VILLA DEL MAR,MASCULINO,1
-74.03754703199996,4.743465139844346,01,USAQUÉN,12,TOBERIN,2018-09-06,00:00:00,6,9,2018,Jueves,EL TOBERIN,MASCULINO,1
-74.16130998499995,4.647431912847448,08,KENNEDY,79,CALANDAIMA,2018-12-28,00:00:00,28,12,2018,Viernes,TINTALA,MASCULINO,1
-74.13524494399996,4.5933340058491865,06,TUNJUELITO,42,VENECIA,2019-04-09,00:00:00,9,4,2019,Martes,VENECIA,MASCULINO,1
-74.08124907199993,4.678658241846424,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2018-08-23,00:00:00,23,8,2018,Jueves,METROPOLIS,MASCULINO,1
-74.16667571999994,4.6334448768479035,08,KENNEDY,82,PATIO BONITO,2020-07-11,00:00:00,11,7,2020,Sábado,PROVIVIENDA OCCIDENTAL,MASCULINO,1
-74.14047635199995,4.5928993708492225,06,TUNJUELITO,42,VENECIA,2020-01-27,00:00:00,27,1,2020,Lunes,VENECIA,MASCULINO,1
-74.14155898999996,4.627959595848074,08,KENNEDY,44,AMERICAS,2018-03-15,00:00:00,15,3,2018,Jueves,MANDALAY,FEMENINO,1
-74.11391805099998,4.536600273851025,05,USME,56,DANUBIO,2020-01-28,00:00:00,28,1,2020,Martes,LA FISCALA NORTE,MASCULINO,1
-74.11137166699996,4.515327535851729,05,USME,57,GRAN YOMASA,2020-02-08,00:00:00,8,2,2020,Sábado,SANTA LIBRADA NORTE,MASCULINO,1
-74.16304649999995,4.564815135850144,19,CIUDAD BOLÍVAR,70,JERUSALEM,2018-05-13,00:00:00,13,5,2018,Domingo,ARBORIZADORA ALTA,MASCULINO,1
-74.09633798599998,4.558036688850372,04,SAN CRISTÓBAL,34,20 DE JULIO,2019-04-11,00:00:00,11,4,2019,Jueves,VILLA DE LOS ALPES,MASCULINO,1
-74.10652309199997,4.594441956849196,15,ANTONIO NARIÑO,38,RESTREPO,2019-04-26,00:00:00,26,4,2019,Viernes,LA FRAGUA,FEMENINO,1
-74.10786808099994,4.713994439845256,10,ENGATIVÁ,72,BOLIVIA,2020-02-29,00:00:00,29,2,2020,Sábado,BOCHICA II,MASCULINO,1
-74.11837726599998,4.7447221348443165,11,SUBA,71,TIBABUYES,2021-08-26,00:00:00,26,8,2021,Jueves,LISBOA,MASCULINO,1
