AÑO,FECHA_HECHO,DIA_SEMANA,GENERO,HORA_HECHO,DIRECCION_HECHO,LONGITUD,LATITUD
2018,2018-01-01,Lunes,FEMENINO,04:00:00,KR 95 A CL 34  39 SUR,"-74,1706790913","4,648221915"
2018,2018-01-04,Jueves,FEMENINO,15:00:00,KR 100  CL 65  46 SUR,"-74,2009309314","4,637142189"
2018,2018-01-05,Viernes,FEMENINO,00:00:00,KR 87 F CL 56 F 93 SUROCCIDENTE,"-74,1865771631","4,6257539227"
2018,2018-01-06,Sábado,FEMENINO,00:00:00,CL 71 C KR 110 BBIS 45 SUROCCIDENTE,"-74,1263985423","4,7108555407"
2018,2018-01-06,Sábado,FEMENINO,21:00:00,KR 9  CL 60  57 NORESTE,"-74,0617960952","4,6470962626"
2018,2018-01-08,Lunes,FEMENINO,15:00:00,CL 41 A KR 81 H 27 SUR,"-74,1648535881","4,62962546"
2018,2018-01-14,Domingo,FEMENINO,00:00:00,KR 15  CL 80 A 10 SUR,"-74,1373590738","4,5353574704"
2018,2018-01-15,Lunes,MASCULINO,00:00:00,KR 19  CL 60  23 NORTE,"-74,0692873922","4,6480648171"
2018,2018-01-15,Lunes,FEMENINO,00:00:00,KR 81 F CL 5 B 59 SUR,"-74,156412127","4,6353771874"
2018,2018-01-16,Martes,FEMENINO,00:00:00,CL 69 A KR 107 B 33 OCCIDENTE,"-74,1255051521","4,7042705472"
2018,2018-01-17,Miércoles,FEMENINO,00:00:00,CL 26 A KR 20  39 SUR,"-74,10766035","4,5820495146"
2018,2018-01-17,Miércoles,FEMENINO,00:00:00,DG 77 B KR 116 B 42 OCCIDENTE,"-74,1277365758","4,7221978267"
2018,2018-01-21,Domingo,MASCULINO,19:00:00,AK 86  CL 43 S 25 SUR,"-74,170857129","4,6283624296"
2018,2018-01-21,Domingo,MASCULINO,00:00:00,KR 99 ABIS CL 42 A 22 SUR,"-74,1790791866","4,6467267812"
2018,2018-01-21,Domingo,FEMENINO,00:00:00,KR 88  CL 41  28 SUR,"-74,1695725734","4,6355691127"
2018,2018-01-23,Martes,FEMENINO,00:00:00,KR 81 A CL 15 A 23 SUR,"-74,1364151282","4,6546200372"
2018,2018-01-24,Miércoles,FEMENINO,00:00:00,KR 123  CL 131  80 ,"-74,1062492319","4,7373355193"
2018,2018-01-24,Miércoles,FEMENINO,00:00:00,CL 129 D KR 119 D 12 NORTE,"-74,1035541737","4,732417966"
2018,2018-01-24,Miércoles,FEMENINO,00:00:00,KR 14 ESTE CL 89  20 SUR,"-74,1057453963","4,5013479846"
2018,2018-01-24,Miércoles,FEMENINO,00:00:00,KR 14 ESTE CL 89  20 SUR,"-74,1057453963","4,5013479846"
2018,2018-01-26,Viernes,FEMENINO,00:00:00,CL 56  KR 33  7 ,"-74,1425784576","4,581893335"
2018,2018-01-27,Sábado,FEMENINO,16:00:00,TR 73 DBIS CL 69 SUR 28 SUR,"-74,1680796481","4,5814851321"
2018,2018-02-08,Jueves,FEMENINO,00:00:00,CL 139  KR 118  42 NORTE,"-74,1068827116","4,7465407115"
2018,2018-02-09,Viernes,FEMENINO,00:00:00,KR 89 B CL 76  16 NOROCCIDENTE,"-74,1056535","4,7021605809"
2018,2018-02-15,Jueves,FEMENINO,00:00:00,KR 102  CL 82 49  ,"-74,1102886382","4,7151118077"
2018,2018-02-15,Jueves,FEMENINO,00:00:00,CL 63 ASUR KR 72  5 SUR,"-74,1682911283","4,5872127112"
2018,2018-02-19,Lunes,FEMENINO,15:30:00,KR 98 C CL 129 C 44 NORTE,"-74,0942735484","4,7336334245"
2018,2018-02-20,Martes,MASCULINO,08:00:00,KR 99 A CL 40 S 37 SUR,"-74,1764302966","4,6491625065"
