AÑO,FECHA_HECHO,DIA_SEMANA,GENERO,HORA_HECHO,DIRECCION_HECHO,LONGITUD,LATITUD
2015,2015-06-09,Martes,MASCULINO,08:30:00,CL 63 C KR 30  7 OCCIDENTE,"-74,078354958","4,6548288565"
2015,2015-06-09,Martes,MASCULINO,08:30:00,CL 63 C KR 30  7 OCCIDENTE,"-74,078354958","4,6548288565"
2015,2015-06-09,Martes,MASCULINO,08:30:00,CL 63 C KR 30  7 OCCIDENTE,"-74,078354958","4,6548288565"
2015,2015-12-11,Viernes,MASCULINO,13:16:00,KR 100 B CL 72  17 SUR,"-74,1169284254","4,7039725267"
2015,2015-08-24,Lunes,FEMENINO,15:30:00,KR 58 A CL 128 A 70 NOROCCIDENTE,"-74,0707125468","4,7157494428"
2015,2015-06-30,Martes,MASCULINO,10:00:00,KR 2 B CL 68 D 33 ,"-74,1194598112","4,5256723325"
2015,2015-09-08,Martes,MASCULINO,19:30:00,CL 74  KR 58  33 ,"-74,0781323347","4,6733603591"
2015,2015-09-28,Lunes,MASCULINO,19:10:00,KR 68 F CL 38 C 65 SUR,"-74,1377202902","4,6034128829"
2015,2015-01-22,Jueves,MASCULINO,04:30:00,KR 79 BSUR CL 42 G 22 SUR,"-74,1640025747","4,6193373513"
2015,2015-02-08,Domingo,MASCULINO,04:30:00,KR 100 C BI CL 58  93 SUR,"-74,1964868081","4,6392626407"
2015,2015-02-11,Miércoles,MASCULINO,18:10:00,KR 98  CL 17  48 NOROCCIDENTE,"-74,1443553937","4,6715274229"
2015,2015-03-30,Lunes,MASCULINO,01:45:00,CL 90  KR 91  52 NOROCCIDENTE,"-74,0980068219","4,7133033261"
2015,2015-05-15,Viernes,MASCULINO,02:30:00,AK 72  CL 22   SUR,"-74,1393477095","4,619529843"
2015,2015-06-02,Martes,MASCULINO,22:38:00,CL 65 SUR KR 104  41 SUR,"-74,2012671862","4,6379116173"
2015,2015-06-03,Miércoles,MASCULINO,00:30:00,DG 5 A KR 73 B  SUR,"-74,1419420872","4,6291534182"
2015,2015-07-09,Jueves,MASCULINO,22:03:00,KR 9  CL 131   NORTE,"-74,0324811373","4,710592974"
2015,2015-08-02,Domingo,MASCULINO,01:00:00,KR 63  CL 1 A  CENTRO,"-74,123494212","4,6203074074"
2015,2015-09-06,Domingo,MASCULINO,06:00:00,KR 79 A CL 17 SUR 27 SUR,"-74,1402574446","4,5375354048"
2015,2015-10-22,Jueves,FEMENINO,18:30:00,KR 48 C CL 68   SUR,"-74,1564528379","4,5768800148"
2015,2015-11-02,Lunes,MASCULINO,01:00:00,CL 32 B KR 20   SUR,"-74,1121105585","4,5773184942"
2015,2015-01-04,Domingo,MASCULINO,18:15:00,CL 55 A KR 68 ASUR 22 SUR,"-74,1587883604","4,6017027491"
2015,2015-01-05,Lunes,MASCULINO,20:20:00,CL 138 B KR 125   NORTE,"-74,1070351375","4,7445741574"
2015,2015-01-05,Lunes,MASCULINO,15:00:00,KR 11 A CL 50  10 SUR,"-74,1222969068","4,5600260344"
2015,2015-01-05,Lunes,MASCULINO,16:00:00,AK 14  CL 6 SUR 51 SUR,"-74,0928060186","4,5881743924"
2015,2015-01-06,Martes,MASCULINO,21:15:00,KR 1  CL 32   ESTE,"-74,0625945468","4,616781484"
2015,2015-01-07,Miércoles,MASCULINO,15:30:00,KR 78 N CL 39 SUR  SUR,"-74,1480380667","4,6130920359"
2015,2015-01-07,Miércoles,MASCULINO,19:50:00,KR 72 D CL 52 ASUR 26 SUR,"-74,1660356892","4,6021921086"
2015,2015-01-08,Jueves,MASCULINO,23:00:00,KR 3 ESTE CL 40 SUR 39 SURESTE,"-74,0948659552","4,5515263808"
2015,2015-01-10,Sábado,MASCULINO,18:30:00,KR 82  CL 82  46 NOROCCIDENTE,"-74,0972048414","4,7021467159"
2015,2015-01-10,Sábado,MASCULINO,20:20:00,KR 38  CL 63  34 SUR,"-74,1518593634","4,5712561784"
2015,2015-01-16,Viernes,FEMENINO,17:35:00,KR 29  CL 12   OCCIDENTE,"-74,0926343573","4,6115948631"
2015,2015-01-17,Sábado,MASCULINO,21:30:00,KR 2 ESTE CL 54  44 SUR,"-74,1145588144","4,5403733022"
2015,2015-01-19,Lunes,MASCULINO,09:00:00,AC 26  KR 66  63 OCCIDENTE,"-74,1015392912","4,6488735247"
2015,2015-01-21,Miércoles,MASCULINO,20:00:00,CL 36 BSUR KR 2 ESTE  SURESTE,"-74,0950805319","4,5551919347"
2015,2015-01-22,Jueves,MASCULINO,17:30:00,AK 72  CL 12   OCCIDENTE,"-74,1319877279","4,6453553414"
2015,2015-01-23,Viernes,MASCULINO,19:30:00,TR 23  CL 38 B 60 SUR,"-74,1226965559","4,5873348773"
2015,2015-01-24,Sábado,MASCULINO,20:30:00,KR 3 SUR CL 48 X  SUR,"-74,1081053389","4,5473150632"
2015,2015-01-28,Miércoles,FEMENINO,15:30:00,CL 60  KR 77 NSUR  SUR,"-74,1795325649","4,6010878294"
2015,2015-01-28,Miércoles,MASCULINO,20:00:00,KR 145 A CL 136  19 NORTE,"-74,1174823416","4,7461886584"
2015,2015-01-29,Jueves,MASCULINO,20:30:00,CL 51 A KR 5 BIS 15 SUR,"-74,1136548293","4,5447696335"
2015,2015-01-31,Sábado,MASCULINO,17:15:00,AC 57 SUR KR 60  51 SUR,"-74,1477054728","4,5941044428"
2015,2015-02-01,Domingo,MASCULINO,00:00:00,KR 103  CL 13 b  OCCIDENTE,"-74,1461965463","4,6757401212"
2015,2015-02-02,Lunes,MASCULINO,20:20:00,KR 5 L BI CL 48 Q  SUR,"-74,1127482427","4,55408223"
2015,2015-02-03,Martes,MASCULINO,22:20:00,CL 83 C KR 5 A 55 SUR,"-74,1015044225","4,5033784055"
2015,2015-02-03,Martes,MASCULINO,05:00:00,CL 57  KR 79   SUR,"-74,17443905","4,6107687432"
2015,2015-02-03,Martes,MASCULINO,11:00:00,CL 73  KR 74   NORTE,"-74,0974623335","4,691518065"
2015,2015-02-03,Martes,FEMENINO,19:55:00,CL 64 A SU KR 17   SUR,"-74,136595763","4,5544807203"
2015,2015-02-04,Miércoles,MASCULINO,20:40:00,CL 42  KR 14   SURESTE,"-74,1161626947","4,5695978836"
2015,2015-02-08,Domingo,MASCULINO,21:30:00,AK 45  CL 230   NORTE,"-74,0372091902","4,8172977806"
2015,2015-02-09,Lunes,MASCULINO,23:15:00,KR 17 B CL 66 A 31 SUR,"-74,137789346","4,551967401"
2015,2015-02-11,Miércoles,MASCULINO,07:10:00,CL 62  KR 67   SUR,"-74,1577798498","4,590610185"
2015,2015-02-17,Martes,MASCULINO,19:30:00,CL 55  KR 95   SUR,"-74,1907146943","4,6365785206"
2015,2015-02-17,Martes,MASCULINO,18:40:00,KR 94  CL 6   NORTE,"-74,165096916","4,6512047124"
2015,2015-02-19,Jueves,MASCULINO,21:30:00,KR 52 A CL 41 A 4 SUR,"-74,1334110061","4,5978985046"
2015,2015-02-19,Jueves,MASCULINO,20:30:00,CL 7 D KR 78  94 SUR,"-74,1436607016","4,6361267106"
2015,2015-02-26,Jueves,MASCULINO,16:30:00,CL 99  KR 16  17 NOROCCIDENTE,"-74,149325741","4,6687148939"
2015,2015-03-01,Domingo,MASCULINO,10:30:00,CL 57  KR 3 H  SUR,"-74,1164470089","4,5384006724"
2015,2015-03-04,Miércoles,MASCULINO,20:30:00,CL 77  KR 39  20 SUR,"-74,1674258388","4,5673291061"
2015,2015-03-09,Lunes,MASCULINO,19:00:00,       NORTE,"-74,1494352267","4,6332634456"
2015,2015-03-10,Martes,MASCULINO,14:10:00,CL 132  KR 8   NORTE,"-74,0323528535","4,7103212197"
2015,2015-03-11,Miércoles,MASCULINO,14:30:00,CL 33 SUR KR 7  42 SUR,"-74,0996320828","4,5649872465"
2015,2015-03-13,Viernes,MASCULINO,13:00:00,KR 30  CL 32   NOROCCIDENTE,"-74,0804088486","4,6333516816"
2015,2015-03-13,Viernes,MASCULINO,20:30:00,KR 80  DG 60   SUR,"-74,1818097604","4,6086739101"
2015,2015-03-16,Lunes,MASCULINO,20:40:00,CL   KR 87 A 15 SUR,"-74,1567874325","4,6443810603"
2015,2015-03-17,Martes,MASCULINO,08:15:00,KR 3 C CL 48 R 4 SUR,"-74,1029045356","4,5421118959"
2015,2015-03-19,Jueves,MASCULINO,17:40:00,CL 32 D KR 16 A 13 SUR,"-74,1132122648","4,5752232906"
2015,2015-03-20,Viernes,MASCULINO,19:30:00,KR 3 A ES CL 30  30 SUR,"-74,0899038685","4,5617184963"
2015,2015-03-21,Sábado,MASCULINO,19:30:00,KR 18 A CL 48  83 SUR,"-74,1269719971","4,5689241151"
2015,2015-03-25,Miércoles,MASCULINO,06:40:00,KR 93  CL 127   NORTE,"-74,098087664","4,7411550522"
2015,2015-03-25,Miércoles,MASCULINO,20:15:00,KR 82 F BI CL 65  26 SUR,"-74,1898993028","4,6142737308"
