DP;DPNOM;DPMP;MPIO;year;area geografica;Poblacion
05;Antioquia;Medellín;05001;2005;Cabecera Municipal;1.997.763
05;Antioquia;Medellín;05001;2005;Centros Poblados y Rural Disperso;48.578
05;Antioquia;Medellín;05001;2005;Total;2.046.341
05;Antioquia;Abejorral;05002;2005;Cabecera Municipal;7.158
05;Antioquia;Abejorral;05002;2005;Centros Poblados y Rural Disperso;15.784
05;Antioquia;Abejorral;05002;2005;Total;22.942
05;Antioquia;Abriaquí;05004;2005;Cabecera Municipal;723
05;Antioquia;Abriaquí;05004;2005;Centros Poblados y Rural Disperso;1.996
05;Antioquia;Abriaquí;05004;2005;Total;2.719
05;Antioquia;Alejandría;05021;2005;Cabecera Municipal;2.137
05;Antioquia;Alejandría;05021;2005;Centros Poblados y Rural Disperso;2.587
05;Antioquia;Alejandría;05021;2005;Total;4.724
05;Antioquia;Amagá;05030;2005;Cabecera Municipal;11.998
05;Antioquia;Amagá;05030;2005;Centros Poblados y Rural Disperso;15.123
05;Antioquia;Amagá;05030;2005;Total;27.121
05;Antioquia;Amalfi;05031;2005;Cabecera Municipal;11.556
05;Antioquia;Amalfi;05031;2005;Centros Poblados y Rural Disperso;11.377
05;Antioquia;Amalfi;05031;2005;Total;22.933
05;Antioquia;Andes;05034;2005;Cabecera Municipal;17.793
05;Antioquia;Andes;05034;2005;Centros Poblados y Rural Disperso;24.083
05;Antioquia;Andes;05034;2005;Total;41.876
05;Antioquia;Angelópolis;05036;2005;Cabecera Municipal;1.830
05;Antioquia;Angelópolis;05036;2005;Centros Poblados y Rural Disperso;4.035
05;Antioquia;Angelópolis;05036;2005;Total;5.865
05;Antioquia;Angostura;05038;2005;Cabecera Municipal;2.434
05;Antioquia;Angostura;05038;2005;Centros Poblados y Rural Disperso;9.759
05;Antioquia;Angostura;05038;2005;Total;12.193
05;Antioquia;Anorí;05040;2005;Cabecera Municipal;5.622
05;Antioquia;Anorí;05040;2005;Centros Poblados y Rural Disperso;10.231
05;Antioquia;Anorí;05040;2005;Total;15.853
05;Antioquia;Santafé de Antioquia;05042;2005;Cabecera Municipal;13.187
05;Antioquia;Santafé de Antioquia;05042;2005;Centros Poblados y Rural Disperso;10.270
05;Antioquia;Santafé de Antioquia;05042;2005;Total;23.457
05;Antioquia;Anzá;05044;2005;Cabecera Municipal;1.081
05;Antioquia;Anzá;05044;2005;Centros Poblados y Rural Disperso;5.749
05;Antioquia;Anzá;05044;2005;Total;6.830
05;Antioquia;Apartadó;05045;2005;Cabecera Municipal;71.208
05;Antioquia;Apartadó;05045;2005;Centros Poblados y Rural Disperso;20.469
05;Antioquia;Apartadó;05045;2005;Total;91.677
05;Antioquia;Arboletes;05051;2005;Cabecera Municipal;8.518
05;Antioquia;Arboletes;05051;2005;Centros Poblados y Rural Disperso;20.711
05;Antioquia;Arboletes;05051;2005;Total;29.229
05;Antioquia;Argelia;05055;2005;Cabecera Municipal;3.018
05;Antioquia;Argelia;05055;2005;Centros Poblados y Rural Disperso;6.571
05;Antioquia;Argelia;05055;2005;Total;9.589
