_id,ANO,COD_UPZ,NOMBRE_UPZ,COD_LOC,LOCALIDAD,SEXO,ORDEN_GRUPO_EDAD,GRUPOEDAD,ORDEN_MCV,CURSODEVIDA,TOTAL_POBLACION
1,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,1,0 a 4,1,Primera Infancia,1392
2,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,2,5 a 9,2,Infancia,1500
3,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,3,10 a 14,2,Infancia,1529
4,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,4,15 a 19,3,Adolescencia,1502
5,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,5,20 a 24,4,Juventud,1593
6,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,6,25 a 29,4,Juventud,1383
7,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,7,30 a 34,5,Adultez,1143
8,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,8,35 a 39,5,Adultez,1047
9,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,9,40 a 44,5,Adultez,1036
10,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,10,45 a 49,5,Adultez,925
11,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,11,50 a 54,5,Adultez,750
12,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,12,55 a 59,5,Adultez,546
13,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,13,60 a 64,6,Vejez,443
14,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,14,65 a 69,6,Vejez,325
15,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,15,70 a 74,6,Vejez,220
16,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,16,75 a 79,6,Vejez,176
17,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,17,80 a 84,6,Vejez,137
18,2005,35,Ciudad Jardin,15,Antonio Nariño,Hombre,18,85 y más,6,Vejez,109
19,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,1,0 a 4,1,Primera Infancia,1464
20,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,2,5 a 9,2,Infancia,1626
21,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,3,10 a 14,2,Infancia,1496
22,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,4,15 a 19,3,Adolescencia,1389
23,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,5,20 a 24,4,Juventud,1522
24,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,6,25 a 29,4,Juventud,1377
25,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,7,30 a 34,5,Adultez,1180
26,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,8,35 a 39,5,Adultez,1116
27,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,9,40 a 44,5,Adultez,1207
28,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,10,45 a 49,5,Adultez,1121
29,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,11,50 a 54,5,Adultez,912
30,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,12,55 a 59,5,Adultez,664
31,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,13,60 a 64,6,Vejez,455
32,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,14,65 a 69,6,Vejez,363
33,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,15,70 a 74,6,Vejez,287
34,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,16,75 a 79,6,Vejez,262
35,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,17,80 a 84,6,Vejez,226
36,2005,35,Ciudad Jardin,15,Antonio Nariño,Mujer,18,85 y más,6,Vejez,160
37,2005,38,Restrepo,15,Antonio Nariño,Hombre,1,0 a 4,1,Primera Infancia,3525
38,2005,38,Restrepo,15,Antonio Nariño,Hombre,2,5 a 9,2,Infancia,3892
39,2005,38,Restrepo,15,Antonio Nariño,Hombre,3,10 a 14,2,Infancia,4058
40,2005,38,Restrepo,15,Antonio Nariño,Hombre,4,15 a 19,3,Adolescencia,3686
41,2005,38,Restrepo,15,Antonio Nariño,Hombre,5,20 a 24,4,Juventud,3704
42,2005,38,Restrepo,15,Antonio Nariño,Hombre,6,25 a 29,4,Juventud,3229
43,2005,38,Restrepo,15,Antonio Nariño,Hombre,7,30 a 34,5,Adultez,2736
44,2005,38,Restrepo,15,Antonio Nariño,Hombre,8,35 a 39,5,Adultez,2561
45,2005,38,Restrepo,15,Antonio Nariño,Hombre,9,40 a 44,5,Adultez,2549
46,2005,38,Restrepo,15,Antonio Nariño,Hombre,10,45 a 49,5,Adultez,2477
47,2005,38,Restrepo,15,Antonio Nariño,Hombre,11,50 a 54,5,Adultez,2023
48,2005,38,Restrepo,15,Antonio Nariño,Hombre,12,55 a 59,5,Adultez,1454
49,2005,38,Restrepo,15,Antonio Nariño,Hombre,13,60 a 64,6,Vejez,1121
50,2005,38,Restrepo,15,Antonio Nariño,Hombre,14,65 a 69,6,Vejez,846
51,2005,38,Restrepo,15,Antonio Nariño,Hombre,15,70 a 74,6,Vejez,601
52,2005,38,Restrepo,15,Antonio Nariño,Hombre,16,75 a 79,6,Vejez,435
53,2005,38,Restrepo,15,Antonio Nariño,Hombre,17,80 a 84,6,Vejez,273
54,2005,38,Restrepo,15,Antonio Nariño,Hombre,18,85 y más,6,Vejez,189
55,2005,38,Restrepo,15,Antonio Nariño,Mujer,1,0 a 4,1,Primera Infancia,3453
56,2005,38,Restrepo,15,Antonio Nariño,Mujer,2,5 a 9,2,Infancia,3779
57,2005,38,Restrepo,15,Antonio Nariño,Mujer,3,10 a 14,2,Infancia,3758
58,2005,38,Restrepo,15,Antonio Nariño,Mujer,4,15 a 19,3,Adolescencia,3639
59,2005,38,Restrepo,15,Antonio Nariño,Mujer,5,20 a 24,4,Juventud,3863
60,2005,38,Restrepo,15,Antonio Nariño,Mujer,6,25 a 29,4,Juventud,3300
61,2005,38,Restrepo,15,Antonio Nariño,Mujer,7,30 a 34,5,Adultez,2892
62,2005,38,Restrepo,15,Antonio Nariño,Mujer,8,35 a 39,5,Adultez,3018
63,2005,38,Restrepo,15,Antonio Nariño,Mujer,9,40 a 44,5,Adultez,3009
64,2005,38,Restrepo,15,Antonio Nariño,Mujer,10,45 a 49,5,Adultez,2846
65,2005,38,Restrepo,15,Antonio Nariño,Mujer,11,50 a 54,5,Adultez,2300
66,2005,38,Restrepo,15,Antonio Nariño,Mujer,12,55 a 59,5,Adultez,1742
67,2005,38,Restrepo,15,Antonio Nariño,Mujer,13,60 a 64,6,Vejez,1262
68,2005,38,Restrepo,15,Antonio Nariño,Mujer,14,65 a 69,6,Vejez,1000
69,2005,38,Restrepo,15,Antonio Nariño,Mujer,15,70 a 74,6,Vejez,759
70,2005,38,Restrepo,15,Antonio Nariño,Mujer,16,75 a 79,6,Vejez,603
71,2005,38,Restrepo,15,Antonio Nariño,Mujer,17,80 a 84,6,Vejez,457
72,2005,38,Restrepo,15,Antonio Nariño,Mujer,18,85 y más,6,Vejez,347
73,2005,21,Los Andes,12,Barrios Unidos,Hombre,1,0 a 4,1,Primera Infancia,1186
74,2005,21,Los Andes,12,Barrios Unidos,Hombre,2,5 a 9,2,Infancia,1400
75,2005,21,Los Andes,12,Barrios Unidos,Hombre,3,10 a 14,2,Infancia,1325
76,2005,21,Los Andes,12,Barrios Unidos,Hombre,4,15 a 19,3,Adolescencia,1869
77,2005,21,Los Andes,12,Barrios Unidos,Hombre,5,20 a 24,4,Juventud,2139
78,2005,21,Los Andes,12,Barrios Unidos,Hombre,6,25 a 29,4,Juventud,1653
79,2005,21,Los Andes,12,Barrios Unidos,Hombre,7,30 a 34,5,Adultez,1295
80,2005,21,Los Andes,12,Barrios Unidos,Hombre,8,35 a 39,5,Adultez,1273
81,2005,21,Los Andes,12,Barrios Unidos,Hombre,9,40 a 44,5,Adultez,1329
82,2005,21,Los Andes,12,Barrios Unidos,Hombre,10,45 a 49,5,Adultez,1369
83,2005,21,Los Andes,12,Barrios Unidos,Hombre,11,50 a 54,5,Adultez,1094
84,2005,21,Los Andes,12,Barrios Unidos,Hombre,12,55 a 59,5,Adultez,1013
85,2005,21,Los Andes,12,Barrios Unidos,Hombre,13,60 a 64,6,Vejez,829
86,2005,21,Los Andes,12,Barrios Unidos,Hombre,14,65 a 69,6,Vejez,535
87,2005,21,Los Andes,12,Barrios Unidos,Hombre,15,70 a 74,6,Vejez,400
88,2005,21,Los Andes,12,Barrios Unidos,Hombre,16,75 a 79,6,Vejez,376
89,2005,21,Los Andes,12,Barrios Unidos,Hombre,17,80 a 84,6,Vejez,233
90,2005,21,Los Andes,12,Barrios Unidos,Hombre,18,85 y más,6,Vejez,275
91,2005,21,Los Andes,12,Barrios Unidos,Mujer,1,0 a 4,1,Primera Infancia,1084
92,2005,21,Los Andes,12,Barrios Unidos,Mujer,2,5 a 9,2,Infancia,1182
93,2005,21,Los Andes,12,Barrios Unidos,Mujer,3,10 a 14,2,Infancia,1180
94,2005,21,Los Andes,12,Barrios Unidos,Mujer,4,15 a 19,3,Adolescencia,1405
95,2005,21,Los Andes,12,Barrios Unidos,Mujer,5,20 a 24,4,Juventud,2187
96,2005,21,Los Andes,12,Barrios Unidos,Mujer,6,25 a 29,4,Juventud,2088
97,2005,21,Los Andes,12,Barrios Unidos,Mujer,7,30 a 34,5,Adultez,1742
98,2005,21,Los Andes,12,Barrios Unidos,Mujer,8,35 a 39,5,Adultez,1649
99,2005,21,Los Andes,12,Barrios Unidos,Mujer,9,40 a 44,5,Adultez,1862
100,2005,21,Los Andes,12,Barrios Unidos,Mujer,10,45 a 49,5,Adultez,1626
101,2005,21,Los Andes,12,Barrios Unidos,Mujer,11,50 a 54,5,Adultez,1415
102,2005,21,Los Andes,12,Barrios Unidos,Mujer,12,55 a 59,5,Adultez,1396
103,2005,21,Los Andes,12,Barrios Unidos,Mujer,13,60 a 64,6,Vejez,1031
104,2005,21,Los Andes,12,Barrios Unidos,Mujer,14,65 a 69,6,Vejez,660
105,2005,21,Los Andes,12,Barrios Unidos,Mujer,15,70 a 74,6,Vejez,554
106,2005,21,Los Andes,12,Barrios Unidos,Mujer,16,75 a 79,6,Vejez,502
107,2005,21,Los Andes,12,Barrios Unidos,Mujer,17,80 a 84,6,Vejez,335
108,2005,21,Los Andes,12,Barrios Unidos,Mujer,18,85 y más,6,Vejez,333
109,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,1,0 a 4,1,Primera Infancia,3513
110,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,2,5 a 9,2,Infancia,4012
111,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,3,10 a 14,2,Infancia,3920
112,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,4,15 a 19,3,Adolescencia,3572
113,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,5,20 a 24,4,Juventud,4008
114,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,6,25 a 29,4,Juventud,3773
115,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,7,30 a 34,5,Adultez,3275
116,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,8,35 a 39,5,Adultez,3160
117,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,9,40 a 44,5,Adultez,3271
118,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,10,45 a 49,5,Adultez,3208
119,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,11,50 a 54,5,Adultez,2454
120,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,12,55 a 59,5,Adultez,2265
121,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,13,60 a 64,6,Vejez,1691
122,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,14,65 a 69,6,Vejez,1001
123,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,15,70 a 74,6,Vejez,670
124,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,16,75 a 79,6,Vejez,584
125,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,17,80 a 84,6,Vejez,378
126,2005,22,Doce De Octubre,12,Barrios Unidos,Hombre,18,85 y más,6,Vejez,339
127,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,1,0 a 4,1,Primera Infancia,3358
128,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,2,5 a 9,2,Infancia,3912
129,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,3,10 a 14,2,Infancia,3787
130,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,4,15 a 19,3,Adolescencia,3412
131,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,5,20 a 24,4,Juventud,4080
132,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,6,25 a 29,4,Juventud,3775
133,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,7,30 a 34,5,Adultez,3409
134,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,8,35 a 39,5,Adultez,3447
135,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,9,40 a 44,5,Adultez,3976
136,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,10,45 a 49,5,Adultez,3749
137,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,11,50 a 54,5,Adultez,3111
138,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,12,55 a 59,5,Adultez,2734
139,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,13,60 a 64,6,Vejez,2122
140,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,14,65 a 69,6,Vejez,1201
141,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,15,70 a 74,6,Vejez,1014
142,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,16,75 a 79,6,Vejez,963
143,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,17,80 a 84,6,Vejez,570
144,2005,22,Doce De Octubre,12,Barrios Unidos,Mujer,18,85 y más,6,Vejez,481
145,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,1,0 a 4,1,Primera Infancia,2432
146,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,2,5 a 9,2,Infancia,3111
147,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,3,10 a 14,2,Infancia,2801
148,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,4,15 a 19,3,Adolescencia,2858
149,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,5,20 a 24,4,Juventud,3513
150,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,6,25 a 29,4,Juventud,3842
151,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,7,30 a 34,5,Adultez,3087
152,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,8,35 a 39,5,Adultez,2776
153,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,9,40 a 44,5,Adultez,2707
154,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,10,45 a 49,5,Adultez,2458
155,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,11,50 a 54,5,Adultez,2029
156,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,12,55 a 59,5,Adultez,1932
157,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,13,60 a 64,6,Vejez,1481
158,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,14,65 a 69,6,Vejez,987
159,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,15,70 a 74,6,Vejez,673
160,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,16,75 a 79,6,Vejez,533
161,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,17,80 a 84,6,Vejez,357
162,2005,98,Los Alcazares,12,Barrios Unidos,Hombre,18,85 y más,6,Vejez,368
163,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,1,0 a 4,1,Primera Infancia,2538
164,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,2,5 a 9,2,Infancia,3200
165,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,3,10 a 14,2,Infancia,3005
166,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,4,15 a 19,3,Adolescencia,2845
167,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,5,20 a 24,4,Juventud,3744
168,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,6,25 a 29,4,Juventud,3678
169,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,7,30 a 34,5,Adultez,2929
170,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,8,35 a 39,5,Adultez,2942
171,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,9,40 a 44,5,Adultez,2886
172,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,10,45 a 49,5,Adultez,2835
173,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,11,50 a 54,5,Adultez,2418
174,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,12,55 a 59,5,Adultez,2289
175,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,13,60 a 64,6,Vejez,1873
176,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,14,65 a 69,6,Vejez,1100
177,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,15,70 a 74,6,Vejez,965
178,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,16,75 a 79,6,Vejez,820
179,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,17,80 a 84,6,Vejez,572
180,2005,98,Los Alcazares,12,Barrios Unidos,Mujer,18,85 y más,6,Vejez,599
181,2005,103,Parque Salitre,12,Barrios Unidos,Hombre,1,0 a 4,1,Primera Infancia,120
182,2005,103,Parque Salitre,12,Barrios Unidos,Hombre,2,5 a 9,2,Infancia,155
183,2005,103,Parque Salitre,12,Barrios Unidos,Hombre,3,10 a 14,2,Infancia,185
184,2005,103,Parque Salitre,12,Barrios Unidos,Hombre,4,15 a 19,3,Adolescencia,140
