ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
810.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
809.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
823.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
822.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
821.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
796.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
800.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
811.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
820.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
812.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
819.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
824.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
801.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
815.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1829.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
818.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
816.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
807.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
808.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
795.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
802.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
916.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
799.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
798.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
797.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
83.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
854.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
57.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
84.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
559.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
561.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
947.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
569.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
570.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
804.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
82.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
85.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
81.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
80.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
79.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
78.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
193.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
793.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
304.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1841.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
308.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
805.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
310.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
405.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
407.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
119.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,3.0
75.0,2011,3.0,1,0.0,0,0.0,0,0.0,0,0.0
74.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,3.0
73.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,5.0
72.0,2011,2.0,1,0.0,0,0.0,0,0.0,0,0.0
87.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
86.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
154.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
194.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
195.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
196.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
197.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
201.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
191.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
190.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
302.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
192.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
189.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
