ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,mujer,ingreso,nivel_educativo,estrato_trabajador,limitaciones_fisicas,total_personas,tipo_vivienda_d2,tipo_vivienda_d3,tipo_vivienda_d4,tipo_vivienda_d5,nivel_educativo_d2,nivel_educativo_d3,nivel_educativo_d4,nivel_educativo_d5,nivel_educativo_d7,nivel_educativo_d8,nivel_educativo_d9,nivel_educativo_d11,ocupacion1_d1,ocupacion1_d4,ocupacion1_d5,ocupacion1_d6,ocupacion1_d7,ocupacion1_d8,ocupacion1_d13,ocupacion1_d18,ocupacion1_d19,ocupacion1_d20,ocupacion1_d24,actividad_economica1_d1,actividad_economica1_d3,actividad_economica1_d4,actividad_economica1_d5,actividad_economica1_d7,actividad_economica1_d8,actividad_economica1_d9,actividad_economica1_d10,actividad_economica1_d11,actividad_economica1_d12,actividad_economica1_d13,actividad_economica1_d14,actividad_economica1_d15,actividad_economica1_d16,actividad_economica1_d17,nomina_patron,independiente_total,independiente_trabajando,independiente_buscando,buscar_trabajo,con_trabajo,tot,desempleado,prop_nomina_patron,prop_independiente_total,prop_independiente_trabajando,prop_independiente_buscando,prop_buscar,prop_desempleado,formal_no_indep,vendedor_informal,prop_formal_no_indep
810,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0.5,3.5,7.5,2.5,0.0,4.8333335,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.16666667,0.5,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.6666667,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
809,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0.0,1.0,5.5,3.0,0.0,7.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.33333334,3.1666667,7.8333335,2.5,0.0,4.1666665,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.5,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,8.0,11.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.5,3.5,9.0,2.5,0.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,61.0,CIUDAD USME,5.0,USME,,7950.0,925.470.476.509,13496.0,145.828.530.921,298.992,314.431,"4,07",569.872,"82,91",0,0,23,0.43010753,1.7444445,4.935484,2.064516,0.010752688,4.354839,0.12903225,0.021505376,0.0,0.0,0.09677419,0.17204301,0.10752688,0.3655914,0.086021505,0.05376344,0.07526882,0.0,0.032258064,0.0,0.20430107,0.010752688,0.0,0.0,0.043010753,0.032258064,0.0,0.032258064,0.0,0.34408602,0.0,0.1827957,0.021505376,0.12903225,0.010752688,0.021505376,0.0,0.010752688,0.032258064,0.05376344,0.021505376,0.05376344,0.021505376,0.0,3.0,20.0,20.0,0.0,4.0,89.0,93.0,3.0,0.032258064,0.21505377,0.21505377,0.0,0.043010753,0.032258064,0.0,0.0,0.0
800,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0.2,2.8,5.6,2.6,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
811,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.33333334,3.6666667,8.666667,3.0,0.0,3.3333333,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
812,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
