codigo_upz,year,semester,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
15.0,2018,1,0.0,0,0.0,0,0.0,0,2.0,1,6.0,5.395,175550.0,49356.0,6.0,2,21.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,COUNTRY CLUB,26.0,0.0,12.0,14.0,24440.0,10977.0,13463.0,10.638297872340425,10.638297872340425,12.753940056481735,8.913317982619029
86.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.568,321440.0,368145.0,0.0,0,33.0,546.809,"3,98",703.807,"85,4",BOSA,EL PORVENIR,17.0,0.0,5.0,12.0,131429.0,62925.0,68504.0,1.293474043019425,1.293474043019425,1.9070321811680573,0.729884386313208
71.0,2018,1,0.0,0,0.0,0,2.0,1,0.0,0,2.0,2.105,2325960.0,2670912.0,0.0,0,22.0,981.613,"3,41",1.388.086,"91,6",SUBA,TIBABUYES,29.0,0.0,12.0,17.0,274048.0,132345.0,141703.0,1.0582087809434844,1.0582087809434844,1.2845215157353886,0.8468416335575112
29.0,2018,1,1.0,1,1.0,1,1.0,1,1.0,1,3.0,2.713333333333334,1291554.0,1329381.0,30.0,9,32.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,MINUTO DE DIOS,44.0,0.0,16.0,28.0,109581.0,51503.0,58078.0,4.015294622242907,4.015294622242907,5.436576510106208,2.7549158028857743
80.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.0025,247816.0,277108.0,11.0,4,19.0,979.914,"3,72",999.300,"88,94",KENNEDY,CORABASTOS,33.0,0.0,11.0,22.0,57028.0,28359.0,28669.0,5.786631128568422,5.786631128568422,7.757678338446349,3.836896996756078
99.0,2018,1,6.0,1,1.0,1,1.0,1,0.0,0,13.0,3.692,79566.0,121692.0,22.0,6,62.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHAPINERO,118.0,0.0,56.0,62.0,23444.0,11623.0,11821.0,50.33270772905648,50.33270772905648,53.342510539447645,47.373318670163265
3.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.0,0.0,1169.0,0.0,0,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,GUAYMARAL,2.0,0.0,1.0,1.0,2048.0,988.0,1060.0,9.765625,9.765625,10.121457489878543,9.433962264150944
97.0,2018,1,9.0,1,2.0,1,2.0,1,1.0,1,7.0,5.211875,94384.0,420656.0,63.0,15,98.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHICO LAGO,136.0,0.0,71.0,65.0,33942.0,15780.0,18162.0,40.0683518944081,40.0683518944081,41.19138149556401,39.092610945931064
94.0,2018,1,3.0,1,0.0,0,0.0,0,2.0,1,4.0,2.40875,203598.0,216855.0,43.0,8,36.0,22.115,"2,83",1.050.888,"88,9",CANDELARIA,LA CANDELARIA,59.0,0.0,26.0,33.0,17075.0,9012.0,8063.0,34.55344070278184,34.55344070278184,36.61784287616511,32.24606225970482
76.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.186666666666667,120020.0,128536.0,0.0,0,21.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON SAN PABLO,7.0,0.0,1.0,6.0,32717.0,16104.0,16613.0,2.1395604731485163,2.1395604731485163,3.7257824143070044,0.6019382411364594
114.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,3.0,3.8,191930.0,197050.0,9.0,4,24.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,MODELIA,23.0,0.0,9.0,14.0,42000.0,19461.0,22539.0,5.476190476190476,5.476190476190476,7.193874929345871,3.993078663649674
89.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0666666666666664,28245.0,48603.0,0.0,0,3.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,SAN ISIDRO - PATIOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,2018,1,0.0,0,2.0,1,4.0,1,0.0,0,1.0,3.008,1246305.0,1155330.0,52.0,15,75.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,RESTREPO,55.0,0.0,20.0,35.0,54246.0,26004.0,28242.0,10.138996423699442,10.138996423699442,13.459467774188587,7.081651441116068
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,4.0,0.0,0.0,4.0,18178.0,8980.0,9198.0,2.2004620970403783,2.2004620970403783,4.4543429844097995,0.0
96.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,3.0,1.7264285714285716,628474.0,648214.0,4.0,2,16.0,96.241,"3,18",896.890,"88,28",SANTA FE,LOURDES,9.0,0.0,0.0,9.0,44303.0,21564.0,22739.0,2.0314651378010518,2.0314651378010518,4.173622704507513,0.0
84.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,0.0,1.98,990222.0,1073760.0,1.0,1,30.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA OCCIDENTAL,41.0,0.0,14.0,27.0,195836.0,95646.0,100190.0,2.0935885128372718,2.0935885128372718,2.8229094787027162,1.3973450444156104
111.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA,26.0,0.0,11.0,15.0,10700.0,8209.0,2491.0,24.299065420560748,24.299065420560748,18.272627603849436,44.15897230028101
112.0,2018,1,1.0,1,1.0,1,1.0,1,0.0,0,1.0,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO,37.0,0.0,20.0,17.0,43620.0,20259.0,23361.0,8.48234754699679,8.48234754699679,8.39133224739622,8.561277342579512
75.0,2018,1,0.0,0,1.0,1,7.0,1,3.0,1,1.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,39.0,0.0,12.0,27.0,129959.0,62133.0,67826.0,3.000946452342662,3.000946452342662,4.3455168750905315,1.7692330374782532
12.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,5.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,28.0,0.0,13.0,15.0,58835.0,27123.0,31712.0,4.759071980963712,4.759071980963712,5.530361685654242,4.099394550958627
16.0,2018,1,0.0,0,2.0,1,7.0,1,1.0,1,11.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,73.0,0.0,34.0,39.0,67760.0,30437.0,37323.0,10.77331759149941,10.77331759149941,12.81335217005618,9.109664282078075
82.0,2018,1,0.0,0,0.0,0,2.0,1,2.0,1,0.0,1.9566666666666668,963012.0,1044870.0,9.0,4,29.0,979.914,"3,72",999.300,"88,94",KENNEDY,PATIO BONITO,38.0,0.0,12.0,26.0,140235.0,69384.0,70851.0,2.709737226797875,2.709737226797875,3.747261616511011,1.6936952195452428
35.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,1.0,2.666,168705.0,154565.0,35.0,5,22.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,CIUDAD JARDIN,16.0,0.0,6.0,10.0,24983.0,11921.0,13062.0,6.404354961373734,6.404354961373734,8.388558006878617,4.593477262287552
68.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.055,351536.0,380992.0,0.0,0,13.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL TESORO,4.0,0.0,3.0,1.0,49741.0,24609.0,25132.0,0.8041655776924469,0.8041655776924469,0.4063553984314682,1.1936972783702053
27.0,2018,1,1.0,1,2.0,1,7.0,1,2.0,1,2.0,2.840909090909091,1497236.0,1751217.0,16.0,6,48.0,981.613,"3,41",1.388.086,"91,6",SUBA,SUBA,47.0,0.0,21.0,26.0,166333.0,77901.0,88432.0,2.8256569652444194,2.8256569652444194,3.337569479210793,2.3747059887823414
22.0,2018,1,1.0,1,0.0,0,6.0,1,0.0,0,2.0,3.292222222222222,847206.0,887247.0,37.0,8,38.0,230.066,"3,36",1.462.840,"92,44",BARRIOS UNIDOS,DOCE DE OCTUBRE,29.0,0.0,6.0,23.0,64814.0,30527.0,34287.0,4.4743419631561085,4.4743419631561085,7.5343138860680705,1.7499343774608451
105.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.67,1601.0,2464.0,4.0,1,11.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,JARDIN BOTANICO,9.0,0.0,6.0,3.0,2482.0,1423.0,1059.0,36.2610797743755,36.2610797743755,21.082220660576244,56.657223796033996
104.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,3.0,4.0,19494.0,20424.0,21.0,5,34.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,22.0,0.0,12.0,10.0,2937.0,1546.0,1391.0,74.90636704119851,74.90636704119851,64.6830530401035,86.26887131560028
74.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,1.0,2.0016666666666665,712512.0,784968.0,0.0,0,15.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ENGATIVA,19.0,0.0,8.0,11.0,135897.0,65701.0,70196.0,1.398117692075616,1.398117692075616,1.6742515334622,1.1396660778391932
47.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,865592.0,770256.0,9.0,4,28.0,979.914,"3,72",999.300,"88,94",KENNEDY,KENNEDY CENTRAL,23.0,0.0,12.0,11.0,94686.0,44596.0,50090.0,2.429081384787614,2.429081384787614,2.4665889317427574,2.395687762028349
70.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.1733333333333331,789975.0,888237.0,0.0,0,23.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,JERUSALEM,5.0,0.0,2.0,3.0,95007.0,46315.0,48692.0,0.5262770111675982,0.5262770111675982,0.6477383137212567,0.41074509159615546
66.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.8425,597168.0,609704.0,4.0,3,26.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,SAN FRANCISCO,11.0,0.0,4.0,7.0,68147.0,33151.0,34996.0,1.6141576298296332,1.6141576298296332,2.1115501794817653,1.1429877700308606
65.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.463333333333334,349194.0,364512.0,9.0,3,21.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,ARBORIZADORA,21.0,0.0,10.0,11.0,77129.0,36651.0,40478.0,2.722711301844961,2.722711301844961,3.0012823661018797,2.470477790404664
