codigo_upz,year,semester,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,   ,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
15.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,6.0,COUNTRY CLUB,1,USAQUEN,5.395,87775.0,285.606.835.551,24678.0,864.054.949.959,425.192,430.156,"3,12",1.867.529,"93,6",3.0,1.0,10.5,91.0,0.0,3.0,0.0,1.0,10.0,12.0,15.0,10.0,14.0,15.0,19.0,40.0,55.0,24875.0,11083.0,13792.0,38.19095477386935,36.58291457286432,0.0,1.2060301507537687,0.0,0.4020100502512563,49.62555264819994,29.00232018561485
86.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,EL PORVENIR,7,BOSA,1.568,64288.0,461.032.121.294,73629.0,159.704.707.328,508.828,546.809,"3,98",703.807,"85,4",0.0,0.0,6.6,58.0,13.0,17.0,7.0,24.0,22.0,20.0,9.0,17.0,16.0,16.0,19.0,38.0,81.0,118531.0,57290.0,61241.0,10.039567708025748,4.8932346812226335,1.0967594975154178,1.4342239582893928,0.5905628063544558,2.0247867646438484,14.138593122709024,6.204993386783364
71.0,2015,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,TIBABUYES,11,SUBA,2.105,193830.0,726.380.148.869,222576.0,306.418.065.453,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0.0,1.8333333333333333,158.0,18.0,39.0,14.0,20.0,29.0,32.0,20.0,40.0,47.0,35.0,46.0,108.0,141.0,265973.0,128726.0,137247.0,9.361852518864696,5.940452602331815,0.67676042305046,1.4663142499426634,0.5263692179281355,0.7519560256116222,10.953498127806348,7.869024459551029
29.0,2015,1,1.0,1,0.0,0,0.0,0,0.0,0,1.0,MINUTO DE DIOS,10,ENGATIVA,2.713333333333334,143506.0,373.264.507.687,147709.0,39.572.206.025,804.47,824.337,"3,41",1.089.512,"91,78",3.3333333333333335,1.0,3.5555555555555554,97.0,6.0,23.0,20.0,24.0,24.0,25.0,22.0,18.0,37.0,16.0,28.0,62.0,108.0,114940.0,54345.0,60595.0,14.790325387158518,8.439185662084565,0.5220114842526535,2.001044022968505,1.7400382808421786,2.088045937010614,19.87303339773668,10.231867315785129
80.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,CORABASTOS,8,KENNEDY,2.0025,61954.0,184.525.478.991,69277.0,375.433.248.453,951.073,979.914,"3,72",999.300,"88,94",2.75,1.0,4.75,119.0,12.0,15.0,4.0,10.0,15.0,28.0,18.0,38.0,26.0,24.0,11.0,57.0,103.0,58405.0,29271.0,29134.0,27.394914818936737,20.374967896584195,2.0546186114202554,2.5682732642753185,0.6848728704734184,1.712182176183546,35.18841173858085,19.56476968490424
99.0,2015,1,4.0,1,0.0,0,0.0,0,0.0,0,9.0,CHAPINERO,2,CHAPINERO,3.692,13261.0,15.930.253.068,20282.0,127.317.500.315,122.827,122.507,"2,43",2.288.835,"96,61",3.6666666666666665,1.0,10.333333333333334,592.0,3.0,20.0,6.0,3.0,49.0,91.0,91.0,126.0,99.0,77.0,91.0,282.0,342.0,23081.0,11315.0,11766.0,270.35223777132705,256.4880204497206,1.2997703739006108,8.665135826004072,2.5995407478012216,1.2997703739006108,302.2536456031816,239.67363590005098
3.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,GUAYMARAL,11,SUBA,6.0,0.0,453.636.704.291,167.0,0.368135996096,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0.0,3.7142857142857144,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1886.0,911.0,975.0,21.208907741251327,5.302226935312832,0.0,5.302226935312832,5.302226935312832,5.302226935312832,32.93084522502744,10.256410256410257
97.0,2015,1,5.0,1,0.0,0,0.0,0,0.0,0,5.0,CHICO LAGO,2,CHAPINERO,5.211875,5899.0,422.447.428.769,26291.0,622.349.627.659,122.827,122.507,"2,43",2.288.835,"96,61",3.9375,0.9375,6.125,651.0,1.0,22.0,0.0,10.0,45.0,113.0,71.0,124.0,122.0,87.0,122.0,295.0,389.0,33047.0,15114.0,17933.0,206.9779405089721,196.99216267739885,0.3025993282294913,6.65718522104881,0.0,3.0259932822949134,257.37726611089056,164.50119890704286
94.0,2015,1,2.0,1,0.0,0,0.0,0,0.0,0,3.0,LA CANDELARIA,17,CANDELARIA,2.40875,22622.0,206.024.323.421,24095.0,116.952.210.302,22.621,22.115,"2,83",1.050.888,"88,9",4.777777777777778,0.8888888888888888,4.0,274.0,2.0,11.0,1.0,1.0,23.0,57.0,43.0,36.0,48.0,34.0,48.0,136.0,153.0,17290.0,8831.0,8459.0,167.14864083285136,158.4731058415269,1.156737998843262,6.362058993637941,0.578368999421631,0.578368999421631,173.25331219567434,160.7755053788864
76.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,FONTIBON SAN PABLO,9,FONTIBON,2.186666666666667,30005.0,359.967.843.163,32134.0,892.690.850.317,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0.0,5.25,41.0,1.0,9.0,1.0,2.0,7.0,12.0,7.0,8.0,6.0,8.0,6.0,21.0,33.0,32721.0,16069.0,16652.0,16.503163106262033,12.530179395495248,0.3056141315974451,2.7505271843770056,0.3056141315974451,0.6112282631948902,20.536436617088803,12.61109776603411
114.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,MODELIA,9,FONTIBON,3.8,38386.0,261.581.365.518,39410.0,150.660.579.059,301.375,317.179,"3,46",1.428.379,"90,03",1.8,0.8,4.8,104.0,0.0,8.0,13.0,6.0,24.0,10.0,18.0,19.0,17.0,17.0,26.0,50.0,81.0,41956.0,19382.0,22574.0,31.223186195061494,24.787873009819812,0.0,1.9067594622938315,3.0984841262274765,1.4300695967203736,41.791352801568465,22.149375387614068
89.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,SAN ISIDRO - PATIOS,2,CHAPINERO,2.0666666666666664,9415.0,11.301.823.434,16201.0,143.348.549.857,122.827,122.507,"2,43",2.288.835,"96,61",0.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,4.0,14537.0,7178.0,7359.0,6.191098576047327,3.4394992089151817,0.6878998417830364,2.0636995253491093,0.0,0.0,5.572582892170521,6.794401413235494
38.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,RESTREPO,15,ANTONIO NARIÑO,3.008,83087.0,354.715.513.318,77022.0,217.137.387.873,116.828,119.565,"3,92",1.095.184,"90,79",3.466666666666667,1.0,5.0,236.0,7.0,13.0,26.0,28.0,44.0,47.0,45.0,43.0,51.0,42.0,38.0,109.0,201.0,55945.0,26632.0,29313.0,55.41156492984181,42.18428814013763,1.2512288855125568,2.3237107873804628,4.6474215747609255,5.004915542050227,75.47311504956443,37.18486678265616
52.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,LA FLORA,5,USME,1.0,15373.0,187.716.025.612,18507.0,9.859.041.038,298.992,314.431,"4,07",569.872,"82,91",0.0,0.0,4.4,20.0,6.0,4.0,0.0,0.0,8.0,6.0,4.0,2.0,4.0,4.0,2.0,6.0,24.0,17505.0,8720.0,8785.0,17.13796058269066,11.425307055127107,3.427592116538132,2.285061411025421,0.0,0.0,27.522935779816514,6.829823562891292
96.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,2.0,LOURDES,3,SANTA FE,1.7264285714285716,44891.0,200.137.127.152,46301.0,231.346.380.648,109.107,96.241,"3,18",896.890,"88,28",0.2857142857142857,0.1428571428571428,1.1428571428571428,55.0,3.0,4.0,1.0,4.0,7.0,5.0,13.0,16.0,12.0,8.0,6.0,22.0,45.0,44546.0,21724.0,22822.0,15.040632155524625,12.346787590356035,0.6734611412921475,0.8979481883895299,0.22448704709738249,0.8979481883895299,20.71441723439514,9.639821225133643
84.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,BOSA OCCIDENTAL,7,BOSA,1.98,165037.0,430.379.853.645,178960.0,415.818.720.334,508.828,546.809,"3,98",703.807,"85,4",0.1666666666666666,0.1666666666666666,5.0,143.0,20.0,29.0,9.0,60.0,32.0,34.0,52.0,35.0,36.0,31.0,41.0,85.0,176.0,196849.0,96671.0,100178.0,13.25889387296862,7.264451432316141,1.0160071933309287,1.4732104303298468,0.45720323699891796,3.0480215799927866,18.20608041708475,8.484896883547286
111.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,PUENTE ARANDA,16,PUENTE ARANDA,2.9375,12917.0,356.447.429.991,14658.0,41.122.473.517,253.638,250.715,"3,55",1.116.511,"90,43",3.2,1.0,12.6,106.0,0.0,14.0,3.0,12.0,13.0,25.0,23.0,12.0,22.0,17.0,23.0,42.0,93.0,9493.0,6848.0,2645.0,142.2100495101654,111.66122405983357,0.0,14.747708838091224,3.1602233224481195,12.640893289792478,135.80607476635512,158.79017013232516
112.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,GRANJAS DE TECHO,9,FONTIBON,3.1133333333333333,18061.0,477.255.354.063,22861.0,479.009.817.394,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0.0,10.142857142857142,120.0,1.0,5.0,8.0,9.0,15.0,18.0,19.0,20.0,21.0,30.0,20.0,44.0,99.0,37231.0,17208.0,20023.0,38.40885283768902,32.2312051784803,0.26859337648733583,1.3429668824366792,2.1487470118986867,2.4173403883860223,57.53138075313808,21.974729061579186
