codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
15.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,6.0,COUNTRY CLUB,1,USAQUEN,5.395,87775.0,285.606.835.551,24678.0,864.054.949.959,425.192,430.156,"3,12",1.867.529,"93,6",3.0,1.0,10.5,41.0,0.0,3.0,0.0,0.0,6.0,6.0,7.0,8.0,6.0,5.0,6.0,15.0,29.0,24875.0,11083.0,13792.0,17.688442211055275,16.482412060301506,0.0,1.2060301507537687,0.0,0.0,26.166200487232697,10.875870069605568
86.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,EL PORVENIR,7,BOSA,1.568,64288.0,461.032.121.294,73629.0,159.704.707.328,508.828,546.809,"3,98",703.807,"85,4",0.0,0.0,6.6,41.0,6.0,7.0,5.0,16.0,12.0,11.0,7.0,13.0,9.0,12.0,11.0,19.0,56.0,118531.0,57290.0,61241.0,6.3274586395120265,3.4590107229332414,0.5061966911609621,0.5905628063544558,0.4218305759674684,1.349857843095899,9.77482981323093,3.102496693391682
71.0,2015,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,TIBABUYES,11,SUBA,2.105,193830.0,726.380.148.869,222576.0,306.418.065.453,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0.0,1.8333333333333333,97.0,14.0,21.0,6.0,9.0,18.0,19.0,14.0,20.0,33.0,23.0,20.0,61.0,86.0,265973.0,128726.0,137247.0,5.526876788245423,3.646986724216368,0.5263692179281355,0.7895538268922034,0.22558680768348668,0.33838021152523,6.680857014123021,4.444541592894563
29.0,2015,1,1.0,1,0.0,0,0.0,0,0.0,0,1.0,MINUTO DE DIOS,10,ENGATIVA,2.713333333333334,143506.0,373.264.507.687,147709.0,39.572.206.025,804.47,824.337,"3,41",1.089.512,"91,78",3.3333333333333335,1.0,3.5555555555555554,56.0,2.0,14.0,11.0,14.0,11.0,13.0,13.0,14.0,25.0,10.0,11.0,34.0,63.0,114940.0,54345.0,60595.0,8.439185662084565,4.8721071863581,0.17400382808421785,1.218026796589525,0.9570210544631982,1.218026796589525,11.592602815346398,5.611024011882169
80.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,CORABASTOS,8,KENNEDY,2.0025,61954.0,184.525.478.991,69277.0,375.433.248.453,951.073,979.914,"3,72",999.300,"88,94",2.75,1.0,4.75,59.0,7.0,6.0,2.0,5.0,8.0,13.0,10.0,20.0,10.0,14.0,4.0,30.0,49.0,58405.0,29271.0,29134.0,13.526239191850012,10.101874839482921,1.1985275233284822,1.0273093057101277,0.3424364352367092,0.856091088091773,16.740118205732635,10.297247202581175
99.0,2015,1,4.0,1,0.0,0,0.0,0,0.0,0,8.0,CHAPINERO,2,CHAPINERO,3.692,13261.0,15.930.253.068,20282.0,127.317.500.315,122.827,122.507,"2,43",2.288.835,"96,61",3.6666666666666665,1.0,10.333333333333334,285.0,1.0,10.0,3.0,3.0,28.0,44.0,49.0,53.0,34.0,43.0,51.0,139.0,163.0,23081.0,11315.0,11766.0,130.8435509726615,123.47818552055804,0.4332567913002036,4.332567913002036,1.2997703739006108,1.2997703739006108,144.0565620857269,118.13700492945776
3.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,GUAYMARAL,11,SUBA,6.0,0.0,453.636.704.291,167.0,0.368135996096,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0.0,3.7142857142857144,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1886.0,911.0,975.0,15.906680805938494,5.302226935312832,0.0,0.0,5.302226935312832,5.302226935312832,32.93084522502744,0.0
97.0,2015,1,4.0,1,0.0,0,0.0,0,0.0,0,5.0,CHICO LAGO,2,CHAPINERO,5.211875,5899.0,422.447.428.769,26291.0,622.349.627.659,122.827,122.507,"2,43",2.288.835,"96,61",3.9375,0.9375,6.125,325.0,1.0,4.0,0.0,7.0,26.0,58.0,45.0,58.0,39.0,42.0,69.0,147.0,190.0,33047.0,15114.0,17933.0,101.97597361333858,98.34478167458468,0.3025993282294913,1.2103973129179653,0.0,2.1181952976064395,125.71126108244013,81.97178386215357
94.0,2015,1,2.0,1,0.0,0,0.0,0,0.0,0,3.0,LA CANDELARIA,17,CANDELARIA,2.40875,22622.0,206.024.323.421,24095.0,116.952.210.302,22.621,22.115,"2,83",1.050.888,"88,9",4.777777777777778,0.8888888888888888,4.0,161.0,2.0,5.0,0.0,0.0,16.0,25.0,31.0,20.0,26.0,18.0,32.0,79.0,89.0,17290.0,8831.0,8459.0,97.16599190283401,93.1174089068826,1.156737998843262,2.891844997108155,0.0,0.0,100.78133846676481,93.3916538597943
76.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,FONTIBON SAN PABLO,9,FONTIBON,2.186666666666667,30005.0,359.967.843.163,32134.0,892.690.850.317,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0.0,5.25,15.0,0.0,6.0,0.0,0.0,4.0,0.0,5.0,2.0,3.0,3.0,4.0,10.0,11.0,32721.0,16069.0,16652.0,6.417896763546347,4.584211973961676,0.0,1.8336847895846704,0.0,0.0,6.845478872362936,6.005284650492434
