codigo_localidad,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
3.0,2018,6.0,1,3.0,1,2.0,1,1.0,1,23.0,LOURDES,SANTA FE,2.404857142857143,39191.21621621621,200.137.127.152,25448.675675675677,231.346.380.648,109.107,96.241,"3,18",896.890,"88,28",4.621621621621622,0.6756756756756757,3.918918918918919,459.0,0.0,200.0,259.0,103100.0,51178.0,51922.0,44.51988360814743,44.51988360814743,50.60768298878424,38.519317437695
12.0,2018,1.0,1,1.0,1,17.0,1,0.0,0,36.0,LOS ANDES,BARRIOS UNIDOS,3.219705882352941,72396.13888888889,274.816.645.782,74789.69444444444,169.658.573.145,223.073,230.066,"3,36",1.462.840,"92,44",5.361111111111111,0.9444444444444444,4.333333333333333,282.0,0.0,107.0,175.0,133126.0,62070.0,71056.0,21.182939470877216,21.182939470877216,28.193974544868695,15.058545372663813
9.0,2018,4.0,1,4.0,1,11.0,1,4.0,1,6.0,AEROPUERTO EL DORADO,FONTIBON,2.9831578947368422,49739.63636363636,743.536.979.514,54196.5,112.301.072.173,301.375,317.179,"3,46",1.428.379,"90,03",0.5227272727272727,0.2272727272727272,5.886363636363637,398.0,0.0,167.0,231.0,365884.0,173463.0,192421.0,10.877764537394366,10.877764537394366,13.31696096573909,8.678886400133042
10.0,2018,4.0,1,5.0,1,18.0,1,4.0,1,15.0,ENGATIVA,ENGATIVA,2.872586206896552,111799.42372881356,58.763.454.342,113678.98305084746,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",1.6779661016949152,0.5254237288135594,4.830508474576271,610.0,0.0,262.0,348.0,792518.0,374253.0,418265.0,7.696986062146222,7.696986062146222,9.29852265713301,6.263971405687782
17.0,2018,4.0,1,0.0,0,0.0,0,2.0,1,7.0,LA CANDELARIA,CANDELARIA,2.40875,22622.0,206.024.323.421,24095.0,116.952.210.302,22.621,22.115,"2,83",1.050.888,"88,9",4.777777777777778,0.8888888888888888,4.0,115.0,0.0,63.0,52.0,17075.0,9012.0,8063.0,67.34992679355783,67.34992679355783,57.70084332001775,78.13468932159246
6.0,2018,0.0,0,1.0,1,3.0,1,6.0,1,2.0,VENECIA,TUNJUELITO,2.3194736842105264,109452.43478260867,659.377.024.137,118026.65217391304,219.024.920.058,184.528,182.532,"3,63",829.895,"87,19",2.652173913043478,0.8695652173913043,4.0,133.0,0.0,60.0,73.0,171632.0,83369.0,88263.0,7.74913768994127,7.74913768994127,8.756252324005326,6.797865470242344
16.0,2018,0.0,0,0.0,0,4.0,1,1.0,1,8.0,CIUDAD MONTES,PUENTE ARANDA,2.9430232558139533,59670.51111111111,445.578.698.505,60731.48888888889,237.134.316.238,253.63800000000003,250.71499999999995,"3,55",1.116.511,"90,43",2.8,0.8222222222222222,5.4222222222222225,302.0,0.0,112.0,190.0,242905.0,117754.0,125151.0,12.432844116012433,12.432844116012433,16.13533298231907,8.94918937922989
18.0,2018,1.0,1,3.0,1,6.0,1,0.0,0,0.0,QUIROGA,RAFAEL URIBE URIBE,2.476363636363636,80121.6888888889,384.046.822.311,79297.2,226.849.943.649,378.164,378.78,"3,72",591.317,"87,06",2.511111111111111,0.8,3.0444444444444443,229.0,0.0,85.0,144.0,364532.0,180338.0,184194.0,6.282027366596074,6.282027366596074,7.985005933303019,4.61469971877477
8.0,2018,0.0,0,2.0,1,11.0,1,7.0,1,6.0,TIMIZA,KENNEDY,2.611194029850746,90693.52857142856,430.438.314.853,93878.0,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",1.3428571428571427,0.5571428571428572,4.314285714285714,739.0,0.0,280.0,459.0,1019748.0,488032.0,531716.0,7.246888446949638,7.246888446949638,9.405120975673725,5.265969051147605
5.0,2018,0.0,0,1.0,1,0.0,0,5.0,1,2.0,CIUDAD USME,USME,1.2341975308641977,33564.545454545456,925.470.476.509,42141.34065934066,145.828.530.921,305.3897373737374,319.6309191919192,"4,07",569.872,"82,91",0.0909090909090909,0.0909090909090909,3.101010101010101,109.0,0.0,40.0,69.0,355461.0,172886.0,182575.0,3.066440481515553,3.066440481515553,3.9910692595120487,2.190880460084897
14.0,2018,1.0,1,2.0,1,4.0,1,0.0,0,12.0,LA SABANA,LOS MARTIRES,2.8763636363636365,48715.545454545456,450.942.153.879,49934.40909090909,11.575.098.835,94.842,94.944,"3,53",1.059.511,"89,78",7.772727272727272,1.0,6.136363636363637,268.0,0.0,103.0,165.0,73277.0,35873.0,37404.0,36.57354968134613,36.57354968134613,45.995595573272375,27.537161800876913
19.0,2018,1.0,1,2.0,1,2.0,1,1.0,1,1.0,JERUSALEM,CIUDAD BOLIVAR,1.4298333333333335,93968.73913043478,537.476.344.439,101520.01449275362,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0.4347826086956521,0.217391304347826,2.1449275362318843,185.0,0.0,84.0,101.0,604668.0,294968.0,309700.0,3.05953018846706,3.05953018846706,3.4241002413821158,2.7123022279625446
11.0,2018,8.0,1,12.0,1,57.0,1,56.0,1,27.0,LA ACADEMIA,SUBA,3.6279775280898874,92596.23423423425,672.073.080.488,102797.96396396396,136.889.875.031,923.064,981.613,"3,41",1.388.086,"91,6",1.5945945945945943,0.4954954954954955,4.4324324324324325,633.0,0.0,272.0,361.0,1149040.0,540726.0,608314.0,5.508946598899951,5.508946598899951,6.676209392557414,4.471374980684318
7.0,2018,1.0,1,2.0,1,3.0,1,4.0,1,1.0,TINTAL SUR,BOSA,1.9174074074074072,123136.85294117648,576.903.769.222,133841.88235294115,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.8235294117647058,0.2941176470588235,4.705882352941177,269.0,0.0,117.0,152.0,694397.0,334223.0,360174.0,3.8738646624337374,3.8738646624337374,4.547861756970645,3.2484299255359907
15.0,2018,0.0,0,2.0,1,4.0,1,1.0,1,8.0,CIUDAD JARDIN,ANTONIO NARIÑO,2.9225000000000003,70750.5,133.239.133.285,65494.75,23.201.141.615,116.828,119.565,"3,92",1.095.184,"90,79",4.35,1.0,4.85,122.0,0.0,51.0,71.0,79229.0,37925.0,41304.0,15.398402100241073,15.398402100241073,18.72116018457482,12.347472399767577
20.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2018,16.0,1,4.0,1,6.0,1,1.0,1,23.0,PARDO RUBIO,CHAPINERO,4.468367346938775,16410.29411764706,285.199.005.156,29034.92156862745,130.403.680.685,122.827,122.507,"2,43",2.288.835,"96,61",2.156862745098039,0.6470588235294118,5.549019607843137,664.0,0.0,313.0,351.0,155619.0,73954.0,81665.0,42.6683117100097,42.6683117100097,47.46193579792844,38.32731280230209
4.0,2018,0.0,0,1.0,1,2.0,1,1.0,1,7.0,SAN BLAS,SAN CRISTOBAL,2.1577966101694916,66652.77272727272,400.032.231.099,81488.09090909091,238.093.314.977,407.552,404.35,"3,73",706.208,"83,68",1.0454545454545454,0.3939393939393939,2.1666666666666665,127.0,0.0,67.0,60.0,385458.0,186876.0,198582.0,3.294781792049977,3.294781792049977,3.2106851602131896,3.373921100603277
13.0,2018,2.0,1,1.0,1,9.0,1,2.0,1,32.0,GALERIAS,TEUSAQUILLO,3.854242424242424,24554.26829268293,237.568.113.094,25420.09756097561,144.564.855.749,137.53,139.298,"2,87",1.933.116,"96,03",4.512195121951219,0.975609756097561,6.0,447.0,0.0,217.0,230.0,144526.0,67745.0,76781.0,30.928691031371518,30.928691031371518,33.95084508081777,28.262200283924408
1.0,2018,6.0,1,7.0,1,25.0,1,19.0,1,25.0,LOS CEDROS,USAQUEN,3.940281690140845,50163.87640449438,672.263.207.867,53775.85393258427,152.267.740.971,425.19200000000006,430.156,"3,12",1.867.529,"93,6",0.7865168539325843,0.2808988764044944,5.044943820224719,561.0,0.0,240.0,321.0,535205.0,246729.0,288476.0,10.481964854588428,10.481964854588428,13.010225794292523,8.319582911576699
