codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
15.0,2018,0.0,0,0.0,0,0.0,0,3.0,1,8.0,5.395,175550.0,49356.0,6.0,2,21.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,COUNTRY CLUB,45.0,0.0,19.0,26.0,24440.0,10977.0,13463.0,18.412438625204583,18.412438625204583,23.68588867632322,14.112753472480131
86.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.568,321440.0,368145.0,0.0,0,33.0,546.809,"3,98",703.807,"85,4",BOSA,EL PORVENIR,25.0,0.0,9.0,16.0,131429.0,62925.0,68504.0,1.9021677103226837,1.9021677103226837,2.5427095748907433,1.3137918953637744
71.0,2018,0.0,0,0.0,0,2.0,1,0.0,0,2.0,2.105,2325960.0,2670912.0,0.0,0,22.0,981.613,"3,41",1.388.086,"91,6",SUBA,TIBABUYES,63.0,0.0,26.0,37.0,274048.0,132345.0,141703.0,2.2988673517048106,2.2988673517048106,2.795723298953493,1.8348235393746075
29.0,2018,1.0,1,2.0,1,1.0,1,1.0,1,4.0,2.713333333333334,1291554.0,1329381.0,30.0,9,32.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,MINUTO DE DIOS,92.0,0.0,35.0,57.0,109581.0,51503.0,58078.0,8.39561602832608,8.39561602832608,11.067316467001922,6.026378318812632
80.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.0025,247816.0,277108.0,11.0,4,19.0,979.914,"3,72",999.300,"88,94",KENNEDY,CORABASTOS,62.0,0.0,22.0,40.0,57028.0,28359.0,28669.0,10.871852423370974,10.871852423370974,14.104869706266088,7.673793993512156
99.0,2018,7.0,1,3.0,1,1.0,1,0.0,0,13.0,3.692,79566.0,121692.0,22.0,6,62.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHAPINERO,240.0,0.0,103.0,137.0,23444.0,11623.0,11821.0,102.37160894045385,102.37160894045385,117.86974103071496,87.133068268336
3.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.0,0.0,1169.0,0.0,0,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,GUAYMARAL,4.0,0.0,1.0,3.0,2048.0,988.0,1060.0,19.53125,19.53125,30.36437246963563,9.433962264150944
97.0,2018,9.0,1,3.0,1,4.0,1,1.0,1,9.0,5.211875,94384.0,420656.0,63.0,15,98.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHICO LAGO,304.0,0.0,155.0,149.0,33942.0,15780.0,18162.0,89.56455129338283,89.56455129338283,94.4233206590621,85.34302389604669
94.0,2018,4.0,1,0.0,0,0.0,0,2.0,1,5.0,2.40875,203598.0,216855.0,43.0,8,36.0,22.115,"2,83",1.050.888,"88,9",CANDELARIA,LA CANDELARIA,115.0,0.0,63.0,52.0,17075.0,9012.0,8063.0,67.34992679355783,67.34992679355783,57.70084332001775,78.13468932159246
76.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,1.0,2.186666666666667,120020.0,128536.0,0.0,0,21.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON SAN PABLO,15.0,0.0,8.0,7.0,32717.0,16104.0,16613.0,4.584772442461106,4.584772442461106,4.346746150024838,4.8155059290916755
