codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
15.0,2018,1,0.0,0,0.0,0,0.0,0,2.0,1,6.0,5.395,175550.0,49356.0,6.0,2,21.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,COUNTRY CLUB,9.0,0.0,0.0,1.0,1.0,0.0,4.0,7.0,24440.0,10977.0,13463.0,4.500818330605565,3.6824877250409167,0.0,0.0,0.4091653027823241,0.4091653027823241,6.3769700282408674,2.9711059942063436
86.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.568,321440.0,368145.0,0.0,0,33.0,546.809,"3,98",703.807,"85,4",BOSA,EL PORVENIR,7.0,6.0,16.0,11.0,16.0,1.0,18.0,37.0,131429.0,62925.0,68504.0,4.260855671122812,0.5326069588903515,0.4565202504774441,1.2173873346065176,0.8369537925419808,1.2173873346065176,5.880015891934843,2.6275837907275488
71.0,2018,1,0.0,0,0.0,0,2.0,1,0.0,0,2.0,2.105,2325960.0,2670912.0,0.0,0,22.0,981.613,"3,41",1.388.086,"91,6",SUBA,TIBABUYES,9.0,12.0,54.0,15.0,17.0,2.0,63.0,42.0,274048.0,132345.0,141703.0,3.9044255021018217,0.32840962167211585,0.43787949556282113,1.9704577300326949,0.5473493694535264,0.6203292853806632,3.173523744758019,4.4459185761769335
29.0,2018,1,1.0,1,1.0,1,1.0,1,0.0,0,3.0,2.713333333333334,1291554.0,1329381.0,30.0,9,32.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,MINUTO DE DIOS,22.0,3.0,7.0,15.0,10.0,0.0,16.0,41.0,109581.0,51503.0,58078.0,5.201631669723766,2.0076473111214534,0.2737700878801982,0.6387968717204625,1.3688504394009908,0.9125669596006607,7.9607013183698045,2.7549158028857743
80.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.0025,247816.0,277108.0,11.0,4,19.0,979.914,"3,72",999.300,"88,94",KENNEDY,CORABASTOS,12.0,5.0,17.0,6.0,11.0,0.0,22.0,29.0,57028.0,28359.0,28669.0,8.942975380514834,2.1042295012976084,0.8767622922073368,2.980991793504945,1.0521147506488042,1.9288770428561408,10.226030537042915,7.673793993512156
99.0,2018,1,6.0,1,1.0,1,1.0,1,0.0,0,13.0,3.692,79566.0,121692.0,22.0,6,62.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHAPINERO,45.0,3.0,11.0,4.0,2.0,0.0,27.0,38.0,23444.0,11623.0,11821.0,27.725644088039584,19.194676676335096,1.279645111755673,4.692032076437468,1.7061934823408975,0.8530967411704488,32.6937967822421,22.840707215971573
3.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.0,0.0,1169.0,0.0,0,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,GUAYMARAL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2048.0,988.0,1060.0,4.8828125,4.8828125,0.0,0.0,0.0,0.0,0.0,9.433962264150944
97.0,2018,1,9.0,1,2.0,1,2.0,1,1.0,1,7.0,5.211875,94384.0,420656.0,63.0,15,98.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHICO LAGO,59.0,0.0,8.0,2.0,5.0,0.0,35.0,39.0,33942.0,15780.0,18162.0,21.801897354310295,17.382593836544693,0.0,2.3569618761416535,0.5892404690354134,1.4731011725885335,24.7148288973384,19.27100539588151
94.0,2018,1,3.0,1,0.0,0,0.0,0,2.0,1,4.0,2.40875,203598.0,216855.0,43.0,8,36.0,22.115,"2,83",1.050.888,"88,9",CANDELARIA,LA CANDELARIA,27.0,0.0,10.0,3.0,0.0,0.0,18.0,22.0,17075.0,9012.0,8063.0,23.42606149341142,15.812591508052709,0.0,5.856515373352855,1.7569546120058566,0.0,24.411895250776745,22.32419694902642
76.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.186666666666667,120020.0,128536.0,0.0,0,21.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON SAN PABLO,1.0,0.0,2.0,7.0,5.0,0.0,4.0,11.0,32717.0,16104.0,16613.0,4.584772442461106,0.3056514961640737,0.0,0.6113029923281474,2.1395604731485163,1.5282574808203686,6.830601092896175,2.4077529645458378
114.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,3.0,3.8,191930.0,197050.0,9.0,4,24.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,MODELIA,8.0,0.0,2.0,4.0,3.0,0.0,6.0,11.0,42000.0,19461.0,22539.0,4.0476190476190474,1.9047619047619049,0.0,0.4761904761904762,0.9523809523809524,0.7142857142857143,5.6523303016289,2.662052442433116
89.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0666666666666664,28245.0,48603.0,0.0,0,3.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,SAN ISIDRO - PATIOS,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,15231.0,7533.0,7698.0,3.282778543759438,0.0,0.0,1.9696671262556626,0.6565557087518876,0.6565557087518876,2.6549847338377806,3.897116134060795
38.0,2018,1,0.0,0,2.0,1,4.0,1,0.0,0,1.0,3.008,1246305.0,1155330.0,52.0,15,75.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,RESTREPO,23.0,6.0,13.0,14.0,11.0,0.0,20.0,47.0,54246.0,26004.0,28242.0,12.351141097961142,4.239943959001585,1.1060723371308483,2.3964900637835047,2.580835453305313,2.027799284739889,18.074142439624673,7.081651441116068
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,2.0,2.0,12.0,0.0,2.0,0.0,10.0,8.0,18178.0,8980.0,9198.0,9.902079436681705,1.1002310485201892,1.1002310485201892,6.601386291121135,0.0,1.1002310485201892,8.908685968819599,10.871928680147857
96.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,3.0,1.7264285714285716,628474.0,648214.0,4.0,2,16.0,96.241,"3,18",896.890,"88,28",SANTA FE,LOURDES,2.0,3.0,5.0,5.0,5.0,0.0,5.0,15.0,44303.0,21564.0,22739.0,4.514366972891226,0.45143669728912267,0.6771550459336839,1.1285917432228065,1.1285917432228065,1.1285917432228065,6.956037840845854,2.198865385461102
84.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,0.0,1.98,990222.0,1073760.0,1.0,1,30.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA OCCIDENTAL,17.0,10.0,33.0,12.0,43.0,0.0,36.0,79.0,195836.0,95646.0,100190.0,5.872260462836251,0.8680732858105762,0.5106313445944566,1.6850834371617067,0.6127576135133479,2.195714781756163,8.259624030278317,3.5931729713544267
111.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA,11.0,0.0,2.0,1.0,7.0,0.0,9.0,12.0,10700.0,8209.0,2491.0,19.626168224299068,10.2803738317757,0.0,1.8691588785046729,0.9345794392523364,6.542056074766355,14.618102083079547,36.13006824568446
112.0,2018,1,1.0,1,1.0,1,1.0,1,0.0,0,1.0,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO,16.0,1.0,1.0,5.0,6.0,0.0,10.0,19.0,43620.0,20259.0,23361.0,6.648326455754241,3.6680421824850984,0.22925263640531865,0.22925263640531865,1.1462631820265932,1.3755158184319118,9.37854780591342,4.280638671289756
75.0,2018,1,0.0,0,1.0,1,7.0,1,3.0,1,1.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,16.0,1.0,23.0,4.0,19.0,0.0,26.0,37.0,129959.0,62133.0,67826.0,4.847682730707377,1.23115751890981,0.07694734493186313,1.769788933432852,0.3077893797274525,1.4619995537053994,5.954967569568507,3.8333382478695484
12.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,5.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,14.0,0.0,9.0,1.0,2.0,0.0,13.0,13.0,58835.0,27123.0,31712.0,4.419138268037733,2.379535990481856,0.0,1.5297017081669075,0.1699668564629897,0.3399337129259794,4.792980127567009,4.099394550958627
16.0,2018,1,0.0,0,2.0,1,7.0,1,1.0,1,11.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,36.0,0.0,7.0,2.0,2.0,0.0,22.0,25.0,67760.0,30437.0,37323.0,6.9362455726092085,5.312868949232586,0.0,1.0330578512396693,0.29515938606847697,0.29515938606847697,8.213687288497553,5.894488653109343
