codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
15.0,2018,1,0.0,0,0.0,0,0.0,0,2.0,1,6.0,5.395,175550.0,49356.0,6.0,2,21.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,COUNTRY CLUB,9.0,0.0,4.0,5.0,24440.0,10977.0,13463.0,3.6824877250409167,3.6824877250409167,4.554978591600619,2.9711059942063436
86.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.568,321440.0,368145.0,0.0,0,33.0,546.809,"3,98",703.807,"85,4",BOSA,EL PORVENIR,7.0,0.0,2.0,5.0,131429.0,62925.0,68504.0,0.5326069588903515,0.5326069588903515,0.7945967421533572,0.2919537545252832
71.0,2018,1,0.0,0,0.0,0,2.0,1,0.0,0,2.0,2.105,2325960.0,2670912.0,0.0,0,22.0,981.613,"3,41",1.388.086,"91,6",SUBA,TIBABUYES,9.0,0.0,5.0,4.0,274048.0,132345.0,141703.0,0.32840962167211585,0.32840962167211585,0.3022403566436208,0.35285068064896297
29.0,2018,1,1.0,1,1.0,1,1.0,1,0.0,0,3.0,2.713333333333334,1291554.0,1329381.0,30.0,9,32.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,MINUTO DE DIOS,22.0,0.0,8.0,14.0,109581.0,51503.0,58078.0,2.0076473111214534,2.0076473111214534,2.718288255053104,1.3774579014428872
80.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.0025,247816.0,277108.0,11.0,4,19.0,979.914,"3,72",999.300,"88,94",KENNEDY,CORABASTOS,12.0,0.0,6.0,6.0,57028.0,28359.0,28669.0,2.1042295012976084,2.1042295012976084,2.115730455939913,2.092852907321497
99.0,2018,1,6.0,1,1.0,1,1.0,1,0.0,0,13.0,3.692,79566.0,121692.0,22.0,6,62.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHAPINERO,45.0,0.0,19.0,26.0,23444.0,11623.0,11821.0,19.194676676335096,19.194676676335096,22.369439903639336,16.073090263091107
3.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.0,0.0,1169.0,0.0,0,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,GUAYMARAL,1.0,0.0,1.0,0.0,2048.0,988.0,1060.0,4.8828125,4.8828125,0.0,9.433962264150944
97.0,2018,1,9.0,1,2.0,1,2.0,1,1.0,1,7.0,5.211875,94384.0,420656.0,63.0,15,98.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHICO LAGO,59.0,0.0,28.0,31.0,33942.0,15780.0,18162.0,17.382593836544693,17.382593836544693,19.645120405576677,15.416804316705209
94.0,2018,1,3.0,1,0.0,0,0.0,0,2.0,1,4.0,2.40875,203598.0,216855.0,43.0,8,36.0,22.115,"2,83",1.050.888,"88,9",CANDELARIA,LA CANDELARIA,27.0,0.0,10.0,17.0,17075.0,9012.0,8063.0,15.812591508052709,15.812591508052709,18.863737239236574,12.40233163834801
76.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.186666666666667,120020.0,128536.0,0.0,0,21.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON SAN PABLO,1.0,0.0,0.0,1.0,32717.0,16104.0,16613.0,0.3056514961640737,0.3056514961640737,0.620963735717834,0.0
114.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,3.0,3.8,191930.0,197050.0,9.0,4,24.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,MODELIA,8.0,0.0,3.0,5.0,42000.0,19461.0,22539.0,1.9047619047619049,1.9047619047619049,2.5692410461949544,1.331026221216558
89.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0666666666666664,28245.0,48603.0,0.0,0,3.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,SAN ISIDRO - PATIOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,2018,1,0.0,0,2.0,1,4.0,1,0.0,0,1.0,3.008,1246305.0,1155330.0,52.0,15,75.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,RESTREPO,23.0,0.0,7.0,16.0,54246.0,26004.0,28242.0,4.239943959001585,4.239943959001585,6.152899553914783,2.478578004390624
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,2.0,0.0,0.0,2.0,18178.0,8980.0,9198.0,1.1002310485201892,1.1002310485201892,2.2271714922048997,0.0
96.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,3.0,1.7264285714285716,628474.0,648214.0,4.0,2,16.0,96.241,"3,18",896.890,"88,28",SANTA FE,LOURDES,2.0,0.0,0.0,2.0,44303.0,21564.0,22739.0,0.45143669728912267,0.45143669728912267,0.9274717121127805,0.0
84.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,0.0,1.98,990222.0,1073760.0,1.0,1,30.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA OCCIDENTAL,17.0,0.0,5.0,12.0,195836.0,95646.0,100190.0,0.8680732858105762,0.8680732858105762,1.254626434978985,0.4990518015770037
111.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA,11.0,0.0,6.0,5.0,10700.0,8209.0,2491.0,10.2803738317757,10.2803738317757,6.090875867949811,24.086712163789645
112.0,2018,1,1.0,1,1.0,1,1.0,1,0.0,0,1.0,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO,16.0,0.0,10.0,6.0,43620.0,20259.0,23361.0,3.6680421824850984,3.6680421824850984,2.961646675551607,4.280638671289756
75.0,2018,1,0.0,0,1.0,1,7.0,1,3.0,1,1.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,16.0,0.0,4.0,12.0,129959.0,62133.0,67826.0,1.23115751890981,1.23115751890981,1.9313408333735695,0.5897443458260844
12.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,5.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,14.0,0.0,6.0,8.0,58835.0,27123.0,31712.0,2.379535990481856,2.379535990481856,2.949526232348929,1.8920282542885973
16.0,2018,1,0.0,0,2.0,1,7.0,1,1.0,1,11.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,36.0,0.0,16.0,20.0,67760.0,30437.0,37323.0,5.312868949232586,5.312868949232586,6.570949830798042,4.286900838624977
