codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2015,45,0,3,0,1,0,19,30,2693,1346,1347,181.95321203119198,167.09988860007428,0.0,11.139992573338283,0.0,3.713330857779428,222.88261515601783,141.05419450631032
1.0,2016,70,0,4,1,1,0,32,44,2646,1320,1326,287.2260015117158,264.55026455026456,0.0,15.117157974300833,3.779289493575208,3.779289493575208,333.3333333333333,241.3273001508296
1.0,2017,130,2,2,0,1,0,55,80,2600,1293,1307,519.2307692307693,500.0,7.6923076923076925,7.6923076923076925,0.0,3.8461538461538463,618.7161639597834,420.81101759755165
1.0,2018,374,0,0,6,8,0,146,242,2567,1279,1288,1511.4920140241527,1456.953642384106,0.0,0.0,23.37358784573432,31.164783794312427,1892.103205629398,1133.5403726708075
1.0,2019,50,2,3,4,3,0,18,44,2602,1291,1311,238.27824750192158,192.1598770176787,7.686395080707149,11.529592621060722,15.372790161414297,11.529592621060722,340.8210689388071,137.29977116704805
1.0,2020,4,1,3,1,3,0,3,9,2574,1275,1299,46.62004662004662,15.54001554001554,3.885003885003885,11.655011655011656,3.885003885003885,11.655011655011656,70.58823529411765,23.094688221709006
1.0,2021,9,3,6,1,2,0,7,14,2545,1258,1287,82.5147347740668,35.36345776031434,11.787819253438114,23.575638506876228,3.9292730844793713,7.858546168958743,111.28775834658187,54.39005439005439
1.0,2022,3,7,0,0,2,0,2,10,2505,1237,1268,47.90419161676647,11.976047904191617,27.944111776447105,0.0,0.0,7.984031936127744,80.84074373484236,15.772870662460567
1.0,2023,0,0,0,2,0,0,0,2,2449,1210,1239,8.166598611678236,0.0,0.0,0.0,8.166598611678236,0.0,16.52892561983471,0.0
2.0,2015,28,0,1,2,1,0,13,19,2791,1390,1401,114.6542457900394,100.3224650662845,0.0,3.582945180938731,7.165890361877462,3.582945180938731,136.69064748201438,92.79086366880799
2.0,2016,45,1,3,0,0,0,16,33,3173,1568,1605,154.42798613299718,141.82161991805862,3.1515915537346357,9.454774661203908,0.0,0.0,210.45918367346937,99.68847352024923
2.0,2017,81,1,3,2,0,0,41,46,3598,1764,1834,241.8010005558644,225.12506948304613,2.7793218454697053,8.337965536409115,5.558643690939411,0.0,260.77097505668934,223.55507088331515
2.0,2018,185,0,12,6,4,0,91,116,4077,1982,2095,507.72626931567333,453.7650233014472,0.0,29.433406916850625,14.716703458425313,9.811135638950208,585.2674066599395,434.36754176610975
2.0,2019,23,0,8,0,2,0,14,19,4483,2177,2306,73.61142092348874,51.30492973455275,0.0,17.845192951148785,0.0,4.461298237787196,87.27606798346348,60.71118820468344
2.0,2020,1,2,0,1,0,0,1,3,5017,2430,2587,7.9728921666334465,1.9932230416583616,3.9864460833167232,0.0,1.9932230416583616,0.0,12.345679012345679,3.8654812524159254
2.0,2021,8,0,7,3,3,0,8,13,5589,2700,2889,37.57380568974772,14.313830738951511,0.0,12.524601896582574,5.367686527106817,5.367686527106817,48.14814814814815,27.691242644513675
2.0,2022,4,1,0,4,1,0,2,8,6160,2976,3184,16.233766233766236,6.4935064935064934,1.6233766233766234,0.0,6.4935064935064934,1.6233766233766234,26.881720430107528,6.28140703517588
2.0,2023,0,1,0,6,0,0,0,7,6720,3239,3481,10.416666666666666,0.0,1.4880952380952381,0.0,8.928571428571429,0.0,21.6116085211485,0.0
3.0,2015,8,0,1,1,1,0,5,6,1886,911,975,58.324496288441146,42.417815482502654,0.0,5.302226935312832,5.302226935312832,5.302226935312832,65.86169045005488,51.282051282051285
3.0,2016,18,0,0,0,0,0,7,11,1941,937,1004,92.7357032457496,92.7357032457496,0.0,0.0,0.0,0.0,117.39594450373532,69.7211155378486
3.0,2017,29,0,0,0,1,0,12,18,1996,964,1032,150.3006012024048,145.29058116232466,0.0,0.0,0.0,5.0100200400801596,186.7219917012448,116.27906976744185
3.0,2018,70,0,0,4,0,0,29,45,2048,988,1060,361.328125,341.796875,0.0,0.0,19.53125,0.0,455.4655870445344,273.5849056603774
3.0,2019,11,0,1,3,0,0,4,11,2323,1124,1199,64.57167455876022,47.352561343090834,0.0,4.304778303917348,12.914334911752045,0.0,97.86476868327402,33.36113427856547
3.0,2020,1,0,2,1,0,0,1,3,2367,1149,1218,16.899028305872413,4.224757076468103,0.0,8.449514152936207,4.224757076468103,0.0,26.109660574412533,8.210180623973727
3.0,2021,1,0,1,3,1,0,2,4,2417,1178,1239,24.824162184526273,4.137360364087712,0.0,4.137360364087712,12.412081092263136,4.137360364087712,33.95585738539898,16.142050040355123
3.0,2022,2,0,0,2,1,0,2,3,2446,1200,1246,20.441537203597708,8.176614881439084,0.0,0.0,8.176614881439084,4.088307440719542,25.0,16.051364365971107
9.0,2015,206,10,35,20,6,0,104,173,114369,54372,59997,24.21984978446957,18.011873846934048,0.8743628081035946,3.0602698283625807,1.7487256162071891,0.5246176848621567,31.81784742146693,17.3342000433355
9.0,2016,218,13,190,19,11,0,267,184,115721,54943,60778,38.97304724293775,18.838413079734877,1.1233916056722635,16.41880039059462,1.641880039059462,0.9505621278765306,33.48925249804343,43.930369541610446
9.0,2017,497,7,136,17,18,0,337,337,117135,55560,61575,57.62581636573185,42.42967516113885,0.5976010586075895,11.610534852947454,1.4513168566184318,1.5366884364195161,60.655147588192946,54.73000406008932
9.0,2018,623,20,166,98,50,3,442,509,119080,56578,62502,80.36614040980854,52.31776956667786,1.6795431642593215,13.940208263352368,8.229761504870675,4.198857910648304,89.96429707660221,70.71773703241496
9.0,2019,133,8,98,27,38,0,146,158,122844,58302,64542,24.74683338217577,10.826739604701899,0.651232457425678,7.977597603464557,2.197909543811664,3.093354172771971,27.100271002710027,22.620929007468003
9.0,2020,24,16,58,23,24,0,72,73,125093,59368,65725,11.591376016243915,1.9185725819989927,1.2790483879993286,4.636550406497566,1.8386320577490347,1.9185725819989927,12.29618649777658,10.954735640928108
9.0,2021,41,15,81,33,42,0,94,118,127453,60391,67062,16.63358257553765,3.216872101872847,1.1769044275144562,6.355283908578064,2.5891897405318036,3.2953323970404775,19.539335331423555,14.016879902180072
9.0,2022,29,15,0,35,33,0,21,91,128953,61115,67838,8.685334967003481,2.2488813753848302,1.163214504509395,0.0,2.714167177188588,2.559071909920669,14.889961547901496,3.095610130015625
9.0,2023,0,9,0,28,37,0,9,65,129766,61488,68278,5.702572322488171,0.0,0.6935560932755883,0.0,2.1577300679684974,2.8512861612440856,10.571168358053603,1.3181405430739037
10.0,2015,167,4,14,7,2,0,98,96,26931,12379,14552,72.0359437079945,62.01032267646949,1.4852771898555568,5.1984701644944495,2.5992350822472248,0.7426385949277784,77.55069068583892,67.3446948873007
10.0,2016,227,2,27,8,4,0,126,142,28276,12981,15295,94.78002546329041,80.28009619465271,0.7073136228603764,9.548733908615079,2.8292544914415054,1.4146272457207527,109.3906478699638,82.37986270022884
10.0,2017,430,2,2,8,4,0,185,261,29655,13597,16058,150.396223233856,145.00084302815713,0.6744225257123588,0.6744225257123588,2.6976901028494353,1.3488450514247177,191.95410752371848,115.20737327188941
10.0,2018,735,14,46,29,4,1,376,450,31194,14327,16867,265.4356607039815,235.622235045201,4.488042572289543,14.746425594665642,9.29665961402834,1.2822978777970122,314.09227333007607,222.92049564237863
10.0,2019,213,3,15,10,10,0,106,145,32844,15072,17772,76.42187309706492,64.85202776762878,0.9134088417975886,4.567044208987943,3.0446961393252954,3.0446961393252954,96.20488322717621,59.6443844249381
10.0,2020,32,6,12,2,7,0,25,34,34511,15833,18678,17.095998377328968,9.272405899568254,1.7385761061690475,3.477152212338095,0.5795253687230159,2.0283387905305554,21.474136297606265,13.384730699218332
10.0,2021,29,0,8,10,6,0,25,28,36225,16591,19634,14.630779848171153,8.005521048999311,0.0,2.2084195997239475,2.7605244996549345,1.6563146997929605,16.876619854137786,12.733014159111745
10.0,2022,26,1,0,16,3,0,12,34,37712,17271,20441,12.1977089520577,6.8943572337717445,0.26516758591429784,0.0,4.2426813746287655,0.7955027577428935,19.686179144230213,5.870554278166431
10.0,2023,0,1,0,5,2,0,3,5,38992,17853,21139,2.051702913418137,0.0,0.2564628641772671,0.0,1.2823143208863357,0.5129257283545342,2.8006497507421724,1.4191778229812195
11.0,2015,166,13,26,3,6,0,89,125,68665,32719,35946,31.16580499526688,24.175344061749072,1.8932498361610717,3.7864996723221434,0.4369038083448627,0.8738076166897254,38.20410159234696,24.7593612641184
11.0,2016,252,10,26,5,7,0,139,159,68372,32535,35837,43.87761071783771,36.85719300298368,1.4625870239279235,3.8027262622126012,0.7312935119639618,1.0238109167495466,48.87044721069617,38.786728799843736
11.0,2017,352,11,24,9,6,0,194,208,68115,32377,35738,59.01783748073112,51.67731043088894,1.6149159509652793,3.523452983924246,1.321294868971592,0.8808632459810615,64.24313555919325,54.28395545357882
11.0,2018,478,16,77,41,28,1,308,330,68168,32450,35718,93.88569416735125,70.12087783124046,2.3471423541837813,11.295622579509446,6.01455228259594,4.107499119821617,101.69491525423729,86.23103197267484
11.0,2019,95,10,68,13,33,0,105,114,69583,33095,36488,31.47320466205826,13.652760013221622,1.4371326329706968,9.77250190420074,1.868272422861906,4.742537688803299,34.446290980510646,28.776584082438063
11.0,2020,22,10,72,16,23,0,81,62,69775,33172,36603,20.494446434969547,3.152991759226084,1.4331780723754928,10.318882121103547,2.293084915800788,3.2963095664636333,18.69046183528277,22.129333661175316
11.0,2021,37,6,48,14,15,0,48,72,70017,33225,36792,17.13869488838425,5.284430923918477,0.8569347444192125,6.8554779553537,1.9995144036448291,2.1423368610480313,21.670428893905193,13.04631441617743
11.0,2022,20,9,0,19,12,0,11,49,69776,33099,36677,8.59894519605595,2.8663150653519835,1.2898417794083927,0.0,2.7229993120843843,1.71978903921119,14.804072630593069,2.99915478365188
11.0,2023,0,6,0,9,16,0,4,27,69174,32794,36380,4.481452568884262,0.0,0.8673779165582444,0.0,1.3010668748373666,2.313007777488652,8.233213392693786,1.0995052226498077
12.0,2015,225,4,16,8,7,0,100,160,58543,26971,31572,44.41179987359718,38.43328835215141,0.6832584595938028,2.7330338383752113,1.3665169191876056,1.195702304289155,59.32297653034741,31.673634866337263
12.0,2016,353,1,10,16,7,0,153,234,58538,26946,31592,66.1109023198606,60.30270935119068,0.1708292049608801,1.708292049608801,2.7332672793740818,1.1958044347261607,86.84034736138945,48.42998227399342
