codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2015,1,16,0,1,0,1,0,6,12,2693,1346,1347,66.83995544002971,59.41329372447085,0.0,3.713330857779428,0.0,3.713330857779428,89.15304606240713,44.54342984409799
1.0,2015,2,15,0,0,0,0,0,6,9,2693,1346,1347,55.69996286669142,55.69996286669142,0.0,0.0,0.0,0.0,66.86478454680534,44.54342984409799
1.0,2015,3,8,0,0,0,0,0,3,5,2693,1346,1347,29.706646862235424,29.706646862235424,0.0,0.0,0.0,0.0,37.14710252600297,22.271714922048996
1.0,2015,4,6,0,2,0,0,0,4,4,2693,1346,1347,29.706646862235424,22.279985146676566,0.0,7.426661715558856,0.0,0.0,29.717682020802375,29.695619896065327
1.0,2016,1,15,0,1,0,0,0,6,10,2646,1320,1326,60.46863189720333,56.68934240362812,0.0,3.779289493575208,0.0,0.0,75.75757575757576,45.248868778280546
1.0,2016,2,14,0,1,0,1,0,5,11,2646,1320,1326,60.46863189720333,52.910052910052904,0.0,3.779289493575208,0.0,3.779289493575208,83.33333333333333,37.70739064856712
1.0,2016,3,26,0,1,1,0,0,15,13,2646,1320,1326,105.82010582010581,98.26152683295541,0.0,3.779289493575208,3.779289493575208,0.0,98.48484848484847,113.12217194570135
1.0,2016,4,15,0,1,0,0,0,6,10,2646,1320,1326,60.46863189720333,56.68934240362812,0.0,3.779289493575208,0.0,0.0,75.75757575757576,45.248868778280546
1.0,2017,1,38,0,0,0,0,0,13,25,2600,1293,1307,146.15384615384616,146.15384615384616,0.0,0.0,0.0,0.0,193.34880123743233,99.46442234123947
1.0,2017,2,23,0,1,0,1,0,14,11,2600,1293,1307,96.15384615384616,88.46153846153845,0.0,3.8461538461538463,0.0,3.8461538461538463,85.07347254447022,107.11553175210406
1.0,2017,3,30,1,1,0,0,0,13,19,2600,1293,1307,123.07692307692308,115.38461538461539,3.8461538461538463,3.8461538461538463,0.0,0.0,146.94508894044858,99.46442234123947
1.0,2017,4,39,1,0,0,0,0,15,25,2600,1293,1307,153.84615384615387,150.0,3.8461538461538463,0.0,0.0,0.0,193.34880123743233,114.76664116296864
1.0,2018,1,204,0,0,2,4,0,71,139,2567,1279,1288,818.0755746007012,794.7019867549669,0.0,0.0,7.791195948578107,15.582391897156214,1086.7865519937452,551.2422360248447
1.0,2018,2,62,0,0,2,2,0,24,42,2567,1279,1288,257.1094663030775,241.52707440592133,0.0,0.0,7.791195948578107,7.791195948578107,328.38154808444096,186.33540372670808
