codigo_localidad,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2015,1,1226,22,96,30,27,150,227,182,208,221,194,219,563,837,520039,239025,281014,26.94028717076988,23.575154940302557,0.42304519468732155,1.846015394999221,0.5768798109372566,0.519191829843531,35.01725760903671,20.03458902403439
1.0,2015,2,941,15,94,29,22,119,152,136,160,183,165,186,492,609,520039,239025,281014,21.17148906139732,18.094796736398617,0.2884399054686283,1.8075567409367375,0.5576504839060148,0.42304519468732155,25.47850643238155,17.508024511234318
1.0,2016,1,1349,15,145,33,34,169,248,199,261,244,225,230,685,889,524100,240869,283231,30.070597214272087,25.73936271703873,0.28620492272467085,2.7666475863384847,0.6296508299942759,0.6487311581759206,36.90802884555505,24.185205715476062
1.0,2016,2,1594,16,189,34,20,190,293,240,287,270,260,313,837,1016,524100,240869,283231,35.35584812058767,30.414043121541688,0.30528525090631553,3.6061820263308526,0.6487311581759206,0.3816065636328945,42.18060439492006,29.55184990343571
1.0,2017,1,2173,16,103,49,37,203,385,303,358,399,317,413,1027,1351,528441,242910,285531,45.00029331562085,41.120957684963884,0.30277741507566597,1.9491296095495996,0.9272558336692269,0.7001727723624775,55.61730682145651,35.968073519162544
1.0,2017,2,3626,16,125,61,37,330,600,471,612,602,564,686,1729,2135,528441,242910,285531,73.13966932921556,68.61693169152281,0.30277741507566597,2.36544855527864,1.1543388949759765,0.7001727723624775,87.89263513235353,60.55384529175466
1.0,2018,1,4498,12,115,82,37,413,735,568,733,771,614,910,2198,2543,535205,246729,288476,88.63893274539663,84.04256313001561,0.22421315196980598,2.1487093730439737,1.5321232051270075,0.691323885240235,103.0685488937255,76.19351349852327
1.0,2018,2,4564,22,130,77,40,388,792,645,720,787,628,873,2237,2593,535205,246729,288476,90.30184695583934,85.27573546584952,0.4110574452779776,2.428975813006231,1.4387010584729216,0.7473771732326866,105.09506381495487,77.54544572165449
1.0,2019,1,1616,4,16,16,14,132,285,223,290,277,190,269,734,931,550190,253550,296640,30.280448572311382,29.37167160435486,0.07270215743652193,0.29080862974608773,0.29080862974608773,0.25445755102782674,36.718595937684874,24.743797195253503
2.0,2015,1,1912,11,77,8,17,171,291,259,366,330,257,351,860,1165,151241,71048,80193,133.89226466368245,126.42074569726464,0.7273160055804974,5.091212039063482,0.5289570949676344,1.124033826806223,163.97365161580902,107.24128041100845
2.0,2015,2,1429,7,77,9,36,140,262,177,254,235,197,293,641,917,151241,71048,80193,103.01439424494681,94.4849610885937,0.46283745809668014,5.091212039063482,0.5950767318385888,2.380306927354355,129.06767255939647,79.93216365518188
